user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
user_1,4.06,1.85,4.81,3.64,3.17
user_2,1.32,4.13,1.47,4.73,2.5
user_3,4.41,4.92,2.38,2.12,3.88
user_4,4.31,2.91,4.11,4.34,3.17
user_5,4.1,2.77,4.46,1.92,3.82
user_6,2.31,3.01,2.8,4.85,2.42
user_7,3.73,1.95,4.87,4.85,4.49
user_8,3.44,1.66,1.74,1.78,1.84
user_9,1.32,1.3,4.39,2.73,3.05
user_10,4.2,4.09,2.72,2.69,4.17
user_11,1.48,2.67,3.18,2.68,1.14
user_12,4.04,4.74,2.16,4.43,1.44
user_13,2.68,4.48,2.89,1.43,3.49
user_14,1.75,3.84,3.44,4.18,4.18
user_15,4.83,1.69,3.68,1.18,1.07
user_16,4.55,1.71,1.43,2.88,2.39
user_17,1.46,1.99,2.58,4.68,1.71
user_18,2.72,2.02,1.59,3.85,1.51
user_19,3.27,2.44,1.32,4.93,1.4
user_20,3.49,2.6,4.1,2.35,3.75
user_21,1.57,4.54,1.48,4.9,4.61
user_22,1.51,2.8,1.32,1.35,3.57
user_23,4.19,4.88,2.45,3.88,3.55
user_24,1.14,1.33,2.74,2.1,3.48
user_25,3.76,3.39,3.56,2.93,4.36
user_26,3.55,4.9,2.25,3.6,3.08
user_27,3.07,1.98,2.98,4.85,4.19
user_28,4.44,2.76,1.31,2.18,3.94
user_29,3.0,3.59,2.27,3.67,1.19
user_30,2.32,3.11,1.39,4.07,1.72
user_31,1.09,1.53,1.3,1.56,1.01
user_32,3.59,4.71,1.55,2.33,2.22
user_33,3.5,3.9,2.13,4.88,1.59
user_34,4.93,2.18,1.41,1.22,2.97
user_35,3.15,4.22,2.8,4.15,4.72
user_36,2.1,1.41,1.82,1.74,3.26
user_37,1.37,2.84,4.79,4.7,3.25
user_38,2.06,3.03,4.25,3.34,1.68
user_39,4.22,2.94,1.6,2.63,2.34
user_40,4.06,2.74,1.65,2.05,2.98
user_41,1.5,2.47,2.37,1.13,3.06
user_42,2.55,2.11,4.14,1.37,3.01
user_43,4.96,3.84,4.33,2.09,3.03
user_44,2.86,4.8,4.39,4.32,2.98
user_45,2.86,1.76,3.1,2.22,1.34
user_46,1.19,4.61,4.22,1.27,2.35
user_47,1.88,4.39,4.76,3.3,1.77
user_48,4.97,1.18,4.05,1.6,4.82
user_49,1.67,3.7,3.22,2.94,3.19
user_50,1.46,3.41,4.11,4.4,1.02
user_51,2.67,4.57,1.98,4.98,2.01
user_52,2.44,3.85,2.74,4.24,3.21
user_53,2.04,4.87,2.02,2.55,3.54
user_54,1.98,4.83,3.83,1.82,4.88
user_55,4.26,3.61,1.87,1.26,4.47
user_56,4.72,3.15,4.41,1.77,3.73
user_57,3.88,3.4,1.07,4.74,4.65
user_58,3.94,3.3,4.41,4.14,4.89
user_59,2.18,2.21,4.38,2.82,2.51
user_60,1.46,1.07,3.25,4.98,3.51
user_61,2.44,1.16,3.6,2.2,2.22
user_62,3.93,1.04,1.7,1.03,2.09
user_63,4.01,2.79,4.19,1.11,1.9
user_64,4.64,4.65,4.33,4.45,4.05
user_65,1.7,4.33,4.92,1.81,1.18
user_66,2.81,1.01,3.96,4.59,3.51
user_67,2.46,4.7,4.93,1.84,3.97
user_68,2.37,3.74,2.61,1.59,1.31
user_69,1.53,4.61,2.41,2.64,4.28
user_70,3.71,3.1,3.82,3.64,2.36
user_71,2.66,4.15,1.99,2.15,3.01
user_72,1.87,2.69,3.54,2.01,2.76
user_73,4.16,4.31,3.52,3.17,1.77
user_74,2.92,4.48,3.99,4.31,4.72
user_75,4.03,4.15,4.53,1.61,4.21
user_76,3.87,2.5,3.06,1.49,1.46
user_77,4.69,1.32,2.33,1.13,3.51
user_78,4.62,1.79,2.68,4.46,4.16
user_79,4.75,3.26,4.4,1.95,1.72
user_80,1.43,4.26,3.3,2.87,1.4
user_81,4.75,1.92,1.78,1.25,3.37
user_82,4.85,1.76,3.3,1.94,4.83
user_83,3.03,2.07,1.08,4.58,4.89
user_84,2.1,2.21,2.71,2.97,2.82
user_85,2.04,4.93,2.16,2.83,3.3
user_86,1.71,3.9,2.67,2.66,2.42
user_87,2.26,3.53,3.02,2.02,4.67
user_88,4.86,3.57,1.59,3.0,4.0
user_89,4.5,1.32,4.31,2.14,4.56
user_90,2.51,3.81,2.4,4.96,4.14
user_91,1.48,1.03,3.41,1.46,2.69
user_92,2.04,4.68,1.6,1.3,2.51
user_93,3.73,3.0,3.4,2.8,3.94
user_94,4.79,1.64,4.64,4.88,3.68
user_95,2.46,3.33,3.58,3.02,2.15
user_96,2.66,3.18,4.46,1.6,4.45
user_97,3.01,2.05,2.99,1.11,4.6
user_98,1.34,4.63,3.71,2.23,2.01
user_99,4.34,4.44,1.44,3.86,2.71
user_100,3.37,2.23,4.85,3.61,3.36
