event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776320216.532957,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,36.53364747165308,31.16199686085465
event_0001,health,1767832999.3336675,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,53.674313405846654,28.25003596490158
event_0002,science,1766476919.6738532,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,32.684397082490236,32.415556773526504
event_0003,business,1772284480.3428519,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,31.793253948282675,46.04809710614172
event_0004,health,1770935359.5957832,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,53.656854773606206,49.187530649638894
event_0005,technology,1772287574.015149,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,34.041965212828565,53.16256523956119
event_0006,business,1774682794.3309062,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,35.59880186847312,37.73461101251144
event_0007,technology,1779483884.0261319,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,32.066297500834786,32.34071338610916
event_0008,business,1781039982.8406787,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,41.37130708999732,33.1949601227202
event_0009,art,1770462008.4590888,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,49.7486825213946,43.090782604615335
event_0010,technology,1779767723.414476,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,39.67800119738382,45.94531003398205
event_0011,business,1766554403.8165948,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,56.20478332741717,33.6582128032859
event_0012,technology,1773137320.141746,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,45.77464087843235,47.63679260409195
event_0013,science,1768030752.07949,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,36.262142804805045,41.75935403999168
event_0014,science,1775690637.1408656,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,58.147315730995814,39.64668967587309
event_0015,art,1781102808.7366145,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,32.11164388830732,36.50932736830555
event_0016,health,1772956492.2093441,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,35.68381239320027,42.733376610223516
event_0017,science,1769870343.948855,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,33.165425456974674,45.88148039686518
event_0018,health,1767291455.7858007,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,35.411896158002044,39.24360086121706
event_0019,art,1768433564.8347116,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,39.454649884271916,55.760963737307556
event_0020,technology,1779810240.0739841,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,48.252401107711165,43.76805167851995
event_0021,health,1768555966.0477579,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,43.42499366994748,39.11853572730331
event_0022,health,1779377751.9665034,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,39.05524961797196,36.40935092838886
event_0023,health,1768936287.4753766,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,38.27871410230817,43.50256829198898
event_0024,science,1773944564.757388,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,34.1522458042923,38.27832100472979
event_0025,health,1773790865.9814181,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,57.53645410033403,48.55944670857224
event_0026,science,1781019553.934007,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,47.28697385330094,53.41435798011864
event_0027,art,1774506167.7552931,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,31.677681264699583,49.58524210276387
event_0028,health,1771293038.71976,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,36.80153014086455,46.27781712848983
event_0029,business,1774243369.7251863,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,31.235467564906894,43.11803242428273
event_0030,art,1781676737.644371,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,41.78648113557105,40.4772546073759
event_0031,business,1768793376.8561606,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,33.96567136112634,30.311263153880315
event_0032,science,1772963301.378251,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,53.2147540966877,31.650504897064877
event_0033,business,1773247276.8438,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,48.47990512782606,48.59869711606903
event_0034,technology,1772117897.9544737,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,32.687839443802055,46.80893149659259
event_0035,art,1769642961.2875998,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,39.14456542639179,55.65425367498442
event_0036,art,1781557807.1874824,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,54.545157603954436,33.59118598096116
event_0037,art,1779813774.7326324,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,58.46822745077367,53.948431463055
event_0038,health,1769835140.1386101,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,43.501847119150376,28.636947224233655
event_0039,science,1767455482.5398562,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,44.49078991034075,48.437860338274085
event_0040,art,1781467521.2659578,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,31.304460224983767,32.768950117253375
event_0041,science,1780364948.569575,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,30.25002525745283,38.88206412263541
event_0042,art,1769440141.2911303,46,2300.0,-194.0,-0.07778668805132317,46,2310.0,69.0,115.0,2494.0,0.00234,56.02231328563444,46.183512053062394
