event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319952.2824008,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,96.53364747165308,63.38785377948712
event_0001,health,1767832735.0831113,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,113.67431340584665,60.26789567668026
event_0002,science,1766476655.423297,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,92.68439708249024,64.73095368592125
event_0003,business,1772284216.0922956,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,91.79325394828267,79.33724689943756
event_0004,health,1770935095.345227,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,113.6568547736062,82.70092569604168
event_0005,technology,1772287309.764593,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,94.04196521282857,86.95989132810128
event_0006,business,1774682530.08035,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,95.59880186847312,70.42994037054797
event_0007,technology,1779483619.7755756,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,92.06629750083478,64.6507643422598
event_0008,business,1781039718.5901227,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,101.37130708999732,65.5660287029145
event_0009,art,1770461744.2085326,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,109.7486825213946,76.16869564780214
event_0010,technology,1779767459.1639197,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,99.67800119738382,79.22711789355219
event_0011,business,1766554139.5660386,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,116.20478332741718,66.06237086066346
event_0012,technology,1773137055.8911898,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,105.77464087843235,81.03942064724137
event_0013,science,1768030487.8289337,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,96.26214280480505,74.74216504284823
event_0014,science,1775690372.8903093,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,118.14731573099581,72.4785960812926
event_0015,art,1781102544.4860582,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,92.11164388830733,69.11713646604166
event_0016,health,1772956227.958788,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,95.68381239320027,75.78576065381091
event_0017,science,1769870079.6982987,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,93.16542545697467,79.15872899664126
event_0018,health,1767291191.5352445,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,95.41189615800205,72.04671520844686
event_0019,art,1768433300.5841553,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,99.45464988427192,89.74388971854381
event_0020,technology,1779809975.823428,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,108.25240110771117,76.89434108412853
event_0021,health,1768555701.7972016,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,103.42499366994748,71.91271685068212
event_0022,health,1779377487.7159472,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,99.05524961797197,69.0100188518452
event_0023,health,1768936023.2248204,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,98.27871410230817,76.60989459855962
event_0024,science,1773944300.506832,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,94.1522458042923,71.01248679078192
event_0025,health,1773790601.730862,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,117.53645410033403,82.0279786163274
event_0026,science,1781019289.6834507,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,107.28697385330094,87.22966926441283
event_0027,art,1774505903.504737,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,91.67768126469959,83.12704511010415
event_0028,health,1771292774.4692037,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,96.80153014086454,79.58337549481053
event_0029,business,1774243105.47463,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,91.2354675649069,76.19789188316008
event_0030,art,1781676473.3938148,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,101.78648113557105,73.36848707933132
event_0031,business,1768793112.6056044,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,93.96567136112634,62.47635337915748
event_0032,science,1772963037.1276948,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,113.2147540966877,63.91125524685523
event_0033,business,1773247012.5932438,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,108.47990512782606,82.07003262435967
event_0034,technology,1772117633.7039175,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,92.68783944380206,80.15242660349206
event_0035,art,1769642697.0370436,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,99.1445654263918,89.62955750891187
event_0036,art,1781557542.9369261,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,114.54515760395444,65.99055640817267
event_0037,art,1779813510.4820762,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,118.46822745077367,87.80189085327322
event_0038,health,1769834875.888054,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,103.50184711915038,60.68244345453606
event_0039,science,1767455218.2893,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,104.49078991034075,81.89770750529367
event_0040,art,1781467257.0154016,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,91.30446022498377,65.1095894113429
event_0041,science,1780364684.3190188,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,90.25002525745283,71.65935441710937
event_0042,art,1769439877.040574,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,116.02231328563444,79.48233434256684
event_0043,technology,1771046198.6280055,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,116.0031823658436,75.94681935489639
event_0044,technology,1769082059.9543848,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,97.42176419249253,75.8824609156536
event_0045,science,1771387206.7336464,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,108.75692910753031,67.08614297121638
event_0046,technology,1776699841.574999,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,116.71206258236285,84.44575913035011
event_0047,health,1770183377.9582903,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,109.70795276848838,62.63385051411904
event_0048,health,1766461819.7244666,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,97.21082424511728,64.58247462506554
event_0049,health,1780644080.3775947,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,94.1572958039561,76.24061480553044
event_0050,health,1777561735.3585477,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,94.05757481531745,89.87057400696025
event_0051,health,1770688332.876673,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,106.72020894280706,88.45804692494285
event_0052,health,1768721305.1062033,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,116.40395700325728,72.42120466259037
event_0053,technology,1778347450.5638216,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,98.21388493894571,83.37323654918379
event_0054,technology,1777800615.6256666,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,107.01129278816924,66.92734046199038
event_0055,health,1779447130.7847328,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,105.06973762351384,78.14135278808254
event_0056,business,1776371629.238625,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,95.79779488435531,60.96688659681137
event_0057,art,1781168713.1848552,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,119.6473025238887,82.73329769176888
event_0058,health,1776511675.1111367,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,99.74686880412136,73.72634788325136
event_0059,technology,1776787010.6643126,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,99.38692474234492,78.34514624010156
event_0060,health,1777547478.331909,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,105.61947273671245,73.54828777690986
event_0061,science,1781277090.6925619,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,112.05510244650802,76.73102849440228
event_0062,science,1778758512.3853502,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,99.13662443466716,84.82863022817253
event_0063,health,1766572352.9521632,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,94.26718856325274,84.89680513279919
event_0064,science,1774489792.121171,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,110.88342425519386,64.05920022571088
event_0065,health,1771388067.5873063,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,96.05796014127473,73.64049622942052
event_0066,business,1772269628.3705866,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,93.706326505063,63.42494816472233
event_0067,art,1770672115.602944,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,105.34999354453515,88.49261667428158
event_0068,art,1778707278.6779776,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,109.78591021806132,64.50269203531535
event_0069,science,1772993022.0079753,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,113.05891267082828,73.38774702447218
event_0070,business,1781163634.5320225,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,97.59332925354119,73.7592797348561
event_0071,technology,1774534739.3011608,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,107.66586981552928,74.27135969409461
event_0072,art,1768344204.9043396,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,108.59298116608755,76.72645944806666
event_0073,science,1766566338.2660797,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,115.61487861702562,80.00989628838585
event_0074,business,1767391807.8156757,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,95.34745175272269,80.16271485784215
event_0075,business,1767700320.200162,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,103.66013484060797,77.3689887732689
event_0076,science,1774502634.779129,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,92.03000033462986,72.81971518173285
event_0077,science,1778237674.1597083,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,105.81158200213862,75.73938627761126
event_0078,science,1766417199.550704,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,119.61567791275749,74.5098894962834
event_0079,science,1778627888.1831937,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,99.49465675495416,75.76173675994784
event_0080,business,1768956017.9307444,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,108.95572822490507,74.77513361155547
