event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319677.545687,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,36.53364747165308,31.16199686085465
event_0001,health,1767832460.3463974,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,53.674313405846654,28.25003596490158
event_0002,science,1766476380.686583,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,32.684397082490236,32.415556773526504
event_0003,business,1772283941.3555818,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,31.793253948282675,46.04809710614172
event_0004,health,1770934820.608513,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,53.656854773606206,49.187530649638894
event_0005,technology,1772287035.027879,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,34.041965212828565,53.16256523956119
event_0006,business,1774682255.343636,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,35.59880186847312,37.73461101251144
event_0007,technology,1779483345.0388618,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,32.066297500834786,32.34071338610916
event_0008,business,1781039443.8534088,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,41.37130708999732,33.1949601227202
event_0009,art,1770461469.4718187,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,49.7486825213946,43.090782604615335
event_0010,technology,1779767184.4272058,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,39.67800119738382,45.94531003398205
event_0011,business,1766553864.8293247,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,56.20478332741717,33.6582128032859
event_0012,technology,1773136781.154476,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,45.77464087843235,47.63679260409195
event_0013,science,1768030213.0922198,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,36.262142804805045,41.75935403999168
event_0014,science,1775690098.1535954,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,58.147315730995814,39.64668967587309
event_0015,art,1781102269.7493443,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,32.11164388830732,36.50932736830555
event_0016,health,1772955953.222074,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,35.68381239320027,42.733376610223516
event_0017,science,1769869804.9615848,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,33.165425456974674,45.88148039686518
event_0018,health,1767290916.7985306,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,35.411896158002044,39.24360086121706
event_0019,art,1768433025.8474414,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,39.454649884271916,55.760963737307556
event_0020,technology,1779809701.086714,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,48.252401107711165,43.76805167851995
event_0021,health,1768555427.0604877,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,43.42499366994748,39.11853572730331
event_0022,health,1779377212.9792333,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,39.05524961797196,36.40935092838886
event_0023,health,1768935748.4881065,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,38.27871410230817,43.50256829198898
event_0024,science,1773944025.770118,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,34.1522458042923,38.27832100472979
event_0025,health,1773790326.994148,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,57.53645410033403,48.55944670857224
event_0026,science,1781019014.9467368,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,47.28697385330094,53.41435798011864
event_0027,art,1774505628.768023,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,31.677681264699583,49.58524210276387
event_0028,health,1771292499.7324898,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,36.80153014086455,46.27781712848983
event_0029,business,1774242830.7379162,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,31.235467564906894,43.11803242428273
event_0030,art,1781676198.657101,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,41.78648113557105,40.4772546073759
event_0031,business,1768792837.8688905,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,33.96567136112634,30.311263153880315
event_0032,science,1772962762.390981,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,53.2147540966877,31.650504897064877
event_0033,business,1773246737.85653,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,48.47990512782606,48.59869711606903
event_0034,technology,1772117358.9672036,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,32.687839443802055,46.80893149659259
event_0035,art,1769642422.3003297,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,39.14456542639179,55.65425367498442
event_0036,art,1781557268.2002122,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,54.545157603954436,33.59118598096116
event_0037,art,1779813235.7453623,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,58.46822745077367,53.948431463055
event_0038,health,1769834601.15134,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,43.501847119150376,28.636947224233655
event_0039,science,1767454943.552586,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,44.49078991034075,48.437860338274085
event_0040,art,1781466982.2786877,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,31.304460224983767,32.768950117253375
event_0041,science,1780364409.582305,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,30.25002525745283,38.88206412263541
event_0042,art,1769439602.3038602,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,56.02231328563444,46.183512053062394
event_0043,technology,1771045923.8912916,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,56.00318236584359,42.88369806456997
event_0044,technology,1769081785.217671,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,37.42176419249254,42.82363018794336
event_0045,science,1771386931.9969325,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,48.75692910753031,34.613733439801955
event_0046,technology,1776699566.8382852,7,350.0,-203.0,-0.3670886075949367,7,525.0,10.5,17.5,553.0,0.0015,56.71206258236285,50.816041854993436
