event_id,category,event_date,impressions,conversions,tickets_sold,gross_revenue,marketing_cost,payment_processing_fee,platform_fee,total_costs,net_profit,cpa,roi,conversion_rate,attendance_rate,marketing_start_days_before,marketing_duration_days,marketing_start_date,marketing_end_date
event_0000,business,1775530252.839553,72677,91,91,4550.0,2072.0,136.5,227.5,2436.0,2114.0,22.76923076923077,0.867816091954023,0.0012521155248565571,0.091,56.54969470322064,39.53134656635292,1770644359.2171948,1774059867.5605278
event_0001,technology,1769821767.6163042,68196,64,64,3200.0,2072.0,96.0,160.0,2328.0,872.0,32.375,0.3745704467353952,0.0009384714646020294,0.064,53.033367498157546,55.641032001749906,1765239684.6644633,1770047069.8294144
event_0002,business,1772124659.4421256,98129,253,253,12650.0,2072.0,379.5,632.5,3084.0,9566.0,8.189723320158103,3.101815823605707,0.002578238848862212,0.253,32.37839333130738,50.18386558295615,1769327166.2583005,1773663052.244668
event_0003,business,1771415906.9551163,88279,139,139,6950.0,2072.0,208.5,347.5,2628.0,4322.0,14.906474820143885,1.6445966514459665,0.0015745534045469478,0.139,34.260948204737524,47.94605741050961,1768455761.030227,1772598300.390495
event_0004,business,1777912827.334262,106085,166,166,8300.0,2072.0,249.0,415.0,2736.0,5564.0,12.481927710843374,2.033625730994152,0.0015647829570627327,0.166,33.83397823132125,37.379626854440765,1774989571.6150758,1778219171.3752995
event_0005,technology,1769485051.7305045,79082,138,138,6900.0,2072.0,207.0,345.0,2624.0,4276.0,15.014492753623188,1.6295731707317074,0.001745024152145874,0.138,46.64041754625876,43.58295888444388,1765455319.6545076,1769220887.3021235
event_0006,health,1771045922.3964431,142791,354,354,17700.0,2072.0,531.0,885.0,3488.0,14212.0,5.853107344632768,4.0745412844036695,0.0024791478454524443,0.354,32.60025612858549,34.28647679565424,1768229260.2669334,1771191611.862078
event_0007,art,1767241213.7242043,126273,116,116,5800.0,2072.0,174.0,290.0,2536.0,3264.0,17.862068965517242,1.2870662460567823,0.0009186445241658945,0.116,45.231278756668374,31.282587625250244,1763333231.239628,1766036046.8104496
event_0008,health,1777722003.9564853,109325,115,115,5750.0,2072.0,172.5,287.5,2532.0,3218.0,18.017391304347825,1.2709320695102686,0.0010519094443174023,0.115,55.97144167274351,43.27467019372797,1772886071.3959603,1776625002.9006984
event_0009,business,1771954867.1383777,92173,153,153,7650.0,2072.0,229.5,382.5,2684.0,4966.0,13.542483660130719,1.8502235469448585,0.0016599221030019636,0.153,37.57181920525384,36.104784549136625,1768708661.9590437,1771828115.344089
