event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319678.225709,42,2100.0,1712.848302813294,4.424230386331647,42,114.15169718670614,63.0,210.0,387.15169718670614,0.1667360356408286,11.430362761312214,9.271594413410678
event_0001,health,1767832461.0264194,40,2000.0,1622.1523705126301,4.293138937283851,40,117.84762948737003,60.0,200.0,377.84762948737,0.18713986633032337,10.326894751331551,11.173485987521287
event_0002,science,1766476381.366605,72,3600.0,2646.086582434228,2.773927417004575,72,485.9134175657719,108.0,360.0,953.9134175657719,0.21445748966479183,11.375926311465847,7.418425921265958
event_0003,business,1772283942.0356038,46,2300.0,1718.7670054416044,2.9571050190422774,46,282.23299455839566,69.0,230.0,581.2329945583956,0.19387188980965975,12.296882662409724,12.6386776361061
event_0004,health,1770934821.288535,52,2600.0,2099.7724605678795,4.1976346663193125,52,162.2275394321204,78.0,260.0,500.2275394321204,0.2197037774995655,10.062500029155414,9.063002175086279
event_0005,technology,1772287035.707901,36,1800.0,1430.1347051784812,3.8666366517804907,36,135.86529482151872,54.0,180.0,369.8652948215187,0.15688765833611593,13.401318013846321,10.881642171162396
event_0006,business,1774682256.023658,56,2800.0,2063.2584332198926,2.800518562074978,56,372.74156678010746,84.0,280.0,736.7415667801074,0.15187198565880553,9.653304987666042,8.29874003068005
event_0007,technology,1779483345.7188838,61,3050.0,2307.127637299707,3.105685112464607,61,346.3723627002928,91.5,305.0,742.8723627002928,0.19975491595695472,9.712435881265149,10.668488381673166
event_0008,business,1781039444.5334306,60,3000.0,2417.2515496720384,4.14801883782213,60,192.74845032796156,90.0,300.0,582.7484503279616,0.16297742663222461,7.46675890167386,12.84635350528804
event_0009,art,1770461470.1518407,55,2750.0,2161.6031733688824,3.6737165727850725,55,230.89682663111773,82.5,275.0,588.3968266311177,0.22013140215747123,11.60544880799478,10.680749538300882
event_0010,technology,1779767185.1072278,56,2800.0,2303.604736735887,4.640666233574081,56,132.3952632641133,84.0,280.0,496.3952632641133,0.1579956803232872,10.43983850999792,13.228371276144266
event_0011,business,1766553865.5093467,36,1800.0,1478.7961640041872,4.6039181301168055,36,87.20383599581271,54.0,180.0,321.2038359958127,0.17658156344966652,11.959036494851858,12.765500763941803
event_0012,technology,1773136781.834498,51,2550.0,2040.378513109472,4.0037136690583965,51,178.1214868905281,76.5,255.0,509.6214868905281,0.16894604131066757,12.076203529664323,10.721627359817308
event_0013,science,1768030213.7722418,54,2700.0,2025.4614770533717,3.0027365497309533,54,323.5385229466282,81.0,270.0,674.5385229466282,0.18579633658714037,7.73859927329409,11.470370099216295
event_0014,science,1775690098.8336174,71,3550.0,2796.4099439348383,3.710784028303365,71,292.0900560651615,106.5,355.0,753.5900560651614,0.24984335720532813,9.362590093930983,8.10723519129532
event_0015,art,1781102270.4293664,71,3550.0,2706.600356605375,3.209155206316541,71,381.89964339462506,106.5,355.0,843.3996433946251,0.22258676836151697,12.349290575330599,10.01411650913272
event_0016,health,1772955953.902096,65,3250.0,2314.1469762403663,2.4727675366626123,65,513.3530237596336,97.5,325.0,935.8530237596336,0.18970905616894038,13.731562429419341,10.132498522987746
event_0017,science,1769869805.6416068,48,2400.0,1755.281302335231,2.722553741178941,48,332.7186976647689,72.0,240.0,644.7186976647689,0.23557204255082062,9.102337732097215,8.553206924377081
event_0018,health,1767290917.4785526,41,2050.0,1667.4515844048033,4.358798825007444,41,116.04841559519684,61.5,205.0,382.54841559519684,0.153773630008377,13.481457151482125,8.083003503531291
event_0019,art,1768433026.5274634,83,4150.0,3084.1568976812314,2.8936312398809636,83,526.3431023187685,124.5,415.0,1065.8431023187686,0.24178818033444677,7.643335848997609,9.798587739344347
event_0020,technology,1779809701.766736,54,2700.0,2004.2242467261663,2.880560636520732,54,344.7757532738338,81.0,270.0,695.7757532738337,0.209523120255958,11.033627232436887,13.35358949502966
event_0021,health,1768555427.7405097,71,3550.0,2575.9709449843604,2.6446551380779897,71,512.5290550156396,106.5,355.0,974.0290550156396,0.19165217126179193,9.435511448670532,12.719991900325795
event_0022,health,1779377213.6592553,37,1850.0,1415.6356000646156,3.2590967406058224,37,193.86439993538454,55.5,185.0,434.36439993538454,0.18047833928792428,12.441930327008333,9.677408735296844
event_0023,health,1768935749.1681285,62,3100.0,2385.240683246323,3.337124298119969,62,311.75931675367696,93.0,310.0,714.759316753677,0.19456162359777107,12.12105001495459,9.750178931633247
event_0024,science,1773944026.45014,43,2150.0,1762.5496212331952,4.549097685342626,43,107.95037876680473,64.5,215.0,387.45037876680476,0.1549311098070088,7.577815788470079,11.000084133574404
event_0025,health,1773790327.67417,51,2550.0,1928.0049676961742,3.0997111995492626,51,290.4950323038258,76.5,255.0,621.9950323038258,0.21522484389791688,10.915073241194783,10.415027698630329
event_0026,science,1781019015.6267588,53,2650.0,2064.8140884477266,3.5284753916418934,53,240.68591155227355,79.5,265.0,585.1859115522735,0.1589594648126735,9.263881488093478,13.46896656626558
event_0027,art,1774505629.448045,84,4200.0,3263.1261069619372,3.482993955974569,84,390.87389303806276,126.0,420.0,936.8738930380628,0.21162209944545035,9.133731932824752,13.913563418746104
