spot_key,file_count,primary_domain,phase_refs,status,notes
android/.settings,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
android/app,27,platform-runtime,"7.5,11.2",active,architecture spot for file placement
android/build.gradle,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
android/dependencies.txt,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
android/gradle.properties,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
android/gradlew,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
android/gradlew.bat,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
android/settings.gradle,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
assets/brand_book,4,assets,"10.1,10.7",active,architecture spot for file placement
assets/fonts,1,assets,"10.1,10.7",active,architecture spot for file placement
assets/geo,1,assets,"10.1,10.7",active,architecture spot for file placement
assets/map_styles,2,assets,"10.1,10.7",active,architecture spot for file placement
assets/three_js,18,assets,"10.1,10.7",active,architecture spot for file placement
ios/.gitignore,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
ios/AVRAIWidget,6,platform-runtime,"7.5,11.2",active,architecture spot for file placement
ios/Podfile,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
ios/RunnerTests,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
ios/SignalFfiNative,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
ios/SignalFfiWrapperNative,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
ios/SignalNative,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
ios/XCODE_16_2_BUILD_ISSUE.md,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
ios/fix_xcode_cache.sh,1,platform-runtime,"7.5,11.2",active,architecture spot for file placement
lib/_root,15,app-composition-root,"7,10.7",active,architecture spot for file placement
lib/bootstrap,3,bootstrap-boundary,"10.10.3,10.7",active,architecture spot for file placement
lib/core/advanced,2,legacy-advanced-services,"4.2,10.2",active,architecture spot for file placement
lib/core/ai,113,world-model-ai-core,"1,3,4,5,6,7",active,architecture spot for file placement
lib/core/ai2ai,25,ai2ai-network,"3.7,8,7.4",active,architecture spot for file placement
