event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776320217.037188,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,36.53364747165308,31.16199686085465
event_0001,health,1767832999.8378985,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,53.674313405846654,28.25003596490158
event_0002,science,1766476920.1780841,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,32.684397082490236,32.415556773526504
event_0003,business,1772284480.8470829,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,31.793253948282675,46.04809710614172
event_0004,health,1770935360.1000142,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,53.656854773606206,49.187530649638894
event_0005,technology,1772287574.51938,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,34.041965212828565,53.16256523956119
event_0006,business,1774682794.8351371,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,35.59880186847312,37.73461101251144
event_0007,technology,1779483884.5303628,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,32.066297500834786,32.34071338610916
event_0008,business,1781039983.3449097,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,41.37130708999732,33.1949601227202
event_0009,art,1770462008.9633198,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,49.7486825213946,43.090782604615335
event_0010,technology,1779767723.918707,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,39.67800119738382,45.94531003398205
event_0011,business,1766554404.3208258,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,56.20478332741717,33.6582128032859
event_0012,technology,1773137320.645977,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,45.77464087843235,47.63679260409195
event_0013,science,1768030752.583721,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,36.262142804805045,41.75935403999168
event_0014,science,1775690637.6450965,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,58.147315730995814,39.64668967587309
event_0015,art,1781102809.2408454,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,32.11164388830732,36.50932736830555
event_0016,health,1772956492.7135751,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,35.68381239320027,42.733376610223516
event_0017,science,1769870344.453086,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,33.165425456974674,45.88148039686518
event_0018,health,1767291456.2900317,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,35.411896158002044,39.24360086121706
event_0019,art,1768433565.3389425,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,39.454649884271916,55.760963737307556
event_0020,technology,1779810240.5782151,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,48.252401107711165,43.76805167851995
event_0021,health,1768555966.5519888,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,43.42499366994748,39.11853572730331
event_0022,health,1779377752.4707344,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,39.05524961797196,36.40935092838886
event_0023,health,1768936287.9796076,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,38.27871410230817,43.50256829198898
event_0024,science,1773944565.261619,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,34.1522458042923,38.27832100472979
event_0025,health,1773790866.485649,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,57.53645410033403,48.55944670857224
event_0026,science,1781019554.438238,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,47.28697385330094,53.41435798011864
event_0027,art,1774506168.259524,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,31.677681264699583,49.58524210276387
event_0028,health,1771293039.223991,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,36.80153014086455,46.27781712848983
event_0029,business,1774243370.2294173,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,31.235467564906894,43.11803242428273
event_0030,art,1781676738.148602,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,41.78648113557105,40.4772546073759
event_0031,business,1768793377.3603916,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,33.96567136112634,30.311263153880315
event_0032,science,1772963301.882482,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,53.2147540966877,31.650504897064877
event_0033,business,1773247277.348031,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,48.47990512782606,48.59869711606903
event_0034,technology,1772117898.4587047,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,32.687839443802055,46.80893149659259
event_0035,art,1769642961.7918308,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,39.14456542639179,55.65425367498442
event_0036,art,1781557807.6917133,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,54.545157603954436,33.59118598096116
event_0037,art,1779813775.2368634,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,58.46822745077367,53.948431463055
event_0038,health,1769835140.642841,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,43.501847119150376,28.636947224233655
event_0039,science,1767455483.0440872,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,44.49078991034075,48.437860338274085
event_0040,art,1781467521.7701888,53,2650.0,23.0,0.008755234107346783,53,2415.0,79.5,132.5,2627.0,0.002691,31.304460224983767,32.768950117253375
