event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776320217.444588,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,36.53364747165308,31.16199686085465
event_0001,health,1767833000.2452984,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,53.674313405846654,28.25003596490158
event_0002,science,1766476920.585484,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,32.684397082490236,32.415556773526504
event_0003,business,1772284481.2544827,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,31.793253948282675,46.04809710614172
event_0004,health,1770935360.507414,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,53.656854773606206,49.187530649638894
event_0005,technology,1772287574.92678,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,34.041965212828565,53.16256523956119
event_0006,business,1774682795.242537,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,35.59880186847312,37.73461101251144
event_0007,technology,1779483884.9377627,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,32.066297500834786,32.34071338610916
event_0008,business,1781039983.7523098,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,41.37130708999732,33.1949601227202
event_0009,art,1770462009.3707197,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,49.7486825213946,43.090782604615335
event_0010,technology,1779767724.3261068,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,39.67800119738382,45.94531003398205
event_0011,business,1766554404.7282257,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,56.20478332741717,33.6582128032859
event_0012,technology,1773137321.053377,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,45.77464087843235,47.63679260409195
event_0013,science,1768030752.9911208,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,36.262142804805045,41.75935403999168
event_0014,science,1775690638.0524964,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,58.147315730995814,39.64668967587309
event_0015,art,1781102809.6482453,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,32.11164388830732,36.50932736830555
event_0016,health,1772956493.120975,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,35.68381239320027,42.733376610223516
event_0017,science,1769870344.8604858,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,33.165425456974674,45.88148039686518
event_0018,health,1767291456.6974316,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,35.411896158002044,39.24360086121706
event_0019,art,1768433565.7463424,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,39.454649884271916,55.760963737307556
event_0020,technology,1779810240.985615,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,48.252401107711165,43.76805167851995
event_0021,health,1768555966.9593887,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,43.42499366994748,39.11853572730331
event_0022,health,1779377752.8781343,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,39.05524961797196,36.40935092838886
event_0023,health,1768936288.3870075,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,38.27871410230817,43.50256829198898
event_0024,science,1773944565.669019,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,34.1522458042923,38.27832100472979
event_0025,health,1773790866.893049,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,57.53645410033403,48.55944670857224
event_0026,science,1781019554.8456378,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,47.28697385330094,53.41435798011864
event_0027,art,1774506168.666924,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,31.677681264699583,49.58524210276387
event_0028,health,1771293039.6313908,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,36.80153014086455,46.27781712848983
event_0029,business,1774243370.6368172,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,31.235467564906894,43.11803242428273
event_0030,art,1781676738.556002,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,41.78648113557105,40.4772546073759
event_0031,business,1768793377.7677915,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,33.96567136112634,30.311263153880315
event_0032,science,1772963302.289882,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,53.2147540966877,31.650504897064877
event_0033,business,1773247277.755431,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,48.47990512782606,48.59869711606903
event_0034,technology,1772117898.8661046,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,32.687839443802055,46.80893149659259
event_0035,art,1769642962.1992307,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,39.14456542639179,55.65425367498442
event_0036,art,1781557808.0991132,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,54.545157603954436,33.59118598096116
event_0037,art,1779813775.6442633,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,58.46822745077367,53.948431463055
event_0038,health,1769835141.050241,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,43.501847119150376,28.636947224233655
event_0039,science,1767455483.451487,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,44.49078991034075,48.437860338274085
event_0040,art,1781467522.1775887,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,31.304460224983767,32.768950117253375
event_0041,science,1780364949.481206,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,30.25002525745283,38.88206412263541
event_0042,art,1769440142.2027612,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,56.02231328563444,46.183512053062394
event_0043,technology,1771046463.7901926,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,56.00318236584359,42.88369806456997
event_0044,technology,1769082325.116572,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,37.42176419249254,42.82363018794336
event_0045,science,1771387471.8958335,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,48.75692910753031,34.613733439801955
event_0046,technology,1776700106.7371862,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,56.71206258236285,50.816041854993436
event_0047,health,1770183643.1204774,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,49.70795276848838,30.45826047984444
event_0048,health,1766462084.8866537,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,37.21082424511728,32.27697631672785
event_0049,health,1780644345.5397818,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,34.157295803956096,43.15790715182842
event_0050,health,1777562000.5207348,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,34.05757481531746,55.87920240649625
event_0051,health,1770688598.03886,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,46.72020894280706,54.56084379661333
event_0052,health,1768721570.2683904,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,56.403957003257275,39.59312435175101
event_0053,technology,1778347715.7260087,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,38.21388493894571,49.815020779238196
event_0054,technology,1777800880.7878537,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,47.01129278816924,34.465517764524364
event_0055,health,1779447395.94692,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,45.06973762351384,44.93192926887704
event_0056,business,1776371894.4008121,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,35.797794884355305,28.902427490357283
event_0057,art,1781168978.3470423,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,59.6473025238887,49.21774451231762
event_0058,health,1776511940.2733238,36,1800.0,-444.0,-0.19786096256684493,36,2100.0,54.0,90.0,2244.0,0.0018,39.74686880412137,40.81125802436794
