pair_id,quantum_compatibility,decoherence_accuracy,queue_ordering_accuracy,entanglement_sync_accuracy,timezone_matching_accuracy
pair_0000,0.05002151027777779,0.0,0.0,0.8273631031442775,0.0
pair_0001,0.7959625419444445,0.265465151,1.0,0.9142550028572262,0.0
pair_0002,0.3109589994444444,0.0,0.0,0.7569653321221761,0.0
pair_0003,0.05376847222222214,0.0,1.0,0.9417025490924971,0.0
pair_0004,0.2670326663888889,0.0,1.0,0.8343473779849976,0.0
pair_0005,0.34227729638888893,0.0,0.0,0.7827085754248739,0.0
pair_0006,0.06420048777777776,0.0,0.0,0.8864679552873203,0.0
pair_0007,0.27926063888888886,0.0,0.0,0.9168464990056016,0.0
pair_0008,0.2777941805555555,0.0,1.0,0.8429845404717757,0.0
pair_0009,0.2291034858333333,0.0,0.0,0.7665280943308574,0.0
pair_0010,0.4760756019444444,0.0,1.0,0.8872131239364603,0.0
pair_0011,0.9772114158333334,0.917961097,0.0,0.7702810192940661,0.0
pair_0012,0.9345876611111111,0.76451558,1.0,0.922493295974245,0.0
pair_0013,0.7979845999999999,0.2727445599999999,0.0,0.9107100513680512,0.0
pair_0014,0.5843181069444444,0.0,1.0,0.7524448978318032,0.0
pair_0015,0.23523384972222228,0.0,1.0,0.8138051556479029,0.0
pair_0016,0.1083423744444445,0.0,0.0,0.864936441938535,0.0
pair_0017,0.3669760713888889,0.0,0.0,0.8267980570887009,0.0
pair_0018,0.14726603388888881,0.0,1.0,0.8409384131604264,0.0
pair_0019,0.4318587961111111,0.0,1.0,0.8472278768626111,0.0
pair_0020,0.8316448111111111,0.39392132,1.0,0.9419842104169651,0.0
pair_0021,0.11680774555555562,0.0,1.0,0.8303406781292811,0.0
pair_0022,0.6283677255555555,0.0,0.0,0.9042719320275058,0.0
pair_0023,0.4263086244444445,0.0,0.0,0.8105909026041347,0.0
pair_0024,0.890795435,0.6068635659999999,1.0,0.8017298098535314,0.0
pair_0025,0.40719462472222223,0.0,0.0,0.8768234358965731,0.0
pair_0026,0.45776155416666664,0.0,1.0,0.8707272094594316,0.0
pair_0027,0.33080996027777776,0.0,1.0,0.9104836790386004,0.0
pair_0028,0.4990594783333333,0.0,0.0,0.8400539882511818,0.0
pair_0029,0.04957272388888878,0.0,0.0,0.8245650630906276,0.0
pair_0030,0.07744921527777782,0.0,0.0,0.8447094570279471,0.0
pair_0031,0.2712941158333333,0.0,1.0,0.8170127016964084,0.0
pair_0032,0.07493136861111116,0.0,1.0,0.8570048331793699,0.0
pair_0033,0.5824294325,0.0,1.0,0.8229723574395063,0.0
pair_0034,0.6006445363888888,0.0,0.0,0.9070989447516792,0.0
pair_0035,0.6018997488888889,0.0,0.0,0.9461469015837686,0.0
pair_0036,0.4125292016666666,0.0,1.0,0.8563423257464331,0.0
pair_0037,0.4492813319444444,0.0,0.0,0.8266943646525059,0.0
pair_0038,0.7679569347222222,0.16464496499999992,0.0,0.8849437819123404,0.0
pair_0039,0.4983965591666667,0.0,0.0,0.7800774440272997,0.0
pair_0040,0.9042560988888889,0.655321956,1.0,0.8174231379452366,0.0
pair_0041,0.5491948938888889,0.0,0.0,0.9368354152255725,0.0
pair_0042,0.1284577013888889,0.0,0.0,0.8680306036142059,0.0
pair_0043,0.4688108477777777,0.0,1.0,0.7895226098819021,0.0
pair_0044,0.545870623611111,0.0,0.0,0.9125670218684079,0.0
pair_0045,0.6740004863888889,0.0,1.0,0.8955257533076483,0.0
pair_0046,0.09759176027777772,0.0,1.0,0.8409978724045873,0.0
pair_0047,0.10077653444444445,0.0,1.0,0.7597087196480679,0.0
pair_0048,0.33557828666666667,0.0,0.0,0.806342791080243,0.0
pair_0049,0.56997059,0.0,1.0,0.7743102891264806,0.0
pair_0050,0.8567560263888889,0.484321695,0.0,0.8479242823425691,0.0
