event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319952.365592,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,66.53364747165308,87.16199686085466
event_0001,health,1767832735.1663024,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,83.67431340584665,84.25003596490158
event_0002,science,1766476655.506488,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,62.684397082490236,88.4155567735265
event_0003,business,1772284216.1754868,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,61.793253948282675,102.04809710614171
event_0004,health,1770935095.4284182,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,83.6568547736062,105.18753064963889
event_0005,technology,1772287309.847784,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,64.04196521282857,109.16256523956119
event_0006,business,1774682530.163541,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,65.59880186847312,93.73461101251144
event_0007,technology,1779483619.8587668,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,62.066297500834786,88.34071338610916
event_0008,business,1781039718.6733136,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,71.37130708999732,89.1949601227202
event_0009,art,1770461744.2917237,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,79.7486825213946,99.09078260461533
event_0010,technology,1779767459.2471108,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,69.67800119738382,101.94531003398205
event_0011,business,1766554139.6492298,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,86.20478332741718,89.6582128032859
event_0012,technology,1773137055.974381,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,75.77464087843235,103.63679260409195
event_0013,science,1768030487.9121249,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,66.26214280480505,97.75935403999168
event_0014,science,1775690372.9735005,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,88.14731573099581,95.64668967587309
event_0015,art,1781102544.5692494,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,62.11164388830732,92.50932736830555
event_0016,health,1772956228.041979,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,65.68381239320027,98.73337661022352
event_0017,science,1769870079.7814898,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,63.165425456974674,101.88148039686519
event_0018,health,1767291191.6184356,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,65.41189615800205,95.24360086121706
event_0019,art,1768433300.6673465,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,69.45464988427192,111.76096373730755
event_0020,technology,1779809975.906619,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,78.25240110771117,99.76805167851995
event_0021,health,1768555701.8803928,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,73.42499366994748,95.11853572730331
event_0022,health,1779377487.7991383,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,69.05524961797197,92.40935092838886
event_0023,health,1768936023.3080115,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,68.27871410230817,99.50256829198898
event_0024,science,1773944300.590023,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,64.1522458042923,94.27832100472979
event_0025,health,1773790601.814053,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,87.53645410033403,104.55944670857224
event_0026,science,1781019289.7666419,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,77.28697385330094,109.41435798011864
event_0027,art,1774505903.587928,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,61.67768126469958,105.58524210276387
event_0028,health,1771292774.5523949,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,66.80153014086454,102.27781712848983
event_0029,business,1774243105.5578213,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,61.2354675649069,99.11803242428273
event_0030,art,1781676473.477006,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,71.78648113557105,96.4772546073759
event_0031,business,1768793112.6887956,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,63.96567136112634,86.31126315388032
event_0032,science,1772963037.210886,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,83.2147540966877,87.65050489706488
event_0033,business,1773247012.676435,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,78.47990512782606,104.59869711606903
event_0034,technology,1772117633.7871087,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,62.687839443802055,102.80893149659259
event_0035,art,1769642697.1202347,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,69.1445654263918,111.65425367498442
event_0036,art,1781557543.0201173,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,84.54515760395444,89.59118598096116
event_0037,art,1779813510.5652673,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,88.46822745077367,109.948431463055
event_0038,health,1769834875.971245,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,73.50184711915038,84.63694722423365
event_0039,science,1767455218.3724911,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,74.49078991034075,104.43786033827408
event_0040,art,1781467257.0985928,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,61.30446022498377,88.76895011725337
event_0041,science,1780364684.40221,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,60.250025257452826,94.88206412263541
event_0042,art,1769439877.1237652,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,86.02231328563444,102.1835120530624
event_0043,technology,1771046198.7111967,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,86.0031823658436,98.88369806456997
event_0044,technology,1769082060.037576,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,67.42176419249253,98.82363018794335
event_0045,science,1771387206.8168375,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,78.75692910753031,90.61373343980196
event_0046,technology,1776699841.6581903,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,86.71206258236285,106.81604185499344
event_0047,health,1770183378.0414815,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,79.70795276848838,86.45826047984444
event_0048,health,1766461819.8076577,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,67.21082424511728,88.27697631672784
event_0049,health,1780644080.4607859,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,64.1572958039561,99.15790715182843
event_0050,health,1777561735.4417388,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,64.05757481531745,111.87920240649625
event_0051,health,1770688332.9598641,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,76.72020894280706,110.56084379661333
event_0052,health,1768721305.1893945,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,86.40395700325728,95.59312435175102
event_0053,technology,1778347450.6470127,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,68.21388493894571,105.8150207792382
event_0054,technology,1777800615.7088578,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,77.01129278816924,90.46551776452436
event_0055,health,1779447130.867924,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,75.06973762351384,100.93192926887704
event_0056,business,1776371629.3218162,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,65.79779488435531,84.90242749035728
event_0057,art,1781168713.2680464,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,89.6473025238887,105.21774451231762
event_0058,health,1776511675.1943278,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,69.74686880412136,96.81125802436794
event_0059,technology,1776787010.7475038,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,69.38692474234492,101.12213649076145
event_0060,health,1777547478.4151,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,75.61947273671245,96.64506859178253
event_0061,science,1781277090.775753,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,82.05510244650802,99.61562659477546
event_0062,science,1778758512.4685414,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,69.13662443466716,107.17338821296102
event_0063,health,1766572353.0353544,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,64.26718856325274,107.23701812394592
event_0064,science,1774489792.2043622,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,80.88342425519386,87.78858687733015
event_0065,health,1771388067.6704974,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,66.05796014127473,96.73112981412582
event_0066,business,1772269628.4537778,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,63.706326505063004,87.19661828707417
event_0067,art,1770672115.686135,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,75.34999354453515,110.59310889599614
event_0068,art,1778707278.7611687,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,79.78591021806132,88.20251256629433
event_0069,science,1772993022.0911665,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,83.05891267082828,96.49523055617404
event_0070,business,1781163634.6152136,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,67.59332925354119,96.84199441919903
event_0071,technology,1774534739.384352,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,77.66586981552928,97.31993571448831
event_0072,art,1768344204.9875307,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,78.59298116608755,99.61136215152888
event_0073,science,1766566338.3492708,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,85.61487861702562,102.67590320249346
event_0074,business,1767391807.898867,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,65.34745175272269,102.81853386731933
event_0075,business,1767700320.283353,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,73.66013484060797,100.2110561883843
event_0076,science,1774502634.8623202,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,62.03000033462986,95.96506750295065
event_0077,science,1778237674.2428994,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,75.81158200213862,98.69009385910384
event_0078,science,1766417199.6338952,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,89.61567791275749,97.54256352986451
event_0079,science,1778627888.2663848,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,69.49465675495416,98.71095430928465
event_0080,business,1768956018.0139356,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,78.95572822490507,97.79012470411844
event_0081,health,1774055090.0472298,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,60.71960392554528,101.5129007869103
