event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319951.848488,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,36.53364747165308,31.16199686085465
event_0001,health,1767832734.6491985,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,53.674313405846654,28.25003596490158
event_0002,science,1766476654.9893842,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,32.684397082490236,32.415556773526504
event_0003,business,1772284215.658383,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,31.793253948282675,46.04809710614172
event_0004,health,1770935094.9113142,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,53.656854773606206,49.187530649638894
event_0005,technology,1772287309.3306801,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,34.041965212828565,53.16256523956119
event_0006,business,1774682529.6464372,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,35.59880186847312,37.73461101251144
event_0007,technology,1779483619.341663,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,32.066297500834786,32.34071338610916
event_0008,business,1781039718.15621,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,41.37130708999732,33.1949601227202
event_0009,art,1770461743.7746198,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,49.7486825213946,43.090782604615335
event_0010,technology,1779767458.730007,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,39.67800119738382,45.94531003398205
event_0011,business,1766554139.1321259,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,56.20478332741717,33.6582128032859
event_0012,technology,1773137055.457277,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,45.77464087843235,47.63679260409195
event_0013,science,1768030487.395021,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,36.262142804805045,41.75935403999168
event_0014,science,1775690372.4563966,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,58.147315730995814,39.64668967587309
event_0015,art,1781102544.0521455,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,32.11164388830732,36.50932736830555
event_0016,health,1772956227.5248752,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,35.68381239320027,42.733376610223516
event_0017,science,1769870079.264386,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,33.165425456974674,45.88148039686518
event_0018,health,1767291191.1013317,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,35.411896158002044,39.24360086121706
event_0019,art,1768433300.1502426,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,39.454649884271916,55.760963737307556
event_0020,technology,1779809975.3895152,300,15000.0,-7200.0,-0.32432432432432434,300,21000.0,450.0,750.0,22200.0,0.0015,48.252401107711165,43.76805167851995
