event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319955.654681,2465,123250.0,89608.04588572908,2.663580289698966,2465,17619.454114270928,3697.5,12325.0,33641.95411427093,0.21707485075359173,12.801694995550585,8.102999311160422
event_0001,health,1767832738.4553914,2196,109800.0,88077.29053757002,4.054618080212422,2196,7448.7094624299725,3294.0,10980.0,21722.70946242997,0.21560232796354697,8.281781165718003,9.846042286272242
event_0002,art,1766476658.795577,3212,160600.0,117465.00352510715,2.7231949258064465,3212,22256.99647489285,4818.0,16060.0,43134.99647489285,0.23009962488564306,10.531042867825631,11.85202504488513
event_0003,art,1778928048.991027,3679,183950.0,132874.00758067126,2.6014963446973107,3679,27162.492419328737,5518.5,18395.0,51075.99241932874,0.21511251055731814,12.540288107925992,13.920036082318317
event_0004,technology,1771999738.0120127,2983,149150.0,122189.57594174564,4.532183013061153,2983,7570.924058254362,4474.5,14915.0,26960.42405825436,0.16529906383612822,12.272842676028361,13.714843067160706
event_0005,business,1772049460.1324067,3515,175750.0,139501.25160639486,3.848443264623314,3515,13401.248393605136,5272.5,17575.0,36248.748393605136,0.17634959607446465,13.224880002456342,7.450879054223845
event_0006,science,1777714970.0467877,4546,227300.0,184202.93289868266,4.274140800942164,4546,13548.067101317332,6819.0,22730.0,43097.067101317334,0.23347151828304877,8.598666248887259,12.557574514594862
event_0007,technology,1766874813.0782595,2944,147200.0,109284.23491634807,2.8822901153448686,2944,18779.76508365193,4416.0,14720.0,37915.76508365193,0.16811740282807922,8.962316453120634,9.735904122653478
event_0008,health,1780598634.2007089,4049,202450.0,162354.21582716404,4.049159261415706,4049,13777.284172835965,6073.5,20245.0,40095.78417283596,0.2494016283402726,8.392792287523246,7.934335966722649
event_0009,health,1773038592.9671493,3221,161050.0,129231.89606786873,4.061583818555727,3221,10881.603932131273,4831.5,16105.0,31818.10393213127,0.17155262396068213,9.808908663804221,13.940545572002604
event_0010,science,1768863630.1758516,3661,183050.0,142534.9661697875,3.5180759509448487,3661,16718.533830212487,5491.5,18305.0,40515.03383021249,0.21922580087397675,10.279122189334128,7.474045694905836
event_0011,business,1766554142.9383187,2427,121350.0,91838.24566577037,3.1119209188879196,2427,13736.25433422962,3640.5,12135.0,29511.75433422962,0.1641994452296985,7.074943170419164,12.991319455117562
event_0012,health,1773137059.26347,2436,121800.0,100274.77260935617,4.65847680907388,2436,5691.227390643832,3654.0,12180.0,21525.22739064383,0.17779940116536241,13.290515029719096,7.396658735088448
event_0013,art,1768030491.2012138,4121,206050.0,166802.56888386377,4.250025138977425,4121,12460.931116136226,6181.5,20605.0,39247.43111613623,0.22695824746662013,8.61581242936114,11.072048439777644
event_0014,science,1775690376.2625895,2382,119100.0,92300.79451434832,3.4441616026178936,2382,11316.205485651677,3573.0,11910.0,26799.205485651677,0.15466667125154718,13.425298613722095,12.546826309879645
event_0015,health,1781102547.8583384,2456,122800.0,95230.63051521765,3.454218659871157,2456,11605.369484782348,3684.0,12280.0,27569.36948478235,0.24172713292432774,12.666495980246307,12.580142892865926
event_0016,health,1772956231.331068,2520,126000.0,92267.41799469627,2.735261059476241,2520,17352.582005303735,3780.0,12600.0,33732.58200530373,0.238108004162684,12.579480803957725,9.048718559479969
event_0017,technology,1769870083.0705788,3485,174250.0,142503.24704840194,4.488750306705891,3485,9094.252951598055,5227.5,17425.0,31746.752951598057,0.19625699499968238,8.812604521392858,13.18168476838806
event_0018,technology,1767291194.9075246,1946,97300.0,71573.96089137229,2.782160152565756,1946,13077.039108627712,2919.0,9730.0,25726.039108627712,0.17604501054728028,11.836886744695496,9.24780448357673
event_0019,science,1768433303.9564354,2867,143350.0,109746.07184670138,3.2658703276012253,2867,14968.428153298613,4300.5,14335.0,33603.92815329861,0.1859760758577427,13.479615158185121,7.350325075568418
event_0020,health,1779809979.195708,3443,172150.0,141560.5492517506,4.627757144670273,3443,8209.9507482494,5164.5,17215.0,30589.4507482494,0.1839478399647692,11.743467809886683,11.402456149744731
event_0021,art,1768555705.1694818,3030,151500.0,111960.02498578983,2.8315653954144584,3030,19844.97501421017,4545.0,15150.0,39539.97501421017,0.21880925919357097,12.618651156801715,11.094532955241112
event_0022,health,1779377491.0882273,3635,181750.0,137173.24505767127,3.0772371213458545,3635,20949.254942328735,5452.5,18175.0,44576.754942328735,0.2447154315169196,10.54993265176527,12.176483169436679
event_0023,art,1768936026.5971005,1770,88500.0,72954.30654327439,4.6928949645351326,1770,4040.693456725612,2655.0,8850.0,15545.693456725612,0.16299907273392106,7.534164000757069,8.304148053363768
event_0024,business,1773944303.879112,3854,192700.0,141272.01395093827,2.7469870940729884,3854,26376.98604906173,5781.0,19270.0,51427.98604906173,0.24825202128914,7.293745418265039,11.878223526675919
event_0025,art,1773790605.103142,2919,145950.0,106024.72604815531,2.6555791746359843,2919,20951.773951844698,4378.5,14595.0,39925.2739518447,0.15739339102388514,13.414315486222414,13.831985781279599
event_0026,science,1776876495.7187147,2837,141850.0,107730.70113033809,3.1574711292244553,2837,15678.798869661918,4255.5,14185.0,34119.298869661914,0.20982642334032847,12.585564236379836,13.52772681101223
event_0027,business,1775452861.528121,4240,212000.0,173177.06831747928,4.4606901336987095,4240,11262.931682520733,6360.0,21200.0,38822.931682520735,0.2235218650741499,9.484717519934621,11.187243351551711
event_0028,science,1773486346.6376796,2809,140450.0,107176.44591432426,3.2210699716163975,2809,15015.05408567575,4213.5,14045.0,33273.55408567575,0.22484382931480346,13.337212252956704,13.617425134142287
event_0029,art,1774243108.8469102,1897,94850.0,70995.67416605382,2.9762180101112974,1897,11523.825833946183,2845.5,9485.0,23854.325833946183,0.16129868729090727,13.000085085815412,8.04757462449665
event_0030,technology,1781676476.766095,4691,234550.0,173847.39302249416,2.86391971743348,4691,30211.106977505853,7036.5,23455.0,60702.60697750586,0.2458114021959585,13.15349049510317,9.677500985190136
event_0031,technology,1768793115.9778845,2589,129450.0,93387.66002150025,2.5896173148269828,2589,19233.839978499745,3883.5,12945.0,36062.339978499745,0.17944276429864908,8.368514101330167,13.833133816937188
event_0032,art,1772963040.499975,2767,138350.0,110331.9868411891,3.9378947470617724,2767,10032.513158810905,4150.5,13835.0,28018.013158810907,0.20801106089535998,10.629954550368117,10.56002200539814
event_0033,technology,1773247015.965524,2830,141500.0,111512.85244664634,3.718688222954208,2830,11592.14755335366,4245.0,14150.0,29987.147553353658,0.18775231597271205,13.02126981034381,11.296947671337545
event_0034,science,1772117637.0761976,3242,162100.0,116962.79303954812,2.5912722765949625,3242,24064.20696045188,4863.0,16210.0,45137.20696045188,0.19968351964457232,8.326265428335667,11.773097002039592
event_0035,health,1769642700.4093237,2761,138050.0,110718.78163407883,4.051000586645351,2761,9384.718365921166,4141.5,13805.0,27331.218365921166,0.20977326612255043,8.464421511588307,13.633400523241885
event_0036,business,1781557546.3092062,2255,112750.0,91504.14371418004,4.306917192848203,2255,6588.35628581996,3382.5,11275.0,21245.85628581996,0.1660017974019412,10.319157102945056,12.563532823275583
