event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319979.50206,3859,192950.0,151718.70288632895,3.679697547910119,3859,16147.797113671058,5788.5,19295.0,41231.297113671055,0.23829323725306978,105.17873198815664,104.54241676028788
event_0001,health,1767832762.3027704,2759,137950.0,103188.40688194016,2.968460235164833,2759,16828.093118059845,4138.5,13795.0,34761.59311805984,0.23190497337839816,91.90025269797952,111.0805683962314
event_0002,art,1766476682.642956,1997,99850.0,74980.66767670991,3.0149851512696473,1997,11888.832323290093,2995.5,9985.0,24869.332323290095,0.18220240556483278,98.49387250600756,95.47452677745602
event_0003,art,1778928072.838406,1914,95700.0,79065.6118505485,4.753142173922137,1914,4193.388149451493,2871.0,9570.0,16634.388149451494,0.16070551684898904,95.35916400108324,84.87566511078337
event_0004,technology,1771999761.8593917,2192,109600.0,88065.05394290759,4.0894021145645665,2192,7286.946057092413,3288.0,10960.0,21534.946057092413,0.20903009120817373,104.69728913735331,101.47117355195279
event_0005,business,1772049483.9797857,4448,222400.0,172100.43758009656,3.4215096374674783,4448,21387.56241990343,6672.0,22240.0,50299.56241990343,0.2428403719438369,117.63105628089713,102.36098213314528
event_0006,science,1777714993.8941667,4166,208300.0,171431.73258891865,4.649845100597055,4166,9789.267411081337,6249.0,20830.0,36868.26741108134,0.23220265162666787,112.30432322731104,108.93205708002068
event_0007,technology,1766874836.9256384,1918,95900.0,73618.76347612106,3.304069924360948,1918,9814.236523878935,2877.0,9590.0,22281.236523878935,0.15779353748604913,112.02901014768813,107.36478194973861
event_0008,health,1780598658.0480878,3386,169300.0,121269.52205197148,2.5248452073117287,3386,26021.477948028518,5079.0,16930.0,48030.47794802852,0.21568765137252438,101.55993264677981,89.40734454045725
event_0009,health,1773038616.8145282,3476,173800.0,129601.60852013309,2.932269799437582,3476,21604.39147986691,5214.0,17380.0,44198.391479866914,0.20765636589971434,112.3832512882756,105.45593576044948
event_0010,science,1768863654.0232306,3322,166100.0,127221.29569282549,3.272261716534329,3322,17285.704307174514,4983.0,16610.0,38878.704307174514,0.20046927805059617,113.7738479332022,99.39903306397498
event_0011,business,1766554166.7856977,4606,230300.0,179753.4807913676,3.5561989946217514,4606,20607.519208632402,6909.0,23030.0,50546.5192086324,0.24968503141749956,117.07454911958165,99.40227758706334
event_0012,health,1773137083.110849,2812,140600.0,107414.37255875803,3.2367738940282047,2812,14907.62744124197,4218.0,14060.0,33185.62744124197,0.20456262395823607,99.70352760145367,90.74023157185354
