event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319976.2378662,42,2100.0,-173.0,-0.07611086669599648,42,2000.0,63.0,210.0,2273.0,0.1667360356408286,11.430362761312214,9.271594413410678
event_0001,health,1767832759.0385766,67,3350.0,914.5,0.3754875795524533,67,2000.0,100.5,335.0,2435.5,0.228347524025106,7.062508991225395,7.293953583147668
event_0002,science,1766476679.3787622,51,2550.0,218.5,0.09371649152905855,51,2000.0,76.5,255.0,2331.5,0.1591401552304213,7.626359319247721,8.103889193381626
event_0003,business,1772284240.047761,72,3600.0,1132.0,0.4586709886547812,72,2000.0,108.0,360.0,2468.0,0.21445748966479183,11.375926311465847,7.418425921265958
event_0004,health,1770935119.3006923,80,4000.0,1480.0,0.5873015873015873,80,2000.0,120.0,400.0,2520.0,0.22885618257868734,8.628722415992446,13.871729976746835
event_0005,technology,1772287333.7200582,41,2050.0,-216.5,-0.09552172953893669,41,2000.0,61.5,205.0,2266.5,0.18581674972504314,8.35075709335111,11.824749861988295
event_0006,business,1774682554.0358152,52,2600.0,262.0,0.11206159110350727,52,2000.0,78.0,260.0,2338.0,0.2197037774995655,10.062500029155414,9.063002175086279
event_0007,technology,1779483643.731041,89,4450.0,1871.5,0.7258095792127206,89,2000.0,133.5,445.0,2578.5,0.233134959339112,12.126816870858988,8.927271240008121
event_0008,business,1781039742.545588,48,2400.0,88.0,0.03806228373702422,48,2000.0,72.0,240.0,2312.0,0.1763349268895432,8.08517834652729,9.069708628475144
event_0009,art,1770461768.163998,56,2800.0,436.0,0.1844331641285956,56,2000.0,84.0,280.0,2364.0,0.15187198565880553,9.653304987666042,8.29874003068005
event_0010,technology,1779767483.119385,56,2800.0,436.0,0.1844331641285956,56,2000.0,84.0,280.0,2364.0,0.20389565215934047,12.047024938787462,11.60802592165874
event_0011,business,1766554163.521504,59,2950.0,566.5,0.23767568701489405,59,2000.0,88.5,295.0,2383.5,0.1822600039912794,10.8602746507445,11.291274696453687
event_0012,technology,1773137079.8466551,60,3000.0,610.0,0.25523012552301255,60,2000.0,90.0,300.0,2390.0,0.16297742663222461,7.46675890167386,12.84635350528804
event_0013,science,1768030511.784399,77,3850.0,1349.5,0.5396920615876825,77,2000.0,115.5,385.0,2500.5,0.23362995266064912,7.691275106539726,10.997085269482893
event_0014,science,1775690396.8457747,45,2250.0,-42.5,-0.018538713195201745,45,2000.0,67.5,225.0,2292.5,0.210595362423245,8.791569712337846,9.564478140660073
event_0015,art,1781102568.4415236,56,2800.0,436.0,0.1844331641285956,56,2000.0,84.0,280.0,2364.0,0.1579956803232872,10.43983850999792,13.228371276144266
event_0016,health,1772956251.9142532,63,3150.0,740.5,0.30732517119734387,63,2000.0,94.5,315.0,2409.5,0.18690686508584736,13.567707003899024,9.911672418968273
