event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319976.320403,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,96.53364747165308,87.16199686085466
event_0001,health,1767832759.1211135,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,113.67431340584665,84.25003596490158
event_0002,science,1766476679.4612992,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,92.68439708249024,88.4155567735265
event_0003,business,1772284240.130298,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,91.79325394828267,102.04809710614171
event_0004,health,1770935119.3832293,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,113.6568547736062,105.18753064963889
event_0005,technology,1772287333.8025951,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,94.04196521282857,109.16256523956119
event_0006,business,1774682554.1183522,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,95.59880186847312,93.73461101251144
event_0007,technology,1779483643.813578,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,92.06629750083478,88.34071338610916
event_0008,business,1781039742.6281247,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,101.37130708999732,89.1949601227202
event_0009,art,1770461768.2465348,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,109.7486825213946,99.09078260461533
event_0010,technology,1779767483.201922,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,99.67800119738382,101.94531003398205
event_0011,business,1766554163.6040409,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,116.20478332741718,89.6582128032859
event_0012,technology,1773137079.929192,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,105.77464087843235,103.63679260409195
event_0013,science,1768030511.866936,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,96.26214280480505,97.75935403999168
event_0014,science,1775690396.9283116,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,118.14731573099581,95.64668967587309
event_0015,art,1781102568.5240605,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,92.11164388830733,92.50932736830555
event_0016,health,1772956251.9967902,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,95.68381239320027,98.73337661022352
event_0017,science,1769870103.736301,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,93.16542545697467,101.88148039686519
event_0018,health,1767291215.5732467,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,95.41189615800205,95.24360086121706
event_0019,art,1768433324.6221576,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,99.45464988427192,111.76096373730755
event_0020,technology,1779809999.8614302,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,108.25240110771117,99.76805167851995
event_0021,health,1768555725.835204,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,103.42499366994748,95.11853572730331
event_0022,health,1779377511.7539494,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,99.05524961797197,92.40935092838886
event_0023,health,1768936047.2628226,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,98.27871410230817,99.50256829198898
event_0024,science,1773944324.5448341,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,94.1522458042923,94.27832100472979
event_0025,health,1773790625.7688642,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,117.53645410033403,104.55944670857224
event_0026,science,1781019313.721453,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,107.28697385330094,109.41435798011864
event_0027,art,1774505927.5427392,225,11250.0,-5400.0,-0.32432432432432434,225,15750.0,337.5,562.5,16650.0,0.0015,91.67768126469959,105.58524210276387
