event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319677.631627,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,36.53364747165308,31.16199686085465
event_0001,health,1767832460.4323375,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,53.674313405846654,28.25003596490158
event_0002,science,1766476380.7725232,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,32.684397082490236,32.415556773526504
event_0003,business,1772283941.441522,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,31.793253948282675,46.04809710614172
event_0004,health,1770934820.6944532,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,53.656854773606206,49.187530649638894
event_0005,technology,1772287035.1138191,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,34.041965212828565,53.16256523956119
event_0006,business,1774682255.4295762,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,35.59880186847312,37.73461101251144
event_0007,technology,1779483345.1248019,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,32.066297500834786,32.34071338610916
event_0008,business,1781039443.9393487,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,41.37130708999732,33.1949601227202
event_0009,art,1770461469.5577588,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,49.7486825213946,43.090782604615335
event_0010,technology,1779767184.513146,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,39.67800119738382,45.94531003398205
event_0011,business,1766553864.9152648,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,56.20478332741717,33.6582128032859
event_0012,technology,1773136781.240416,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,45.77464087843235,47.63679260409195
event_0013,science,1768030213.17816,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,36.262142804805045,41.75935403999168
event_0014,science,1775690098.2395356,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,58.147315730995814,39.64668967587309
event_0015,art,1781102269.8352845,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,32.11164388830732,36.50932736830555
event_0016,health,1772955953.3080142,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,35.68381239320027,42.733376610223516
event_0017,science,1769869805.047525,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,33.165425456974674,45.88148039686518
event_0018,health,1767290916.8844707,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,35.411896158002044,39.24360086121706
event_0019,art,1768433025.9333816,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,39.454649884271916,55.760963737307556
event_0020,technology,1779809701.1726542,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,48.252401107711165,43.76805167851995
event_0021,health,1768555427.1464279,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,43.42499366994748,39.11853572730331
event_0022,health,1779377213.0651734,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,39.05524961797196,36.40935092838886
event_0023,health,1768935748.5740466,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,38.27871410230817,43.50256829198898
event_0024,science,1773944025.8560581,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,34.1522458042923,38.27832100472979
event_0025,health,1773790327.0800881,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,57.53645410033403,48.55944670857224
event_0026,science,1781019015.032677,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,47.28697385330094,53.41435798011864
event_0027,art,1774505628.8539631,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,31.677681264699583,49.58524210276387
event_0028,health,1771292499.81843,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,36.80153014086455,46.27781712848983
event_0029,business,1774242830.8238564,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,31.235467564906894,43.11803242428273
event_0030,art,1781676198.743041,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,41.78648113557105,40.4772546073759
event_0031,business,1768792837.9548306,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,33.96567136112634,30.311263153880315
event_0032,science,1772962762.476921,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,53.2147540966877,31.650504897064877
event_0033,business,1773246737.94247,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,48.47990512782606,48.59869711606903
event_0034,technology,1772117359.0531437,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,32.687839443802055,46.80893149659259
event_0035,art,1769642422.3862698,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,39.14456542639179,55.65425367498442
event_0036,art,1781557268.2861524,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,54.545157603954436,33.59118598096116
event_0037,art,1779813235.8313024,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,58.46822745077367,53.948431463055
event_0038,health,1769834601.2372801,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,43.501847119150376,28.636947224233655
event_0039,science,1767454943.6385262,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,44.49078991034075,48.437860338274085
event_0040,art,1781466982.3646278,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,31.304460224983767,32.768950117253375
event_0041,science,1780364409.668245,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,30.25002525745283,38.88206412263541
event_0042,art,1769439602.3898003,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,56.02231328563444,46.183512053062394
event_0043,technology,1771045923.9772317,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,56.00318236584359,42.88369806456997
event_0044,technology,1769081785.303611,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,37.42176419249254,42.82363018794336
event_0045,science,1771386932.0828726,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,48.75692910753031,34.613733439801955
event_0046,technology,1776699566.9242253,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,56.71206258236285,50.816041854993436
event_0047,health,1770183103.3075166,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,49.70795276848838,30.45826047984444
event_0048,health,1766461545.0736928,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,37.21082424511728,32.27697631672785
event_0049,health,1780643805.726821,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,34.157295803956096,43.15790715182842
event_0050,health,1777561460.707774,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,34.05757481531746,55.87920240649625
event_0051,health,1770688058.2258992,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,46.72020894280706,54.56084379661333
event_0052,health,1768721030.4554296,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,56.403957003257275,39.59312435175101
event_0053,technology,1778347175.9130478,75,3750.0,-1800.0,-0.32432432432432434,75,5250.0,112.5,187.5,5550.0,0.0015,38.21388493894571,49.815020779238196
