event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,culture,1776319676.080646,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,52.75325963511851,51.61266964236789
event_0001,culture,1766869594.7423296,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,42.412737278188665,33.8756703397872
event_0002,culture,1772899682.7666247,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.63009223721839,48.27407586039841
event_0003,culture,1771610028.8766205,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,37.7898011785875,44.10399529234083
event_0004,culture,1774714729.7893326,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,44.932233428769806,50.62345007834883
event_0005,culture,1770875872.120969,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,43.946569031207424,50.30851149038911
event_0006,culture,1771900480.4409673,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.489501333329564,50.569218500331786
event_0007,culture,1769790765.6966147,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,39.008519837265375,43.399820782764756
event_0008,culture,1781039442.3883677,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.80338475758971,51.29719755737196
event_0009,culture,1773038313.3931143,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.066747526597727,31.80110908658709
event_0010,culture,1768863350.6018167,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,54.424998703737494,53.978119349422826
event_0011,culture,1766553863.3642838,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,30.561552913843645,44.167133980943355
event_0012,culture,1774160425.7411873,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,55.22217460673447,37.496267702738386
event_0013,culture,1778233878.4737978,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.505339145197055,49.90563023867551
event_0014,culture,1781102268.2843034,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,56.31146197862377,38.40434015284015
event_0015,culture,1774581693.2529576,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.12185108165228,33.65875558237663
event_0016,culture,1776821386.1073236,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.20347712717282,41.53721440217159
event_0017,culture,1776190223.7024937,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,59.46820421621736,42.452105365306764
event_0018,culture,1768433024.3824005,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.47507961186242,36.70747689981346
event_0019,culture,1767217780.8148637,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.093084883819,49.45304517784386
event_0020,culture,1770707244.6008892,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,36.01666536760605,36.023886559502685
event_0021,culture,1779377211.5141923,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.43381181700305,54.832345526236736
event_0022,culture,1768935747.0230656,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.29833456226148,50.512079476799784
event_0023,culture,1770989710.6131206,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.521785511838047,28.811795213673978
event_0024,culture,1769265260.3042011,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.1403278103742,52.95572504846136
event_0025,culture,1767650316.4332852,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,35.9444141491276,49.235271295788635
event_0026,culture,1771292498.267449,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.78748522986122,50.46581394785116
event_0027,culture,1780074510.1402006,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,44.116376243165334,54.528551565604246
event_0028,culture,1776761919.0551672,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,57.51793265309496,37.249182776255935
event_0029,culture,1771707784.7467897,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,44.359562574604524,51.68145534979137
event_0030,culture,1778367756.6674302,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.428192584982014,30.995476254257206
event_0031,culture,1772117357.5021627,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,37.15725875367407,34.823349709380956
event_0032,culture,1776747458.913233,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,42.934454929302774,55.44574633382189
event_0033,culture,1780752936.9266255,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,52.18101134841068,47.93344700394029
event_0034,culture,1780659074.47895,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,43.35648697082117,36.62500025901747
event_0035,culture,1781412369.8571892,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,39.82224728784601,46.05969523254494
event_0036,culture,1775653186.6685984,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,54.29518103603668,49.198176086755915
event_0037,culture,1766401613.269885,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,36.169850457053656,52.567909873014216
event_0038,culture,1774262079.6937854,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.53373665718294,53.623301607664
