event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,entertainment,1776319675.998829,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,52.75325963511851,51.61266964236789
event_0001,entertainment,1766869594.6605124,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,42.412737278188665,33.8756703397872
event_0002,entertainment,1772899682.6848075,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.63009223721839,48.27407586039841
event_0003,entertainment,1771610028.7948034,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,37.7898011785875,44.10399529234083
event_0004,entertainment,1774714729.7075155,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,44.932233428769806,50.62345007834883
event_0005,entertainment,1770875872.039152,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,43.946569031207424,50.30851149038911
event_0006,entertainment,1771900480.3591502,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.489501333329564,50.569218500331786
event_0007,entertainment,1769790765.6147976,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,39.008519837265375,43.399820782764756
event_0008,entertainment,1781039442.3065505,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.80338475758971,51.29719755737196
event_0009,entertainment,1773038313.3112972,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.066747526597727,31.80110908658709
event_0010,entertainment,1768863350.5199995,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,54.424998703737494,53.978119349422826
event_0011,entertainment,1766553863.2824667,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,30.561552913843645,44.167133980943355
event_0012,entertainment,1774160425.6593702,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,55.22217460673447,37.496267702738386
event_0013,entertainment,1778233878.3919806,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.505339145197055,49.90563023867551
event_0014,entertainment,1781102268.2024863,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,56.31146197862377,38.40434015284015
event_0015,entertainment,1774581693.1711404,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.12185108165228,33.65875558237663
event_0016,entertainment,1776821386.0255065,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.20347712717282,41.53721440217159
event_0017,entertainment,1776190223.6206765,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,59.46820421621736,42.452105365306764
event_0018,entertainment,1768433024.3005834,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.47507961186242,36.70747689981346
event_0019,entertainment,1767217780.7330465,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.093084883819,49.45304517784386
event_0020,entertainment,1770707244.519072,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,36.01666536760605,36.023886559502685
event_0021,entertainment,1779377211.4323752,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.43381181700305,54.832345526236736
event_0022,entertainment,1768935746.9412484,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.29833456226148,50.512079476799784
event_0023,entertainment,1770989710.5313034,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.521785511838047,28.811795213673978
event_0024,entertainment,1769265260.222384,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.1403278103742,52.95572504846136
event_0025,entertainment,1767650316.351468,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,35.9444141491276,49.235271295788635
event_0026,entertainment,1771292498.1856318,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.78748522986122,50.46581394785116
