event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,food,1776319675.917323,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,52.75325963511851,51.61266964236789
event_0001,food,1766869594.5790067,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,42.412737278188665,33.8756703397872
event_0002,food,1772899682.6033018,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.63009223721839,48.27407586039841
event_0003,food,1771610028.7132976,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,37.7898011785875,44.10399529234083
event_0004,food,1774714729.6260097,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,44.932233428769806,50.62345007834883
event_0005,food,1770875871.9576461,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,43.946569031207424,50.30851149038911
event_0006,food,1771900480.2776444,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.489501333329564,50.569218500331786
event_0007,food,1769790765.5332918,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,39.008519837265375,43.399820782764756
event_0008,food,1781039442.2250447,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.80338475758971,51.29719755737196
event_0009,food,1773038313.2297914,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.066747526597727,31.80110908658709
event_0010,food,1768863350.4384937,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,54.424998703737494,53.978119349422826
event_0011,food,1766553863.2009609,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,30.561552913843645,44.167133980943355
event_0012,food,1774160425.5778644,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,55.22217460673447,37.496267702738386
event_0013,food,1778233878.3104749,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.505339145197055,49.90563023867551
event_0014,food,1781102268.1209805,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,56.31146197862377,38.40434015284015
event_0015,food,1774581693.0896347,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.12185108165228,33.65875558237663
event_0016,food,1776821385.9440007,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.20347712717282,41.53721440217159
event_0017,food,1776190223.5391707,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,59.46820421621736,42.452105365306764
event_0018,food,1768433024.2190776,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.47507961186242,36.70747689981346
event_0019,food,1767217780.6515408,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.093084883819,49.45304517784386
event_0020,food,1770707244.4375663,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,36.01666536760605,36.023886559502685
event_0021,food,1779377211.3508694,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.43381181700305,54.832345526236736
event_0022,food,1768935746.8597426,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.29833456226148,50.512079476799784
