event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776320748.066612,3889,194450.0,138604.04213512508,2.481899271393856,3889,30567.457864874934,5833.5,19445.0,55845.95786487493,0.1532366791668051,10.861839640230547,11.468722727182607
event_0001,art,1767833530.8673224,7053,352650.0,292340.69707119046,4.847356591341738,7053,14464.802928809524,10579.5,35265.0,60309.30292880953,0.18145802922041038,12.531579922040171,7.319764288785624
event_0002,business,1766477451.207508,7771,388550.0,277089.7352593328,2.4859956676402404,7771,60948.76474066715,11656.5,38855.0,111460.26474066716,0.22518422707218028,9.786954719584529,8.364185945699417
event_0003,technology,1778928841.4029582,5787,289350.0,234945.71885807512,4.31851526987684,5787,16788.78114192487,8680.5,28935.0,54404.28114192487,0.16010028831822953,9.851005928781465,12.190159391798442
event_0004,technology,1772000530.4239438,4122,206100.0,159609.45689183686,3.4331596540073868,4122,19697.543108163143,6183.0,20610.0,46490.54310816314,0.17901193809600396,11.104507424545933,12.96418967293097
event_0005,science,1772050252.5443377,7634,381700.0,281595.70694219565,2.8130232814250102,7634,50483.293057804345,11451.0,38170.0,100104.29305780435,0.23074760338772812,12.029238951362599,13.190814476531225
event_0006,health,1777715762.4587188,8305,415250.0,327644.7761292909,3.7400141413124044,8305,33622.72387070908,12457.5,41525.0,87605.22387070907,0.21513949150091938,10.614105581834554,12.101044477978142
event_0007,technology,1766875605.4901905,7301,365050.0,269077.98991459643,2.8037131834078424,7301,48515.510085403585,10951.5,36505.0,95972.01008540358,0.1930901445746518,9.522214489909226,12.991667871035546
event_0008,science,1780599426.61264,5379,268950.0,207171.4483705336,3.3534526612585607,5379,26815.05162946643,8068.5,26895.0,61778.55162946643,0.16524014068163995,11.272710630656327,7.52498802323721
event_0009,business,1773039385.3790803,8796,439800.0,360433.6383102343,4.541390466141428,8796,22192.3616897657,13194.0,43980.0,79366.3616897657,0.24689471185012388,13.093202361217113,10.829952367192028
event_0010,science,1768864422.5877826,4853,242650.0,198801.3229447359,4.533804353873192,4853,12304.177055264096,7279.5,24265.0,43848.677055264096,0.17801173223295183,13.538391799250672,8.130307394840813
