event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,business,1776319678.3090672,60,3000.0,2371.4849302937164,3.7731552425655517,60,238.51506970628338,90.0,300.0,628.5150697062834,0.16220232300059453,7.454481065644539,10.295717909498666
event_0001,technology,1766869596.9707508,81,4050.0,3104.431941168204,3.283139602879121,81,419.0680588317959,121.5,405.0,945.568058831796,0.2071367075515751,8.463356862100781,7.407292110958066
event_0002,health,1772899684.995046,62,3100.0,2257.6191552152204,2.680045693337224,62,439.3808447847794,93.0,310.0,842.3808447847794,0.22068056411086567,11.233446147570325,12.517293906986334
event_0003,art,1771610031.1050417,63,3150.0,2338.8681667682367,2.883462429836552,63,401.6318332317633,94.5,315.0,811.1318332317633,0.21142899808483895,11.362709026612142,13.489737577050864
event_0004,business,1774714732.0177538,42,2100.0,1713.211802109743,4.429328018420644,42,113.78819789025687,63.0,210.0,386.78819789025687,0.17904880641345505,13.185645768536927,8.629051476419788
event_0005,art,1770875874.3493903,59,2950.0,2432.395764871221,4.699335128635582,59,134.10423512877864,88.5,295.0,517.6042351287787,0.21153079941793307,12.162278629366224,8.451315854467083
event_0006,art,1771900482.6693885,54,2700.0,2219.02111545415,4.613552043036971,54,129.97888454585004,81.0,270.0,480.97888454585006,0.21900170615436637,8.486365534954375,11.484328176143094
event_0007,business,1769790767.925036,51,2550.0,1942.4100085162077,3.196909158711878,51,276.0899914837924,76.5,255.0,607.5899914837923,0.18332828904789805,12.369228206894686,7.796857340640205
event_0008,science,1781039444.6167889,71,3550.0,2744.362806829584,3.4064499877788905,71,344.13719317041614,106.5,355.0,805.6371931704161,0.24222797652518224,8.358109059286145,12.836777101200505
event_0009,science,1773038315.6215355,89,4450.0,3446.540979753061,3.4346604198195454,89,424.95902024693896,133.5,445.0,1003.459020246939,0.23652243505192364,8.0877040206671,10.224325554403723
event_0010,art,1768863352.8302379,69,3450.0,2633.6566357623296,3.226162851488024,69,367.84336423767047,103.5,345.0,816.3433642376705,0.20649426409972022,7.392155996305794,10.647512570734367
event_0011,technology,1766553865.592705,48,2400.0,1949.0001870336198,4.321509967408586,48,138.99981296638015,72.0,240.0,450.99981296638015,0.22957827996730473,9.3220350488778,13.413305157543764
event_0012,business,1774160427.9696085,53,2650.0,2139.9135065729097,4.19519735211099,53,165.58649342709046,79.5,265.0,510.08649342709043,0.1665969487808508,9.626685443413077,10.739912233478131
event_0013,art,1778233880.702219,56,2800.0,2294.835944242699,4.542753820444462,56,141.1640557573012,84.0,280.0,505.1640557573012,0.22098400148125602,9.157969936258072,13.004736343037305
event_0014,science,1781102270.5127246,47,2350.0,1844.9711752284006,3.6531997476832996,47,199.5288247715995,70.5,235.0,505.0288247715995,0.2025100419687616,12.80620228242194,9.118400935180329
event_0015,science,1774581695.4813788,87,4350.0,3530.0714003049543,4.305340003529438,87,254.42859969504545,130.5,435.0,819.9285996950455,0.22990252784092963,7.648228832382102,10.541962848414059
event_0016,science,1776821388.3357449,64,3200.0,2618.2713990531774,4.500846949576957,64,165.72860094682267,96.0,320.0,581.7286009468227,0.18273379515356947,13.117153656969933,9.172510962402317
event_0017,health,1776190225.9309149,42,2100.0,1525.0678289858183,2.652604786918769,42,301.93217101418156,63.0,210.0,574.9321710141816,0.15365525369299085,13.94904240912959,8.43630977028604
event_0018,business,1768433026.6108217,63,3150.0,2278.3877388727606,2.6139922996564606,63,462.11226112723966,94.5,315.0,871.6122611272397,0.23718750930359653,7.308209745655702,12.936868169605829
event_0019,health,1767217783.043285,73,3650.0,2937.587589155543,4.123436852641965,73,237.91241084445718,109.5,365.0,712.4124108444572,0.22584938206683314,12.218883076216024,7.157361828110507
event_0020,technology,1770707246.8293104,55,2750.0,2230.5263151206063,4.293819648705532,55,161.97368487939366,82.5,275.0,519.4736848793937,0.21711240419570418,10.725930640355113,12.409509681819449
event_0021,health,1779377213.7426136,63,3150.0,2512.0423058904075,3.93763149043371,63,228.4576941095924,94.5,315.0,637.9576941095925,0.20425287138694387,10.91738034485597,7.7166270497891425
event_0022,business,1768935749.2514868,68,3400.0,2601.444542370675,3.2576880134206276,68,356.5554576293248,102.0,340.0,798.5554576293248,0.18113775597010767,11.018580598486777,8.198924828311057
event_0023,health,1770989712.8415418,40,2000.0,1565.9399774450367,3.6076576880487727,40,174.0600225549632,60.0,200.0,434.0600225549632,0.18835996393397442,13.323046853605446,7.353192074160937
event_0024,art,1769265262.5326223,52,2600.0,2054.312386162267,3.764630777881541,52,207.68761383773307,78.0,260.0,545.6876138377331,0.19458362655067096,11.406294829049862,11.830874278363275
event_0025,art,1767650318.6617064,85,4250.0,3237.9274558483394,3.1993037204288894,85,459.5725441516607,127.5,425.0,1012.0725441516606,0.24227839913647095,12.665098762023408,7.54981925201247
event_0026,business,1771292500.49587,59,2950.0,2177.161302665246,2.8170966466527885,59,389.33869733475433,88.5,295.0,772.8386973347543,0.18103916845059242,11.890195863529527,7.680840977945098
event_0027,art,1780074512.3686218,47,2350.0,1898.7944337927452,4.2082690817705055,47,145.70556620725483,70.5,235.0,451.20556620725483,0.1758052765673858,8.0060517864501,13.2699060314789
event_0028,technology,1776761921.2835884,42,2100.0,1714.5524615603456,4.448212248289595,42,112.44753843965445,63.0,210.0,385.44753843965447,0.19875067325701126,13.025541150397265,9.273327620126167
event_0029,health,1771707786.975211,62,3100.0,2422.084814607131,3.5728434276088263,62,274.91518539286903,93.0,310.0,677.915185392869,0.2074678258056894,8.975801582452585,9.44030809574635
event_0030,business,1778367758.8958514,52,2600.0,1973.7527815029482,3.1517150467187904,52,288.24721849705185,78.0,260.0,626.2472184970518,0.1802118126546931,10.893049020664094,7.4964679296837495
event_0031,health,1772117359.730584,37,1850.0,1381.4187109381305,2.948087649218391,37,228.08128906186957,55.5,185.0,468.5812890618696,0.1566059934651212,8.113142027089314,10.376622592558824
event_0032,science,1776747461.1416543,51,2550.0,1911.600809992584,2.9943659702487677,51,306.89919000741605,76.5,255.0,638.3991900074161,0.21941331568073802,10.97047835969394,9.395405842450918
event_0033,science,1780752939.1550467,55,2750.0,2250.274209966752,4.503017964746297,55,142.22579003324813,82.5,275.0,499.72579003324813,0.20960754935660098,12.857237356948943,7.800260023363992
event_0034,health,1780659076.7073712,69,3450.0,2524.0755882943486,2.7260060933534866,69,477.42441170565155,103.5,345.0,925.9244117056516,0.2185508681938549,9.840555880123775,11.187814271161052
event_0035,health,1781412372.0856104,51,2550.0,1885.4735155801725,2.8373188424932483,51,333.02648441982745,76.5,255.0,664.5264844198275,0.16389167374913508,7.430375550938629,8.523282414073014
event_0036,health,1775653188.8970196,57,2850.0,2212.5713591358217,3.4710887106299175,57,266.9286408641784,85.5,285.0,637.4286408641784,0.17915032535045047,11.626169756386542,10.170820941916038
event_0037,technology,1766401615.4983063,83,4150.0,2978.035111408725,2.541061716437923,83,632.4648885912751,124.5,415.0,1171.9648885912752,0.2179558927599714,9.098147340058794,12.560426618102415
event_0038,health,1774262081.9222066,63,3150.0,2294.0933102651234,2.6803077225342586,63,446.4066897348765,94.5,315.0,855.9066897348765,0.2111490756172103,13.93202479649344,11.079088844782373
event_0039,technology,1769081785.9810512,46,2300.0,1638.8798405889308,2.4789439820574484,46,362.12015941106915,69.0,230.0,661.1201594110692,0.15008433141064206,13.307529865519673,13.775296616344832
event_0040,health,1774325090.7388437,67,3350.0,2494.36699201255,2.9152299744485024,67,420.13300798745024,100.5,335.0,855.6330079874502,0.20901638745834553,7.218293194820643,10.022008507814654
event_0041,technology,1778057013.0544837,50,2500.0,1822.0016987819627,2.687324873098798,50,352.99830121803734,75.0,250.0,677.9983012180373,0.1639068865688345,8.478512522856986,8.213870743841678
event_0042,health,1767507937.3597286,32,1600.0,1203.5092654003508,3.035403252526385,32,188.49073459964913,48.0,160.0,396.49073459964916,0.16255491534939218,9.019296102093103,13.109149841148128
event_0043,business,1769778730.0991554,37,1850.0,1356.580961552859,2.749348638476152,37,252.91903844714096,55.5,185.0,493.41903844714096,0.16357757455458002,11.60548687768836,13.824825189497496
event_0044,business,1777561461.385214,61,3050.0,2376.2703654464312,3.527038508586624,61,277.2296345535689,91.5,305.0,673.729634553569,0.2123248481599967,11.867733636729469,13.512177087217042
event_0045,science,1774482567.428551,45,2250.0,1670.153387383204,2.8803365425313965,45,287.346612616796,67.5,225.0,579.8466126167959,0.15074299914981312,8.580186428878733,9.973403001070118
event_0046,business,1769971891.272183,31,1550.0,1196.6121274299312,3.3861154281480617,31,151.8878725700688,46.5,155.0,353.3878725700688,0.1533461876051377,13.485951161557166,11.034466472035572
event_0047,art,1779328436.2050335,68,3400.0,2471.384931196744,2.661366387669886,68,486.61506880325595,102.0,340.0,928.615068803256,0.22301854694731024,13.732164247583455,7.560441739817056
event_0048,technology,1777800341.652333,52,2600.0,1961.233191077366,3.0703429853928212,52,300.766808922634,78.0,260.0,638.766808922634,0.21100706092152471,10.618646849301772,10.663497561435463
event_0049,technology,1772663245.5778787,66,3300.0,2381.1802320477045,2.5915639988400145,66,489.81976795229525,99.0,330.0,918.8197679522953,0.20796284400857964,11.788518134026331,10.774380487104413
event_0050,health,1776371355.2652915,55,2750.0,2166.038201250197,3.7092121537529374,55,226.4617987498032,82.5,275.0,583.9617987498032,0.20739653016165982,10.178243403052104,13.342385569845339
event_0051,art,1781168439.2115216,54,2700.0,1986.653016130322,2.7849742986973434,54,362.346983869678,81.0,270.0,713.3469838696781,0.20976365189956522,8.172557139748957,11.865358140021947
event_0052,health,1767442465.6367316,55,2750.0,2039.1645745484188,2.8686873241481647,55,353.3354254515813,82.5,275.0,710.8354254515813,0.21563198863742114,11.04698760944273,11.010019968162023
