event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,business,1776319678.3090672,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,52.75325963511851,51.61266964236789
event_0001,technology,1766869596.9707508,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,42.412737278188665,33.8756703397872
event_0002,health,1772899684.995046,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.63009223721839,48.27407586039841
event_0003,art,1771610031.1050417,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,37.7898011785875,44.10399529234083
event_0004,business,1774714732.0177538,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,44.932233428769806,50.62345007834883
event_0005,art,1770875874.3493903,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,43.946569031207424,50.30851149038911
event_0006,art,1771900482.6693885,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.489501333329564,50.569218500331786
event_0007,business,1769790767.925036,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,39.008519837265375,43.399820782764756
event_0008,science,1781039444.6167889,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.80338475758971,51.29719755737196
event_0009,science,1773038315.6215355,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.066747526597727,31.80110908658709
event_0010,art,1768863352.8302379,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,54.424998703737494,53.978119349422826
event_0011,technology,1766553865.592705,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,30.561552913843645,44.167133980943355
event_0012,business,1774160427.9696085,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,55.22217460673447,37.496267702738386
event_0013,art,1778233880.702219,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.505339145197055,49.90563023867551
event_0014,science,1781102270.5127246,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,56.31146197862377,38.40434015284015
event_0015,science,1774581695.4813788,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.12185108165228,33.65875558237663
event_0016,science,1776821388.3357449,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.20347712717282,41.53721440217159
event_0017,health,1776190225.9309149,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,59.46820421621736,42.452105365306764
event_0018,business,1768433026.6108217,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.47507961186242,36.70747689981346
event_0019,health,1767217783.043285,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.093084883819,49.45304517784386
event_0020,technology,1770707246.8293104,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,36.01666536760605,36.023886559502685
event_0021,health,1779377213.7426136,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.43381181700305,54.832345526236736
event_0022,business,1768935749.2514868,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.29833456226148,50.512079476799784
event_0023,health,1770989712.8415418,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,31.521785511838047,28.811795213673978
event_0024,art,1769265262.5326223,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.1403278103742,52.95572504846136
event_0025,art,1767650318.6617064,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,35.9444141491276,49.235271295788635
event_0026,business,1771292500.49587,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.78748522986122,50.46581394785116
event_0027,art,1780074512.3686218,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,44.116376243165334,54.528551565604246
event_0028,technology,1776761921.2835884,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,57.51793265309496,37.249182776255935
event_0029,health,1771707786.975211,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,44.359562574604524,51.68145534979137
event_0030,business,1778367758.8958514,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.428192584982014,30.995476254257206
event_0031,health,1772117359.730584,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,37.15725875367407,34.823349709380956
event_0032,science,1776747461.1416543,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,42.934454929302774,55.44574633382189
event_0033,science,1780752939.1550467,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,52.18101134841068,47.93344700394029
event_0034,health,1780659076.7073712,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,43.35648697082117,36.62500025901747
event_0035,health,1781412372.0856104,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,39.82224728784601,46.05969523254494
event_0036,health,1775653188.8970196,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,54.29518103603668,49.198176086755915
event_0037,technology,1766401615.4983063,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,36.169850457053656,52.567909873014216
event_0038,health,1774262081.9222066,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.53373665718294,53.623301607664
event_0039,technology,1769081785.9810512,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,55.57515538353875,29.747495638864045
event_0040,health,1774325090.7388437,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,33.29094950733658,35.901858897797986
event_0041,technology,1778057013.0544837,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,42.18097963517123,40.18532135533784
event_0042,health,1767507937.3597286,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,40.80863665937543,39.68259385466191
event_0043,business,1769778730.0991554,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,34.319876593650704,52.77688310762969
event_0044,business,1777561461.385214,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,55.80458286166831,53.02030913598833
event_0045,science,1774482567.428551,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,54.60214274750183,38.77201209924074
event_0046,business,1769971891.272183,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.36389996895093,35.53901254760815
event_0047,art,1779328436.2050335,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,41.057357962391755,44.247525881848645
event_0048,technology,1777800341.652333,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,52.517466272161116,35.82377041144831
event_0049,technology,1772663245.5778787,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,49.91210817405828,46.724079893427295
event_0050,health,1776371355.2652915,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,46.050997848479554,28.30193520432954
