event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319678.058286,42,2100.0,1712.848302813294,4.424230386331647,42,114.15169718670614,63.0,210.0,387.15169718670614,0.1667360356408286,11.430362761312214,9.271594413410678
event_0001,health,1767832460.8589964,63,3150.0,2474.1113052713777,3.6605306828881994,63,266.38869472862234,94.5,315.0,675.8886947286223,0.197527067876165,7.293953583147668,12.48432668175742
event_0002,science,1766476381.199182,96,4800.0,3623.9237777993817,3.081368120017312,96,552.0762222006183,144.0,480.0,1176.0762222006183,0.24308487845186272,7.639810866129491,11.330514009065588
event_0003,business,1772283941.8681808,39,1950.0,1388.787883634463,2.4746220602441467,39,307.71211636553704,58.5,195.0,561.212116365537,0.16258274576652262,11.90929698016102,12.54026371055649
event_0004,health,1770934821.121112,57,2850.0,2243.0067159403525,3.695274354501653,57,236.49328405964755,85.5,285.0,606.9932840596475,0.16929652990501584,12.6386776361061,10.071032286676182
event_0005,technology,1772287035.540478,60,3000.0,2421.6806989609254,4.187445749449927,60,188.31930103907453,90.0,300.0,578.3193010390745,0.1794714596440897,10.397114932137592,10.062500029155414
event_0006,business,1774682255.856235,89,4450.0,3397.3861543713256,3.2275712204243665,89,474.1138456286742,133.5,445.0,1052.6138456286742,0.233134959339112,12.126816870858988,8.927271240008121
event_0007,technology,1779483345.5514607,37,1850.0,1393.8582141375346,3.055756471646312,37,215.6417858624653,55.5,185.0,456.1417858624653,0.18671127070045396,9.069708628475144,8.843444882268024
event_0008,business,1781039444.3660078,56,2800.0,2081.7428029382017,2.8983250170747543,56,354.2571970617982,84.0,280.0,718.2571970617983,0.22760165677979388,7.131038996116386,12.997805018339502
event_0009,art,1770461469.9844177,61,3050.0,2307.127637299707,3.105685112464607,61,346.3723627002928,91.5,305.0,742.8723627002928,0.19975491595695472,9.712435881265149,10.668488381673166
event_0010,technology,1779767184.9398048,57,2850.0,2321.1172009177917,4.388717509712399,57,158.38279908220815,85.5,285.0,528.8827990822082,0.15666798430962656,7.773248938275829,10.662403774352649
event_0011,business,1766553865.3419237,76,3800.0,2853.9879062220543,3.0168619671916814,76,452.01209377794555,114.0,380.0,946.0120937779456,0.2071012181354699,10.397592010656867,7.691275106539726
event_0012,technology,1773136781.667075,45,2250.0,1616.3430200615562,2.55081703703252,45,341.1569799384438,67.5,225.0,633.6569799384438,0.210595362423245,8.791569712337846,9.564478140660073
event_0013,science,1768030213.6048188,48,2400.0,1831.2902718326338,3.2200790335235863,48,256.7097281673662,72.0,240.0,568.7097281673662,0.2301019949010884,13.228371276144266,7.559697622630104
event_0014,science,1775690098.6661944,58,2900.0,2392.852703008529,4.718259797900036,58,130.14729699147134,87.0,290.0,507.1472969914713,0.23236429662774005,9.583480556009315,11.959036494851858
event_0015,art,1781102270.2619433,55,2750.0,2107.051853037184,3.2771722929610414,55,285.44814696281594,82.5,275.0,642.9481469628159,0.15971192501576625,13.61222437405065,13.724107218059874
event_0016,health,1772955953.734673,58,2900.0,2262.51575911309,3.5491320631947394,58,260.4842408869096,87.0,290.0,637.4842408869097,0.1678897891628917,8.741341203378093,11.377275374774065
