user_id,num_recommendations,clicks,conversions,click_rate,conversion_rate,avg_compatibility,total_engagement
user_1,20,10,2,0.5,0.1,0.7381181956271685,7.581031502134885
user_2,20,7,2,0.35,0.1,0.67062331210798,4.679666949481464
user_3,20,6,2,0.3,0.1,0.7513104978362597,4.698239628946723
user_4,20,8,1,0.4,0.05,0.7381424991567478,5.985087564898676
user_5,20,9,1,0.45,0.05,0.7127767473303349,6.594392666379285
user_6,20,6,2,0.3,0.1,0.743747131156103,4.326076884386911
user_7,20,8,0,0.4,0.0,0.7338899133936996,6.129614317554929
user_8,20,10,1,0.5,0.05,0.6842041571919862,6.596384608747682
user_9,20,9,3,0.45,0.15,0.6795400259034263,6.081275020207056
user_10,20,8,2,0.4,0.1,0.7428661736168365,6.109080148326384
user_11,20,7,3,0.35,0.15,0.713195539318537,5.006519320105353
user_12,20,6,2,0.3,0.1,0.7234012438325197,4.267173252291315
user_13,20,7,1,0.35,0.05,0.7303068204168517,5.349530867598003
user_14,20,8,1,0.4,0.05,0.7224624377172164,5.819253634306446
user_15,20,6,1,0.3,0.05,0.7005154954182446,4.222640807655585
user_16,20,10,2,0.5,0.1,0.7019261632406767,7.045005808665725
user_17,20,4,2,0.2,0.1,0.7019463578234251,2.6856436949502487
user_18,20,10,1,0.5,0.05,0.7134350303600882,7.272746501310963
user_19,20,6,0,0.3,0.0,0.708458906817801,4.132928392919838
user_20,20,10,1,0.5,0.05,0.7254195308098966,7.284473782189822
user_21,20,7,2,0.35,0.1,0.674114664018298,4.723845467587779
user_22,20,4,2,0.2,0.1,0.6151599334667323,2.339979602119832
user_23,20,10,1,0.5,0.05,0.7336069327374163,7.350202161193402
user_24,20,8,0,0.4,0.0,0.6586717777123356,5.345698392634261
user_25,20,8,1,0.4,0.05,0.7326824801972917,5.810665206722198
user_26,20,10,3,0.5,0.15,0.7453119326638148,7.413361695750815
user_27,20,7,2,0.35,0.1,0.7420030607982264,5.070771316959579
user_28,20,6,1,0.3,0.05,0.7276799590412935,4.559999697344928
user_29,20,6,1,0.3,0.05,0.7459215504225082,4.692335029730778
user_30,20,9,3,0.45,0.15,0.7072538638997226,6.387058509313093
user_31,20,5,0,0.25,0.0,0.4958865629947752,2.539962868294248
