event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,total_conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,technology,1776319677.9880412,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,43.957597665759046,36.053686640956286
event_0001,health,1767832460.7887516,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.860872184703254,47.32877834888362
event_0002,science,1766476381.1289372,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,41.44092892972887,38.05085641216289
event_0003,business,1772283941.797936,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,30.24293897284471,52.221887135523446
event_0004,health,1770934821.0508673,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,57.08804755349327,49.72074742889467
event_0005,technology,1772287035.4702332,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,52.66731971225032,49.48918168587299
event_0006,business,1774682255.7859902,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,53.658314520304614,28.93420687487771
event_0007,technology,1779483345.481216,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,36.023843839502284,50.02235870885414
event_0008,business,1781039444.295763,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,57.42146860614936,54.43725885072156
event_0009,art,1770461469.914173,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.25898082720273,49.116241805717394
event_0010,technology,1779767184.86956,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,46.719378538230444,30.528480515920332
event_0011,business,1766553865.271679,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,37.86484224749209,38.66871397962931
event_0012,technology,1773136781.5968301,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,58.29507408173547,37.18417589088652
event_0013,science,1768030213.534574,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,49.47718338853773,31.266926228357526
event_0014,science,1775690098.5959496,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,46.126398176475774,38.88208327220399
event_0015,art,1781102270.1916986,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,51.79797451671725,52.79158594918822
event_0016,health,1772955953.6644282,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,50.708419912426905,34.083551171531724
event_0017,science,1769869805.403939,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,57.05088637273964,46.05515067311278
event_0018,health,1767290917.2408848,30,1500.0,-720.0,-0.32432432432432434,30,2100.0,45.0,75.0,2220.0,0.0015,32.75020271452563,33.93896283185277
