event_id,category,event_date,matched_users,conversions,tickets_sold,gross_revenue,marketing_cost,payment_processing_fee,platform_fee,total_costs,net_profit,cpa,roi,conversion_rate,attendance_rate,marketing_start_days_before,marketing_duration_days,marketing_start_date,marketing_end_date
event_0000,business,1775530252.839553,253,319,319,15950.0,1760.2109286041207,478.5,1595.0,3833.7109286041205,12116.28907139588,5.51790259750508,3.16045974697615,1.2632208179695303,0.319,58.547879145311555,35.18124545992034,1770471716.0813982,1773511375.6891353
event_0001,technology,1769821767.6163042,272,224,224,11200.0,1650.6884444342106,336.0,1120.0,3106.6884444342104,8093.31155556579,7.369144841224155,2.6051249426267273,0.8267601171728197,0.224,38.4985683761856,42.35509831157908,1766495491.3086016,1770154971.802722
event_0002,business,1772124659.4421256,270,139,139,6950.0,870.9377167790302,208.5,695.0,1774.4377167790303,5175.56228322097,6.265738969633311,2.9167336978249545,0.5162705126343488,0.139,58.54451649855748,29.269655901926694,1767066413.2166502,1769595311.4865768
event_0003,business,1771415906.9551163,253,280,280,14000.0,1808.7316466183806,420.0,1400.0,3628.7316466183806,10371.26835338162,6.459755880779931,2.8580973638672393,1.1101269987800968,0.28,58.8306144275336,34.92993014943762,1766332941.8685775,1769350887.833489
event_0004,business,1777912827.334262,257,308,308,15400.0,1389.3008182956444,462.0,1540.0,3391.3008182956446,12008.699181704356,4.510716942518326,3.541030367143759,1.1990250018215711,0.308,31.242174237331152,53.407062778748596,1775213503.4801564,1779827873.7042403
event_0005,technology,1769485051.7305045,262,132,132,6600.0,948.0556659322234,198.0,660.0,1806.0556659322233,4793.944334067777,7.182239893425935,2.654372411934108,0.505492141081828,0.132,37.88701187241801,34.11262978737386,1766211613.9047277,1769158945.1183567
event_0006,health,1771045922.3964431,262,199,199,9950.0,1573.6490253238487,298.5,995.0,2867.149025323849,7082.850974676151,7.907784046853511,2.4703462959607174,0.7627474266458685,0.199,36.2690972941428,40.50612717112017,1767912272.3902292,1771412001.777814
event_0007,art,1767241213.7242043,256,341,341,17050.0,950.136013499848,511.5,1705.0,3166.636013499848,13883.363986500151,2.7863226202341584,4.384262645695076,1.3336355610257773,0.341,44.797625818483816,51.314447057157324,1763370698.8534873,1767804267.0792255
event_0008,health,1777722003.9564853,261,255,255,12750.0,1892.8750573600182,382.5,1275.0,3550.375057360018,9199.62494263998,7.423039440627522,2.5911698888174994,0.9772214874320906,0.255,57.14931143073855,37.94866930392523,1772784303.4488695,1776063068.4767287
event_0009,business,1771954867.1383777,255,164,164,8200.0,533.385646576907,246.0,820.0,1599.385646576907,6600.614353423093,3.2523515035177257,4.126968606696009,0.6442805081446334,0.164,30.361422362571748,49.571460972019395,1769331640.2462516,1773614614.474234
event_0010,health,1776799024.3830297,263,165,165,8250.0,672.3252637196873,247.5,825.0,1744.8252637196874,6505.174736280313,4.074698567998105,3.7282671632185815,0.6306921201221366,0.165,31.093845385511223,31.71719264233972,1774112516.1417215,1776852881.5860198
event_0011,business,1766966954.6649761,259,293,293,14650.0,1120.1349968828217,439.5,1465.0,3024.6349968828217,11625.365003117178,3.8229863374840334,3.843559641113139,1.1313024927193558,0.293,58.724184499854516,31.093732453674715,1761893185.1241887,1764579683.6081862
event_0012,technology,1773608027.1931162,260,170,170,8500.0,1263.7154797000255,255.0,850.0,2368.7154797000258,6131.284520299974,7.43362046882368,2.5884427964630183,0.6573932987892651,0.17,55.7892535990683,51.650414181769364,1768787835.6821568,1773250431.4674616
event_0013,art,1766676255.61406,263,196,196,9800.0,572.4823167603074,294.0,980.0,1846.4823167603074,7953.517683239693,2.9208281467362625,4.307389034298638,0.7471011671475226,0.196,41.878094674711946,46.00468580842663,1763057988.2341647,1767032793.0880127
event_0014,technology,1770290635.764075,266,142,142,7100.0,612.2474525388368,213.0,710.0,1535.2474525388368,5564.752547461163,4.311601778442513,3.6246616389160837,0.5353723969593636,0.142,40.23381137398613,33.446291138508556,1766814434.4613626,1769704194.0157297
event_0015,health,1772419446.5814278,256,276,276,13800.0,2102.460632649445,414.0,1380.0,3896.460632649445,9903.539367350555,7.617610987860308,2.5416757157421928,1.0798697816574812,0.276,42.89469009095517,42.488283114135726,1768713345.3575692,1772384333.0186305
event_0016,art,1767389484.3867702,259,241,241,12050.0,1531.6059719018901,361.5,1205.0,3098.1059719018904,8951.89402809811,6.355211501667594,2.8894731520764116,0.9327020717787735,0.241,47.27667907607149,50.936492710228904,1763304779.3145976,1767705692.2847614
event_0017,business,1768692426.2157357,271,219,219,10950.0,1730.2122442501184,328.5,1095.0,3153.7122442501186,7796.287755749881,7.900512530822458,2.472098641835239,0.8096855910375792,0.219,37.14732719683225,33.27435290731527,1765482897.1459293,1768357801.2371213
event_0018,health,1776379085.1767373,256,360,360,18000.0,2132.0798522082914,540.0,1800.0,4472.079852208291,13527.920147791709,5.922444033911921,3.0249728526452153,1.4067403646338434,0.36,54.3673375582452,36.154455724598726,1771681747.211705,1774805492.1863103
event_0019,art,1775561642.6638625,260,340,340,17000.0,1529.5336569048557,510.0,1700.0,3739.533656904856,13260.466343095144,4.49862840266134,3.546021391894783,1.3111765072943797,0.34,45.50867708805697,29.93059996621707,1771629692.9634542,1774215696.8005354
event_0020,health,1774479670.0721583,269,131,131,6550.0,396.80958523976363,196.5,655.0,1248.3095852397637,5301.690414760236,3.0290808033569743,4.24709581457066,0.4894309849688546,0.131,53.738805133948276,44.07052967235444,1769836637.3085852,1773644331.0722766
event_0021,technology,1781678158.2719097,259,290,290,14500.0,1538.6870569564478,435.0,1450.0,3423.687056956448,11076.312943043551,5.3058174377808545,3.2352001683500977,1.1229801063460467,0.29,44.43452046921688,46.24288366926373,1777839015.7033694,1781834400.8523939
event_0022,health,1770077959.9377096,261,311,311,15550.0,1117.98541569394,466.5,1555.0,3139.48541569394,12410.51458430606,3.594808410591447,3.953041005467734,1.191764595060226,0.311,42.45151403811448,30.45462923002565,1766410149.1248164,1769041429.0902905
event_0023,business,1769624600.2880137,254,486,486,24300.0,2786.074234113994,729.0,2430.0,5945.074234113994,18354.925765886008,5.732663033156366,3.0874174220671406,1.9136876387551793,0.486,40.917505469025855,44.88806636093517,1766089327.8154898,1769967656.7490745
event_0024,health,1776538368.0527518,257,216,216,10800.0,1455.6981612294142,324.0,1080.0,2859.698161229414,7940.301838770586,6.739343339025066,2.77662235351334,0.8432467820846251,0.216,34.1697830946956,41.447181969222804,1773586098.79337,1777167135.3155107
event_0025,technology,1777948569.5970414,260,305,305,15250.0,1448.8458610127395,457.5,1525.0,3431.3458610127395,11818.65413898726,4.750314298402425,3.444320280643194,1.1733124186390944,0.305,52.16163597227039,41.835152995517205,1773441804.2490373,1777056361.46785
event_0026,technology,1778357405.941984,254,177,177,8850.0,1307.9086085043982,265.5,885.0,2458.408608504398,6391.591391495602,7.389314172341233,2.599889769904443,0.698421796387688,0.177,49.9576831973846,31.401942403494267,1774041062.11373,1776754189.9373918
event_0027,science,1774002155.1330166,261,237,237,11850.0,598.7729198113379,355.5,1185.0,2139.272919811338,9710.727080188663,2.5264680160815947,4.539265182230722,0.9113914693710164,0.237,53.865108381661386,32.38691803323562,1769348209.768841,1772146439.4869125
event_0028,technology,1774305226.6350777,259,246,246,12300.0,1473.5222190773452,369.0,1230.0,3072.522219077345,9227.477780922654,5.989927719826606,3.003225728891098,0.9520694840690215,0.246,47.004356622191835,39.36613319361329,1770244050.2229204,1773645284.1308486
event_0029,business,1768197851.0929685,257,208,208,10400.0,1234.0233019847972,312.0,1040.0,2586.0233019847974,7813.976698015203,5.932804336465371,3.021618827648576,0.8115212495476328,0.208,34.26817944498506,46.03825576923168,1765237080.3889217,1769214785.6873834
event_0030,science,1772381207.2442489,262,268,268,13400.0,1270.8994300940576,402.0,1340.0,3012.8994300940576,10387.100569905942,4.742162052589767,3.447543076332181,1.0244814669362952,0.268,30.392248364109857,30.056627669490073,1769755316.9855897,1772352209.6162336
event_0031,technology,1780915734.6657627,260,222,222,11100.0,805.4255309221619,333.0,1110.0,2248.4255309221617,8851.574469077837,3.62804293208181,3.9367879199661475,0.8551931156046783,0.222,54.56640787356419,37.481377802093036,1776201197.0254867,1779439588.0675876
event_0032,science,1778791482.7972412,258,224,224,11200.0,661.8809260431178,336.0,1120.0,2117.880926043118,9082.119073956881,2.9548255626924904,4.288304862788106,0.8702536819846725,0.224,54.80490499206714,52.578929212370554,1774056339.0059266,1778599158.4898753
event_0033,art,1767511220.2962754,265,214,214,10700.0,1497.1713792485962,321.0,1070.0,2888.171379248596,7811.828620751404,6.996127940414,2.704766301916535,0.8076931297632547,0.214,54.34844791356736,50.925284573533126,1762815514.3965433,1767215458.9836965
event_0034,technology,1775853008.2208369,269,171,171,8550.0,1056.4228008074015,256.5,855.0,2167.9228008074015,6382.0771991925985,6.1779111158327575,2.943867372406303,0.6375433539027092,0.171,42.33405460073098,45.4366529704412,1772195345.9033337,1776121072.7199798
event_0035,business,1780549814.854035,254,291,291,14550.0,1543.5059876029636,436.5,1455.0,3435.0059876029636,11114.994012397037,5.304144287295408,3.235800476771037,1.1465035002347448,0.291,36.272652436835955,31.72305516600885,1777415857.6834922,1780156729.6498353
event_0036,technology,1778683245.1526484,254,393,393,19650.0,2291.2288668638253,589.5,1965.0,4845.728866863825,14804.271133136175,5.830098897872329,3.055117514801764,1.5504284569684978,0.393,53.63439763620988,29.950944243844894,1774049233.1968799,1776636994.7795482
event_0037,art,1773086074.4590077,265,233,233,11650.0,1817.4199569379007,349.5,1165.0,3331.9199569379007,8318.080043062098,7.800085652093994,2.496482553772563,0.8809316880031643,0.233,59.30912883395665,51.27666272912113,1767961765.7277539,1772392069.3875499
event_0038,business,1775451902.1338365,260,189,189,9450.0,1112.7714241675803,283.5,945.0,2341.2714241675803,7108.72857583242,5.88767949295016,3.0362684575795686,0.7269622281235403,0.189,45.44389169931644,50.42088346509932,1771525549.8910155,1775881914.2224002
event_0039,science,1772907429.6541555,258,253,253,12650.0,1471.0466384611243,379.5,1265.0,3115.5466384611245,9534.453361538875,5.814413590755432,3.060282662386421,0.9811970429602658,0.253,33.16661360271845,33.631947821462965,1770041834.2388806,1772947634.5306551
event_0040,science,1773637563.4088914,256,226,226,11300.0,1491.327256382421,339.0,1130.0,2960.327256382421,8339.672743617579,6.598793169833721,2.817145545526215,0.8850260050894083,0.226,56.053624977797504,43.80665473583552,1768794530.2108097,1772579425.179986
event_0041,art,1767915372.0674064,260,175,175,8750.0,420.28454812682867,262.5,875.0,1557.7845481268287,7192.215451873171,2.4016259892961638,4.6169513367695885,0.676781788828866,0.175,32.730860467002636,40.43734325553393,1765087425.7230573,1768581212.1803353
event_0042,science,1779857712.7251666,255,328,328,16400.0,1993.5984640870263,492.0,1640.0,4125.5984640870265,12274.401535912973,6.078044097826299,2.9751808477631947,1.2871150871469523,0.328,56.72897893954287,31.442900996314876,1774956328.9447901,1777672995.5908718
event_0043,science,1769365317.0940866,258,269,269,13450.0,742.5842353968765,403.5,1345.0,2491.0842353968765,10958.915764603124,2.760536191066455,4.399255396057357,1.0443331745516418,0.269,50.02491817718153,47.183363848419575,1765043164.1635783,1769119806.8000817
event_0044,art,1769565736.0883422,259,314,314,15700.0,1069.5110187391492,471.0,1570.0,3110.511018739149,12589.48898126085,3.406086046939966,4.047402148848205,1.21355327490461,0.314,48.05235552321354,39.77913122260847,1765414012.5711365,1768850929.5087698
event_0045,health,1779920520.8922896,264,177,177,8850.0,980.3283570083086,265.5,885.0,2130.8283570083086,6719.171642991691,5.538578288182534,3.153314353496513,0.6706253203140654,0.177,58.326051952266354,40.37536521574471,1774881150.0036137,1778369581.558254
