event_id,category,event_date,tickets_sold,gross_revenue,net_profit,roi,conversions,total_marketing_cost,payment_processing_fee,platform_fee,total_costs,conversion_rate,marketing_start_days_before,marketing_duration_days
event_0000,art,1776319676.520375,6,300.0,240.5582311914731,4.046956138979586,6,20.441768808526874,9.0,30.0,59.441768808526874,0.19398725932649027,10.392179119491868,8.67472104670243
event_0001,business,1767832459.3210855,4,200.0,160.8651309494563,4.110531984703841,4,13.1348690505437,6.0,20.0,39.1348690505437,0.18830352924313382,7.564043603603679,8.055814606091605
event_0002,health,1766476379.661271,6,300.0,221.28735219667212,2.8113315759569244,6,39.712647803327876,9.0,30.0,78.71264780332788,0.23328911693404877,10.261470123458054,7.435859974085098
event_0003,technology,1778927769.8567212,7,350.0,277.95826860035993,3.858295229724983,7,26.541731399640103,10.5,35.0,72.0417313996401,0.19769797325573568,13.164596709304764,11.029832427670563
event_0004,science,1771999458.8777068,7,350.0,252.7919234092338,2.6005238687465866,7,51.7080765907662,10.5,35.0,97.2080765907662,0.22346340607563575,12.850100695588804,10.767543973271621
event_0005,health,1772049180.9981008,7,350.0,260.0843821396539,2.892538452481171,7,44.415617860346124,10.5,35.0,89.91561786034612,0.2168873620622917,10.399493956589502,9.722000422722896
event_0006,health,1777714690.9124818,7,350.0,262.6540102128812,3.0070528807679238,7,41.845989787118775,10.5,35.0,87.34598978711878,0.24069288625867682,13.865053842632463,10.73886540672753
event_0007,business,1766874533.9439535,4,200.0,155.08721619960443,3.453075117517843,4,18.912783800395573,6.0,20.0,44.91278380039557,0.17601563139193047,13.067959489165911,8.272103185594025
event_0008,art,1780598355.066403,6,300.0,232.0689538963303,3.416242899338978,6,28.931046103669686,9.0,30.0,67.93104610366969,0.19215648267587387,8.947796309471642,13.658428839023932
event_0009,technology,1773038313.8328433,6,300.0,247.5507070485324,4.719810184621481,6,13.449292951467598,9.0,30.0,52.4492929514676,0.15686183704527693,13.663437846673446,8.569555160038238
event_0010,art,1768863351.0415456,5,250.0,204.0683166167208,4.442866047687882,5,13.431683383279198,7.5,25.0,45.9316833832792,0.1738544941888906,12.874601923992188,11.349349596103105
event_0011,business,1766553863.8040128,8,400.0,297.51885302739163,2.9031569397531602,8,50.4811469726084,12.0,40.0,102.4811469726084,0.21058926925603114,8.793705875935306,9.582266220260589
event_0012,art,1773136780.129164,7,350.0,252.36290165600732,2.5847030067084584,7,52.137098343992676,10.5,35.0,97.63709834399268,0.24288871684071217,9.177272437190199,11.050793127564706
event_0013,business,1768030212.066908,5,250.0,186.58420992512683,2.9422358328238487,5,30.91579007487317,7.5,25.0,63.41579007487317,0.23305716337803184,8.388308439642007,11.144685028748965
event_0014,health,1775690097.1282835,4,200.0,153.21411411254797,3.2747934811177757,4,20.785885887452007,6.0,20.0,46.78588588745201,0.20659325553673158,12.638695745523165,12.573590516201484
event_0015,art,1781102268.7240324,5,250.0,194.49429796022454,3.5040417617067465,5,23.005702039775457,7.5,25.0,55.50570203977546,0.19200587408418276,11.532802778397636,7.0885650511609715
event_0016,business,1772955952.196762,5,250.0,187.98627757949777,3.031365804890757,5,29.513722420502244,7.5,25.0,62.01372242050225,0.16761369610860594,10.218175433212224,8.07093804365702
event_0017,business,1769869803.9362729,7,350.0,276.96320751479305,3.7921052950249674,7,27.536792485206963,10.5,35.0,73.03679248520696,0.23257345984207556,12.422490152601021,10.254116401441555
event_0018,health,1767290915.7732186,6,300.0,224.94521506396222,2.997080269507962,6,36.05478493603777,9.0,30.0,75.05478493603778,0.22504762818270063,8.95249774434729,10.155614001356394
event_0019,science,1768433024.8221295,4,200.0,159.28819628709795,3.9125801797039412,4,14.711803712902064,6.0,20.0,40.71180371290207,0.18548249661760952,9.275099175221317,10.41284952673941
event_0020,technology,1779809700.061402,4,200.0,156.24572500790754,3.5709819220212244,4,17.754274992092462,6.0,20.0,43.75427499209246,0.1691056423527099,10.890537195437087,10.616390762004539
event_0021,business,1768555426.0351758,3,150.0,119.20375953623105,3.8707244047036014,3,11.296240463768951,4.5,15.0,30.796240463768953,0.19481745495865707,10.332651775489154,11.982896845309059
event_0022,art,1779377211.9539213,5,250.0,177.60105608122004,2.453089043404556,5,39.898943918779956,7.5,25.0,72.39894391877996,0.20534729550102496,11.647720151177712,9.583143154627258
event_0023,business,1768935747.4627945,5,250.0,198.03356167982042,3.810797277652182,5,19.466438320179595,7.5,25.0,51.96643832017959,0.17305380412985077,10.17621683997225,9.146360939441813
event_0024,science,1773944024.744806,5,250.0,189.81239282117627,3.1536790000177883,5,27.687607178823725,7.5,25.0,60.187607178823725,0.22386046535089504,11.831144878983862,8.340786811073812
event_0025,health,1773790325.968836,4,200.0,158.74557786926954,3.847965131258494,4,15.254422130730454,6.0,20.0,41.254422130730454,0.17962464632651445,13.863574413237592,12.828398543289476
event_0026,health,1776876216.5844088,6,300.0,226.0366924161866,3.0560652274784688,6,34.96330758381339,9.0,30.0,73.96330758381339,0.17921366445527775,7.3186099068825285,7.381682141672915
event_0027,science,1775452582.393815,5,250.0,178.53507070585115,2.4982193709449123,5,38.964929294148845,7.5,25.0,71.46492929414885,0.1978714208606398,7.085857823628555,8.990375289960046
event_0028,health,1773486067.5033736,6,300.0,224.2877633427834,2.9623713846710817,6,36.7122366572166,9.0,30.0,75.71223665721661,0.1991746560291068,7.798609985074472,7.457404045797527
event_0029,art,1774242829.7126043,5,250.0,195.01477935769014,3.5466763082811164,5,22.485220642309855,7.5,25.0,54.985220642309855,0.1748190955210116,13.64387949650622,7.59626635877361
event_0030,science,1781676197.631789,6,300.0,227.8130950060403,3.1558784107048607,6,33.18690499395971,9.0,30.0,72.1869049939597,0.24085043776238038,12.42985477788752,9.662646183025846
event_0031,health,1768792836.8435786,5,250.0,188.7345490878019,3.0806032809304664,5,28.765450912198098,7.5,25.0,61.2654509121981,0.15992335747747882,7.421612130607786,13.720761442040093
event_0032,science,1772962761.365669,4,200.0,149.45509274116554,2.9568773759109654,4,24.544907258834456,6.0,20.0,50.544907258834456,0.1656532615443138,8.679056243722847,10.863945719044313
event_0033,art,1773246736.831218,4,200.0,160.39782865215938,4.050228136314182,4,13.602171347840613,6.0,20.0,39.60217134784061,0.23596067313405225,9.016734227155826,8.979028611786013
event_0034,business,1772117357.9418917,3,150.0,120.45342989521157,4.076731392781541,3,10.04657010478843,4.5,15.0,29.54657010478843,0.1697819213756464,11.128527124436804,12.627339761970036
event_0035,art,1769642421.2750177,7,350.0,255.8819073445596,2.7187323937951544,7,48.618092655440385,10.5,35.0,94.11809265544039,0.22926285662324117,7.995653998105741,7.4174662765969295
event_0036,business,1781557267.1749003,4,200.0,153.04044249764766,3.258983913764124,4,20.959557502352336,6.0,20.0,46.95955750235234,0.19025085191628055,10.280885791933134,9.128638333813367
event_0037,health,1770524673.3463712,4,200.0,160.50581402267613,4.064036517041592,4,13.494185977323848,6.0,20.0,39.49418597732385,0.21037136409459106,13.225960225047174,12.141737462999307
event_0038,business,1779136292.7476277,8,400.0,304.34014473906814,3.181482387872301,8,43.65985526093185,12.0,40.0,95.65985526093185,0.22647603800317762,11.109860521968484,7.145218193508736
event_0039,health,1770716262.8375685,6,300.0,233.3081404652279,3.498300123774246,6,27.691859534772114,9.0,30.0,66.6918595347721,0.1778156572442421,10.632746886913228,10.09560583094142
event_0040,science,1775653187.1083274,4,200.0,162.14020353618795,4.282648579243372,4,11.859796463812053,6.0,20.0,37.85979646381205,0.18210582559565716,10.290072764722462,9.858436654010108
event_0041,art,1778918167.996334,4,200.0,163.88656497338107,4.538105136013275,4,10.113435026618927,6.0,20.0,36.11343502661893,0.2260499772057657,11.638084758940002,9.803165783695595
