conversation_id,ground_truth_topic_consistency,calculated_topic_consistency,ground_truth_insight_count,calculated_insight_count,ground_truth_learning_exchanges,calculated_learning_exchanges
conv_0000,0.6394554894885702,0.1111111111111111,1,1,2,2
conv_0001,0.5604779317803207,0.0,0,0,1,1
conv_0002,0.8048114165461124,0.2,1,1,3,3
conv_0003,0.8708396292084676,0.1,2,2,2,2
conv_0004,0.5009777733531035,0.4,2,2,1,1
conv_0005,0.5700061479467813,0.0,1,1,4,4
conv_0006,0.8782933084247997,0.1111111111111111,6,6,2,2
conv_0007,0.7664599371731161,0.26666666666666666,4,4,4,4
conv_0008,0.8717310086071015,0.05263157894736842,10,10,4,4
conv_0009,0.9015915938658374,0.18181818181818182,2,2,0,0
conv_0010,0.7663994410748096,0.25,3,3,2,2
conv_0011,0.5845736503920036,0.125,5,5,2,2
conv_0012,0.7813242025271767,0.18181818181818182,3,3,3,3
conv_0013,0.6317198540630908,0.3125,6,6,2,2
conv_0014,0.5847705930915976,0.14285714285714285,5,5,2,2
conv_0015,0.5784101211719614,0.25,2,2,1,1
conv_0016,0.8660095223806138,0.16666666666666666,4,4,3,3
conv_0017,0.969233815226003,0.1,5,5,2,2
conv_0018,0.696359909137148,0.0,2,2,0,0
conv_0019,0.8025461163104326,0.0,5,5,4,4
conv_0020,0.5620981320303375,0.1,5,5,3,3
conv_0021,0.7774156267483425,0.2631578947368421,6,6,6,6
conv_0022,0.5972205524045782,0.0,4,4,0,0
conv_0023,0.6056640762504113,0.0,9,9,1,1
conv_0024,0.9735140340981006,0.0,3,3,2,2
conv_0025,0.7662953737992162,0.14285714285714285,1,1,1,1
conv_0026,0.5678665440163653,0.2222222222222222,0,0,1,1
conv_0027,0.9422279430954386,0.0,4,4,2,2
conv_0028,0.7859399488115546,0.06666666666666667,8,8,4,4
conv_0029,0.7055539495123899,0.2,0,0,1,1
conv_0030,0.6938922714622291,0.07692307692307693,3,3,1,1
conv_0031,0.6480089783721505,0.2,0,0,2,2
conv_0032,0.8117338874408189,0.25,0,0,0,0
conv_0033,0.9266706606684116,0.1111111111111111,4,4,3,3
conv_0034,0.9887977855142489,0.09090909090909091,3,3,3,3
conv_0035,0.886705357329729,0.5555555555555556,3,3,5,5
conv_0036,0.5791248676179317,0.05555555555555555,7,7,6,6
conv_0037,0.6248532069325727,0.0,7,7,5,5
conv_0038,0.8907957067190632,0.15384615384615385,4,4,2,2
conv_0039,0.9398771101669705,0.2,2,2,0,0
conv_0040,0.8286104395962277,0.0625,8,8,2,2
conv_0041,0.9095719820901955,0.13333333333333333,9,9,2,2
