conversation_id,insight_count,avg_relevance,avg_novelty,avg_mutual_benefit,extraction_quality
conv_0000,1,0.639897456286007,0.989204009058287,0.9516344333404549,0.860245299561583
conv_0002,1,0.8794168652507883,0.8926454341593999,0.980861801184465,0.9176413668648844
conv_0003,2,0.82753204328502,0.6484822420084302,0.6782409831278516,0.7180850894737673
conv_0004,2,0.6908574388591504,0.6715066822397748,0.7734735094358404,0.7119458768449219
conv_0005,1,0.9820949595829763,0.618586530422335,0.7203055247735384,0.7736623382596166
conv_0006,6,0.8067385098675364,0.7716147503411483,0.8461219170909734,0.8081583924332194
conv_0007,4,0.7789639976545302,0.7525351228652393,0.6646134606034959,0.7320375270410885
conv_0008,10,0.765273814238991,0.721690566102356,0.725195347825842,0.7373865760557297
conv_0009,2,0.7573967241958237,0.914181366922537,0.6174377395798156,0.763005276899392
conv_0010,3,0.751765408846388,0.7375011754181174,0.7557771955439784,0.748347926602828
conv_0011,5,0.7781686690476739,0.7247434886793477,0.8326742237762879,0.7785287938344364
conv_0012,3,0.7377641297271658,0.6207761796044756,0.898174716784471,0.7522383420387041
conv_0013,6,0.8703807773195987,0.6329315692816867,0.7446284412262486,0.7493135959425113
conv_0014,5,0.8329179221499757,0.7821743203834391,0.8210848688355876,0.8120590371230009
conv_0015,2,0.8488653532463035,0.682182542492782,0.7087320418085489,0.7465933125158782
conv_0016,4,0.822984987152753,0.7869231916248582,0.7468865346216489,0.7855982377997535
conv_0017,5,0.8247903047127343,0.860206347563407,0.7692602772617683,0.8180856431793032
conv_0018,2,0.7873748407272276,0.7636819694912984,0.9826230236475322,0.8445599446220194
conv_0019,5,0.7518779924903203,0.7384545626754889,0.6349097474394696,0.7084141008684263
conv_0020,5,0.6928824861882708,0.8006059173630756,0.7135595955777412,0.7356826663763624
conv_0021,6,0.7938463854356042,0.7760884120464845,0.8665126937303764,0.8121491637374884
conv_0022,4,0.6985837860377659,0.6694933528965776,0.6509163914830729,0.6729978434724723
conv_0023,9,0.7777138778262422,0.7062218591231442,0.7893621742192499,0.7577659703895455
conv_0024,3,0.7188497117978149,0.785124950977527,0.8001456575145451,0.7680401067632957
conv_0025,1,0.8082041211872071,0.9182257516088406,0.8279632663557763,0.8514643797172746
conv_0027,4,0.8163459632316596,0.7928635297385194,0.791433613523745,0.800214368831308
conv_0028,8,0.822295539055891,0.7566190663515253,0.7214864922865929,0.766800365898003
conv_0030,3,0.877216130361464,0.6846747890925569,0.770558520683744,0.7774831467125883
conv_0033,4,0.7529342048734899,0.7089578153608034,0.6551097488630753,0.7056672563657895
conv_0034,3,0.8291027544553127,0.8135584662370997,0.7080186188422554,0.7835599465115558
conv_0035,3,0.7466804889029987,0.8935825651706,0.8079278917129601,0.8160636485955196
conv_0036,7,0.7339839804914297,0.726720248633419,0.7740393029591587,0.7449145106946692
conv_0037,7,0.7735052120331142,0.7629285701305334,0.7216339127090524,0.7526892316242333
conv_0038,4,0.8293919418160939,0.779499775498296,0.7707070942900904,0.79319960386816
conv_0039,2,0.8824795355543484,0.7181281975592455,0.7986178936379508,0.7997418755838482
conv_0040,8,0.844651285182219,0.8475175185598922,0.8540090962885537,0.8487259666768883
conv_0041,9,0.8359872087439686,0.780982302786982,0.6872976254289705,0.768089045653307
conv_0042,7,0.8180071624672094,0.7054129305343426,0.8016297991498413,0.7750166307171312
conv_0043,1,0.746256990567799,0.5034965466430562,0.6502584666779938,0.6333373346296164
conv_0044,5,0.7762348278216138,0.7627772807438797,0.7297892087595185,0.756267105775004
conv_0045,2,0.7626210825290465,0.7980932468934583,0.7367898565942868,0.7658347286722638
conv_0046,6,0.7996487032465206,0.758055988323592,0.7150217450812768,0.7575754788837964
conv_0047,5,0.6762680761654899,0.6799806614112782,0.742127047967173,0.6994585951813136
conv_0048,2,0.894311248211728,0.6498096887478012,0.9188657406861338,0.820995559215221
conv_0049,2,0.8473064587915071,0.8169948364026947,0.8611404456079204,0.8418139136007073
conv_0050,2,0.748857957937102,0.8086959684231085,0.7085688279707261,0.7553742514436456
conv_0051,3,0.7212795407795743,0.7075767954293877,0.636686011705532,0.6885141159714981
conv_0052,8,0.8353536978832181,0.7054491762033177,0.6830625630547011,0.741288479047079
conv_0053,3,0.8364067165655165,0.7242825600681454,0.7872691167503585,0.7826527977946734
conv_0054,5,0.8047861517253334,0.7799477774216327,0.758074400745216,0.7809361099640606
conv_0055,1,0.7312769008177499,0.8384443883060673,0.6331075944009084,0.7342762945082418
conv_0056,1,0.7956488865942106,0.7723381096490576,0.5561298580511355,0.7080389514314679
conv_0057,6,0.8464931170013733,0.7958846378116894,0.808534581850429,0.8169707788878305
conv_0058,2,0.7654751743448096,0.8428929676718722,0.7192165447298766,0.7758615622488527
conv_0059,5,0.7731876812182289,0.7739415566574781,0.714269509713905,0.7537995825298708
conv_0060,4,0.8588770661178685,0.8196610890853901,0.8204367728487338,0.8329916426839975
conv_0061,3,0.8384138493984737,0.6898628181794227,0.6850032051787025,0.737759957585533
conv_0062,2,0.8059941402293151,0.5782268296170039,0.7097057222576411,0.6979755640346533
conv_0063,5,0.713558199293049,0.7392692909506342,0.6822250706723754,0.7116841869720195
conv_0064,5,0.7804501254193392,0.706753750481786,0.8299328432834232,0.7723789063948495
conv_0065,1,0.7507719297881857,0.738839424694032,0.5158683743392495,0.6684932429404892
conv_0066,2,0.8788811740664515,0.7786460712128231,0.7415371037366969,0.7996881163386572
conv_0067,5,0.9076068496522808,0.8115949913875158,0.7156890266665445,0.8116302892354469
conv_0068,5,0.828455256004555,0.7455407731504524,0.7179141743044878,0.7639700678198317
conv_0069,2,0.8035156382705632,0.5173690337722613,0.7428072361162645,0.6878973027196963
conv_0070,2,0.7675101913457155,0.9410828981663271,0.7168565692984219,0.8084832196034881
conv_0071,3,0.8307880795400369,0.7792702382238302,0.7695800640522665,0.7932127939387112
conv_0072,4,0.6955842078494614,0.6235054245447786,0.8145226172805116,0.7112040832249171
conv_0074,6,0.8598665509649216,0.7572959386636048,0.766711664011727,0.7946247178800845
conv_0075,1,0.9755423778543513,0.7037177476298643,0.8520717997586243,0.84377730841428
conv_0076,2,0.8480664405861169,0.8597948984034774,0.8975785230628258,0.8684799540174734
conv_0077,1,0.645538029013902,0.7564014952254992,0.9817982516838755,0.7945792586410922
conv_0079,2,0.6886251961807393,0.6165379321019065,0.6223437831081018,0.6425023037969159
conv_0080,2,0.7380802631761948,0.6619238619857621,0.7543874692763979,0.7181305314794516
