visit_id,geofence_triggered,bluetooth_triggered,visit_recorded,ground_truth,verification_correct,within_geofence,bluetooth_detected
visit_0000,False,False,False,False,True,False,False
visit_0001,True,True,True,True,True,True,True
visit_0002,False,False,False,False,True,False,False
visit_0003,False,False,False,False,True,False,False
visit_0004,False,True,False,False,True,True,True
visit_0005,False,False,False,False,True,False,False
visit_0006,False,False,False,False,True,False,False
visit_0007,False,False,False,False,True,False,False
visit_0008,False,False,False,False,True,False,False
visit_0009,False,False,False,False,True,False,False
visit_0010,False,False,False,False,True,False,False
visit_0011,False,False,False,False,True,False,False
visit_0012,False,False,False,False,True,False,False
visit_0013,False,False,False,False,True,False,False
visit_0014,False,False,False,False,True,False,False
visit_0015,False,False,False,False,True,False,False
visit_0016,True,False,False,False,True,True,False
visit_0017,False,False,False,False,True,False,False
visit_0018,False,True,False,False,True,False,True
visit_0019,False,False,False,False,True,True,False
visit_0020,False,False,False,False,True,False,False
visit_0021,False,False,False,False,True,False,False
visit_0022,False,False,False,False,True,False,False
visit_0023,False,False,False,False,True,False,False
visit_0024,False,False,False,False,True,False,False
visit_0025,True,True,True,True,True,True,True
visit_0026,False,False,False,False,True,False,False
visit_0027,False,False,False,False,True,False,False
visit_0028,False,False,False,False,True,False,False
visit_0029,False,False,False,False,True,False,False
visit_0030,False,False,False,False,True,False,False
visit_0031,False,True,False,False,True,True,True
visit_0032,False,False,False,False,True,False,False
visit_0033,False,False,False,False,True,False,False
visit_0034,True,True,True,True,True,True,True
visit_0035,False,False,False,False,True,False,False
visit_0036,False,False,False,False,True,False,False
visit_0037,False,False,False,False,True,False,False
visit_0038,False,False,False,False,True,False,False
visit_0039,False,False,False,False,True,False,False
visit_0040,False,False,False,False,True,False,False
visit_0041,False,False,False,False,True,False,False
visit_0042,False,True,False,False,True,True,True
visit_0043,True,False,False,False,True,True,False
visit_0044,False,False,False,False,True,False,False
visit_0045,False,False,False,False,True,False,False
visit_0046,False,False,False,False,True,False,False
visit_0047,False,False,False,False,True,False,False
visit_0048,False,False,False,False,True,False,False
visit_0049,False,True,False,False,True,False,True
visit_0050,False,False,False,False,True,False,False
visit_0051,False,False,False,False,True,False,False
visit_0052,False,False,False,False,True,False,False
visit_0053,False,False,False,False,True,False,False
visit_0054,True,True,True,True,True,True,True
visit_0055,True,True,True,True,True,True,True
visit_0056,False,False,False,False,True,False,False
visit_0057,False,False,False,False,True,False,False
visit_0058,False,True,False,False,True,False,True
visit_0059,True,True,True,True,True,True,True
visit_0060,False,False,False,False,True,False,False
visit_0061,False,False,False,False,True,False,False
visit_0062,True,True,True,True,True,True,True
visit_0063,False,False,False,False,True,False,False
visit_0064,False,False,False,False,True,False,False
visit_0065,False,False,False,False,True,False,False
visit_0066,False,False,False,False,True,False,False
visit_0067,False,False,False,False,True,False,False
visit_0068,True,True,True,False,False,True,True
visit_0069,False,False,False,False,True,False,False
visit_0070,False,True,False,False,True,False,True
visit_0071,False,False,False,False,True,False,False
visit_0072,False,False,False,False,True,False,False
visit_0073,False,False,False,False,True,False,False
visit_0074,False,False,False,False,True,False,False
visit_0075,False,False,False,False,True,False,False
visit_0076,False,False,False,False,True,False,False
visit_0077,True,True,True,True,True,True,True
visit_0078,False,False,False,False,True,False,False
visit_0079,False,False,False,False,True,False,False
visit_0080,False,False,False,False,True,False,False
visit_0081,False,True,False,False,True,True,True
visit_0082,False,False,False,False,True,False,False
visit_0083,False,False,False,False,True,False,False
visit_0084,False,False,False,False,True,False,False
visit_0085,True,True,True,True,True,True,True
visit_0086,False,False,False,False,True,False,False
visit_0087,True,True,True,True,True,True,True
visit_0088,True,False,False,False,True,True,False
visit_0089,False,False,False,False,True,False,False
visit_0090,False,False,False,False,True,False,False
visit_0091,False,False,False,False,True,False,False
visit_0092,False,False,False,False,True,False,False
visit_0093,True,True,True,True,True,True,True
visit_0094,False,False,False,False,True,False,False
visit_0095,False,False,False,False,True,False,False
visit_0096,False,False,False,False,True,False,False
visit_0097,False,False,False,False,True,False,False
visit_0098,True,True,True,True,True,True,True
visit_0099,False,False,False,False,True,False,False
visit_0100,False,False,False,False,True,False,False
visit_0101,False,True,False,False,True,False,True
visit_0102,False,False,False,False,True,False,False
visit_0103,False,True,False,False,True,False,True
visit_0104,False,False,False,False,True,False,False
visit_0105,False,False,False,False,True,False,False
visit_0106,True,True,True,True,True,True,True
visit_0107,False,True,False,False,True,False,True
visit_0108,False,False,False,False,True,False,False
visit_0109,False,True,False,False,True,False,True
visit_0110,False,False,False,False,True,False,False
visit_0111,False,False,False,False,True,False,False
visit_0112,False,False,False,False,True,False,False
visit_0113,False,True,False,False,True,False,True
visit_0114,False,False,False,False,True,False,False
visit_0115,False,False,False,False,True,False,False
visit_0116,False,False,False,False,True,False,False
visit_0117,False,False,False,False,True,False,False
visit_0118,True,False,False,False,True,True,False
visit_0119,True,True,True,True,True,True,True
visit_0120,False,False,False,False,True,False,False
visit_0121,False,False,False,False,True,False,False
visit_0122,False,False,False,False,True,False,False
visit_0123,False,False,False,False,True,False,False
visit_0124,False,False,False,False,True,False,False
visit_0125,False,False,False,False,True,False,False
visit_0126,True,False,False,False,True,True,False
visit_0127,True,True,True,True,True,True,True
visit_0128,False,False,False,False,True,False,False
visit_0129,False,False,False,False,True,False,False
visit_0130,False,False,False,False,True,False,False
visit_0131,False,False,False,False,True,False,False
visit_0132,True,True,True,True,True,True,True
visit_0133,False,False,False,False,True,False,False
visit_0134,False,False,False,False,True,False,False
visit_0135,False,False,False,False,True,False,False
visit_0136,False,False,False,False,True,False,False
visit_0137,False,True,False,False,True,False,True
visit_0138,False,False,False,False,True,False,False
visit_0139,True,True,True,True,True,True,True
visit_0140,False,False,False,False,True,False,False
visit_0141,False,False,False,False,True,False,False
visit_0142,False,False,False,False,True,False,False
visit_0143,False,False,False,False,True,False,False
visit_0144,False,False,False,False,True,False,False
visit_0145,True,False,False,False,True,True,False
visit_0146,False,False,False,False,True,False,False
visit_0147,False,False,False,False,True,False,False
visit_0148,True,True,True,True,True,True,True
visit_0149,False,False,False,False,True,False,False
visit_0150,True,True,True,True,True,True,True
visit_0151,False,False,False,False,True,False,False
visit_0152,False,False,False,False,True,False,False
visit_0153,False,False,False,False,True,False,False
visit_0154,False,True,False,False,True,False,True
visit_0155,True,True,True,True,True,True,True
visit_0156,True,True,True,True,True,True,True
