iteration,avg_expertise,avg_partnerships,expertise_variance,partnership_variance,expertise_stability,partnership_stability
1,0.675589031166824,0.0,0.02849290403415345,0.0,0.9722964505419599,1.0
2,0.675589031166824,0.048,0.02849290403415345,0.045695999999999994,0.9722964505419599,0.956300875206561
3,0.6764378651041154,0.078,0.028793113342513266,0.079916,0.9720127273704571,0.9259979479885472
4,0.6777707187070287,0.12,0.029299244245352313,0.12560000000000002,0.9715347656095545,0.8884150675195451
5,0.6796767397946537,0.148,0.030080908449298976,0.17809600000000003,0.9707975284246523,0.8488272602572285
6,0.6819214678355415,0.182,0.031008517327538385,0.24087600000000003,0.9699240919872175,0.8058822960553673
7,0.6845184356506425,0.24,0.0321662617042897,0.31039999999999995,0.9688361624500519,0.7631257631257631
8,0.6877371827509626,0.272,0.03363066055273724,0.35401599999999994,0.9674635613704095,0.738543709970931
9,0.691024110811079,0.314,0.03517719922180093,0.431404,0.9660181858253394,0.6986147866011272
10,0.6946364637079911,0.34,0.036889869781794433,0.48440000000000005,0.9644225767298144,0.6736728644570197
11,0.6980469306293668,0.382,0.038482865842606996,0.584076,0.9629431865383905,0.6312828424898805
12,0.7014765434440673,0.43,0.04009470510911534,0.6771,0.961450909314158,0.5962673662870431
13,0.7051633350287685,0.456,0.04182142294558541,0.720064,0.9598573977991911,0.5813737163268343
14,0.7087560627232907,0.496,0.04352259007086789,0.8339839999999998,0.9582926230011829,0.5452610273590174
15,0.7124862970484807,0.55,0.04535576729895291,0.9555,0.9566121231471792,0.5113781641523907
16,0.7164592841194833,0.59,0.04731964901007823,1.0939,0.9548183316766714,0.47757772577486984
17,0.7201688533217153,0.624,0.04922132264776979,1.1946239999999997,0.9530877598602772,0.45565891924994906
18,0.7237158434101839,0.664,0.05105806950889589,1.2991039999999998,0.951422218248367,0.4349520508859104
19,0.7269666469119901,0.692,0.05272076143008087,1.3651360000000001,0.9499195196279194,0.42280866723943145
20,0.7299276025027372,0.726,0.054130849133082116,1.4589239999999999,0.9486488331333826,0.40668194706302435
