connection_id,device_a_id,device_b_id,exchange_success,profile_a_accuracy,profile_b_accuracy
conn_0000,device_0078,device_0118,True,1.0,1.0
conn_0001,device_0030,device_0023,True,1.0,1.0
conn_0002,device_0175,device_0077,True,1.0,1.0
conn_0003,device_0178,device_0154,False,0.0,0.0
conn_0004,device_0083,device_0037,True,1.0,1.0
conn_0005,device_0063,device_0091,True,1.0,1.0
conn_0006,device_0012,device_0173,True,1.0,1.0
conn_0007,device_0044,device_0007,True,1.0,1.0
conn_0008,device_0115,device_0142,True,1.0,1.0
conn_0009,device_0063,device_0024,True,1.0,1.0
conn_0010,device_0035,device_0031,True,1.0,1.0
conn_0011,device_0199,device_0056,True,1.0,1.0
conn_0012,device_0102,device_0095,True,1.0,1.0
conn_0013,device_0165,device_0021,False,0.0,0.0
conn_0014,device_0066,device_0019,True,1.0,1.0
conn_0015,device_0016,device_0050,True,1.0,1.0
conn_0016,device_0113,device_0032,True,1.0,1.0
conn_0017,device_0084,device_0031,True,1.0,1.0
conn_0018,device_0118,device_0012,True,1.0,1.0
conn_0019,device_0146,device_0110,True,1.0,1.0
conn_0020,device_0101,device_0127,True,1.0,1.0
conn_0021,device_0174,device_0109,True,1.0,1.0
conn_0022,device_0054,device_0047,True,1.0,1.0
conn_0023,device_0114,device_0038,True,1.0,1.0
conn_0024,device_0158,device_0157,True,1.0,1.0
conn_0025,device_0075,device_0127,True,1.0,1.0
conn_0026,device_0140,device_0122,True,1.0,1.0
conn_0027,device_0071,device_0098,True,1.0,1.0
conn_0028,device_0051,device_0164,True,1.0,1.0
conn_0029,device_0134,device_0063,True,1.0,1.0
conn_0030,device_0139,device_0004,True,1.0,1.0
conn_0031,device_0182,device_0091,True,1.0,1.0
conn_0032,device_0124,device_0088,True,1.0,1.0
conn_0033,device_0128,device_0082,True,1.0,1.0
conn_0034,device_0046,device_0006,True,1.0,1.0
conn_0035,device_0056,device_0007,True,1.0,1.0
conn_0036,device_0199,device_0071,True,1.0,1.0
conn_0037,device_0120,device_0135,True,1.0,1.0
conn_0038,device_0149,device_0059,True,1.0,1.0
conn_0039,device_0025,device_0063,True,1.0,1.0
conn_0040,device_0068,device_0136,True,1.0,1.0
conn_0041,device_0188,device_0014,True,1.0,1.0
conn_0042,device_0056,device_0147,True,1.0,1.0
conn_0043,device_0099,device_0090,True,1.0,1.0
conn_0044,device_0044,device_0045,True,1.0,1.0
conn_0045,device_0081,device_0188,True,1.0,1.0
conn_0046,device_0151,device_0007,True,1.0,1.0
conn_0047,device_0090,device_0145,True,1.0,1.0
conn_0048,device_0144,device_0048,True,1.0,1.0
conn_0049,device_0126,device_0138,True,1.0,1.0
conn_0050,device_0125,device_0009,True,1.0,1.0
conn_0051,device_0059,device_0154,True,1.0,1.0
conn_0052,device_0134,device_0122,True,1.0,1.0
conn_0053,device_0157,device_0051,True,1.0,1.0
conn_0054,device_0087,device_0183,True,1.0,1.0
conn_0055,device_0082,device_0015,True,1.0,1.0
conn_0056,device_0150,device_0180,True,1.0,1.0
conn_0057,device_0198,device_0028,True,1.0,1.0
conn_0058,device_0093,device_0018,False,0.0,0.0
conn_0059,device_0169,device_0101,True,1.0,1.0
conn_0060,device_0086,device_0077,True,1.0,1.0
conn_0061,device_0040,device_0187,True,1.0,1.0
conn_0062,device_0163,device_0124,True,1.0,1.0
conn_0063,device_0044,device_0181,True,1.0,1.0
conn_0064,device_0177,device_0157,True,1.0,1.0
conn_0065,device_0057,device_0170,True,1.0,1.0
conn_0066,device_0044,device_0096,True,1.0,1.0
conn_0067,device_0176,device_0075,True,1.0,1.0
conn_0068,device_0186,device_0000,True,1.0,1.0
conn_0069,device_0146,device_0100,True,1.0,1.0
conn_0070,device_0197,device_0145,True,1.0,1.0
conn_0071,device_0154,device_0081,True,1.0,1.0
conn_0072,device_0156,device_0056,True,1.0,1.0
conn_0073,device_0026,device_0127,True,1.0,1.0
conn_0074,device_0190,device_0019,True,1.0,1.0
conn_0075,device_0081,device_0042,True,1.0,1.0
conn_0076,device_0022,device_0181,True,1.0,1.0
conn_0077,device_0186,device_0085,True,1.0,1.0
conn_0078,device_0067,device_0053,True,1.0,1.0
conn_0079,device_0017,device_0089,True,1.0,1.0
conn_0080,device_0027,device_0184,True,1.0,1.0
conn_0081,device_0098,device_0112,True,1.0,1.0
conn_0082,device_0042,device_0105,True,1.0,1.0
conn_0083,device_0096,device_0089,True,1.0,1.0
conn_0084,device_0025,device_0122,True,1.0,1.0
conn_0085,device_0147,device_0166,True,1.0,1.0
conn_0086,device_0057,device_0041,True,1.0,1.0
conn_0087,device_0008,device_0075,True,1.0,1.0
