user_id,num_categories_in_top_20,diversity_score,max_category_count
user_0000,5,1.0,6
user_0001,5,1.0,5
user_0002,5,1.0,8
user_0003,5,1.0,6
user_0004,5,1.0,7
user_0005,5,1.0,6
user_0006,5,1.0,5
user_0007,5,1.0,5
user_0008,5,1.0,7
user_0009,5,1.0,6
user_0010,5,1.0,6
user_0011,5,1.0,7
user_0012,5,1.0,7
user_0013,5,1.0,6
user_0014,5,1.0,5
user_0015,5,1.0,6
user_0016,5,1.0,8
user_0017,5,1.0,6
user_0018,5,1.0,8
user_0019,5,1.0,5
user_0020,5,1.0,7
user_0021,5,1.0,5
user_0022,5,1.0,5
user_0023,5,1.0,5
user_0024,5,1.0,5
user_0025,5,1.0,7
user_0026,5,1.0,7
user_0027,5,1.0,6
user_0028,5,1.0,7
user_0029,4,0.8,8
user_0030,5,1.0,8
user_0031,5,1.0,7
user_0032,4,0.8,8
user_0033,5,1.0,7
user_0034,5,1.0,5
user_0035,5,1.0,7
user_0036,5,1.0,9
user_0037,5,1.0,6
user_0038,5,1.0,6
user_0039,5,1.0,8
user_0040,5,1.0,7
user_0041,5,1.0,8
user_0042,5,1.0,7
user_0043,5,1.0,7
user_0044,5,1.0,7
user_0045,5,1.0,5
user_0046,5,1.0,6
user_0047,5,1.0,6
user_0048,5,1.0,7
user_0049,5,1.0,5
user_0050,5,1.0,7
user_0051,5,1.0,6
user_0052,5,1.0,5
user_0053,5,1.0,8
user_0054,5,1.0,6
user_0055,5,1.0,6
user_0056,5,1.0,5
user_0057,5,1.0,6
user_0058,5,1.0,6
user_0059,5,1.0,7
user_0060,5,1.0,6
user_0061,5,1.0,6
user_0062,5,1.0,7
user_0063,5,1.0,7
user_0064,5,1.0,6
user_0065,5,1.0,6
user_0066,5,1.0,6
user_0067,5,1.0,5
user_0068,5,1.0,7
user_0069,5,1.0,6
user_0070,5,1.0,5
user_0071,5,1.0,6
user_0072,5,1.0,7
user_0073,5,1.0,7
user_0074,5,1.0,5
user_0075,5,1.0,6
user_0076,5,1.0,8
user_0077,5,1.0,6
user_0078,5,1.0,5
user_0079,5,1.0,5
user_0080,5,1.0,7
user_0081,5,1.0,7
user_0082,5,1.0,6
user_0083,5,1.0,7
user_0084,5,1.0,6
user_0085,5,1.0,5
user_0086,5,1.0,6
user_0087,5,1.0,8
user_0088,5,1.0,7
user_0089,5,1.0,6
user_0090,5,1.0,8
user_0091,5,1.0,8
user_0092,5,1.0,5
user_0093,5,1.0,7
user_0094,5,1.0,6
user_0095,5,1.0,8
user_0096,5,1.0,6
user_0097,5,1.0,6
user_0098,5,1.0,5
user_0099,5,1.0,5
user_0100,5,1.0,7
user_0101,5,1.0,4
user_0102,5,1.0,10
user_0103,5,1.0,7
user_0104,5,1.0,8
user_0105,5,1.0,6
user_0106,5,1.0,6
user_0107,5,1.0,6
user_0108,5,1.0,6
user_0109,4,0.8,9
user_0110,5,1.0,7
user_0111,5,1.0,6
user_0112,5,1.0,6
user_0113,5,1.0,7
user_0114,5,1.0,5
user_0115,5,1.0,5
user_0116,5,1.0,8
user_0117,5,1.0,7
user_0118,5,1.0,6
user_0119,5,1.0,6
user_0120,5,1.0,6
user_0121,4,0.8,8
user_0122,5,1.0,5
user_0123,5,1.0,6
user_0124,5,1.0,7
user_0125,5,1.0,6
user_0126,5,1.0,9
user_0127,5,1.0,8
user_0128,5,1.0,6
user_0129,5,1.0,9
user_0130,5,1.0,7
user_0131,5,1.0,5
user_0132,5,1.0,7
user_0133,5,1.0,5
user_0134,5,1.0,7
user_0135,5,1.0,6
user_0136,5,1.0,7
user_0137,5,1.0,5
user_0138,5,1.0,8
user_0139,5,1.0,6
user_0140,5,1.0,6
user_0141,5,1.0,8
user_0142,5,1.0,10
user_0143,5,1.0,6
user_0144,5,1.0,6
user_0145,5,1.0,8
user_0146,5,1.0,6
user_0147,5,1.0,8
user_0148,5,1.0,7
user_0149,5,1.0,9
user_0150,5,1.0,6
user_0151,5,1.0,6
user_0152,5,1.0,6
user_0153,5,1.0,6
user_0154,5,1.0,6
user_0155,5,1.0,7
user_0156,5,1.0,6
user_0157,5,1.0,8
user_0158,5,1.0,6
user_0159,5,1.0,7
user_0160,5,1.0,6
user_0161,5,1.0,7
user_0162,5,1.0,8
user_0163,4,0.8,7
user_0164,5,1.0,6
user_0165,5,1.0,9
user_0166,5,1.0,10
user_0167,5,1.0,7
user_0168,5,1.0,7
user_0169,5,1.0,7
user_0170,4,0.8,7
user_0171,5,1.0,7
user_0172,5,1.0,8
user_0173,5,1.0,6
user_0174,4,0.8,6
user_0175,5,1.0,6
user_0176,5,1.0,7
user_0177,4,0.8,7
user_0178,5,1.0,6
user_0179,5,1.0,9
user_0180,5,1.0,8
user_0181,5,1.0,6
user_0182,5,1.0,7
user_0183,5,1.0,5
user_0184,5,1.0,6
user_0185,5,1.0,6
user_0186,5,1.0,9
user_0187,5,1.0,5
user_0188,5,1.0,8
user_0189,5,1.0,6
user_0190,5,1.0,6
user_0191,5,1.0,7
user_0192,5,1.0,8
user_0193,5,1.0,6
user_0194,4,0.8,7
user_0195,4,0.8,9
user_0196,5,1.0,8
user_0197,5,1.0,5
user_0198,4,0.8,8
user_0199,5,1.0,6
