event_id,expert_id,business_id,is_allowed,should_be_blocked,detection_correct,blocking_partnership,reason
event_0000,expert_0115,business_0064,True,False,True,,
event_0001,expert_0011,business_0093,True,False,True,,
event_0002,expert_0077,business_0058,True,False,True,,
event_0003,expert_0015,business_0061,True,False,True,,
event_0004,expert_0175,business_0013,False,True,True,partnership_0040,Category exclusivity violation
event_0005,expert_0018,business_0010,True,False,True,,
event_0006,expert_0016,business_0016,True,False,True,,
event_0007,expert_0140,business_0091,True,False,True,,
event_0008,expert_0135,business_0037,False,True,True,partnership_0027,Category exclusivity violation
event_0009,expert_0110,business_0012,True,False,True,,
event_0010,expert_0167,business_0083,False,True,True,partnership_0007,Category exclusivity violation
event_0011,expert_0184,business_0027,True,False,True,,
event_0012,expert_0105,business_0043,True,False,True,,
event_0013,expert_0106,business_0093,True,False,True,,
event_0014,expert_0080,business_0085,True,False,True,,
event_0015,expert_0175,business_0060,False,True,True,partnership_0040,Category exclusivity violation
event_0016,expert_0023,business_0055,True,False,True,,
event_0017,expert_0033,business_0071,True,False,True,,
event_0018,expert_0143,business_0042,True,False,True,,
event_0019,expert_0090,business_0085,True,False,True,,
event_0020,expert_0184,business_0006,True,False,True,,
event_0021,expert_0079,business_0045,True,False,True,,
event_0022,expert_0054,business_0019,True,False,True,,
event_0023,expert_0027,business_0044,True,False,True,,
event_0024,expert_0029,business_0097,True,False,True,,
event_0025,expert_0109,business_0071,True,False,True,,
event_0026,expert_0157,business_0086,True,False,True,,
event_0027,expert_0155,business_0084,True,False,True,,
event_0028,expert_0007,business_0023,True,False,True,,
event_0029,expert_0086,business_0044,True,False,True,,
event_0030,expert_0144,business_0084,False,True,True,partnership_0014,Full exclusivity violation
event_0031,expert_0189,business_0081,True,False,True,,
event_0032,expert_0191,business_0067,True,False,True,,
event_0033,expert_0116,business_0043,False,True,True,partnership_0002,Full exclusivity violation
event_0034,expert_0184,business_0041,True,False,True,,
event_0035,expert_0152,business_0010,True,False,True,,
event_0036,expert_0040,business_0096,True,False,True,,
event_0037,expert_0069,business_0056,True,False,True,,
event_0038,expert_0155,business_0056,True,False,True,,
event_0039,expert_0193,business_0065,True,False,True,,
event_0040,expert_0028,business_0036,True,False,True,,
event_0041,expert_0124,business_0067,True,False,True,,
event_0042,expert_0056,business_0050,True,False,True,,
event_0043,expert_0001,business_0026,True,False,True,,
event_0044,expert_0196,business_0017,True,False,True,,
event_0045,expert_0083,business_0015,True,False,True,,
event_0046,expert_0044,business_0016,True,False,True,,
event_0047,expert_0128,business_0071,True,False,True,,
event_0048,expert_0018,business_0050,True,False,True,,
event_0049,expert_0111,business_0002,True,False,True,,
event_0050,expert_0080,business_0073,True,False,True,,
event_0051,expert_0181,business_0081,True,False,True,,
event_0052,expert_0103,business_0002,True,False,True,,
event_0053,expert_0158,business_0058,False,True,True,partnership_0010,Category exclusivity violation
event_0054,expert_0022,business_0055,True,False,True,,
event_0055,expert_0111,business_0075,True,False,True,,
event_0056,expert_0101,business_0039,False,True,True,partnership_0041,Category exclusivity violation
event_0057,expert_0085,business_0099,False,True,True,partnership_0043,Full exclusivity violation
event_0058,expert_0162,business_0014,True,False,True,,
event_0059,expert_0198,business_0044,False,True,True,partnership_0045,Category exclusivity violation
event_0060,expert_0060,business_0013,True,False,True,,
event_0061,expert_0044,business_0077,True,False,True,,
event_0062,expert_0045,business_0098,True,False,True,,
event_0063,expert_0193,business_0072,True,False,True,,
event_0064,expert_0174,business_0072,True,False,True,,
event_0065,expert_0082,business_0080,True,False,True,,
event_0066,expert_0017,business_0060,True,False,True,,
event_0067,expert_0070,business_0075,True,False,True,,
event_0068,expert_0018,business_0039,True,False,True,,
event_0069,expert_0014,business_0047,False,True,True,partnership_0013,Full exclusivity violation
event_0070,expert_0165,business_0011,True,False,True,,
event_0071,expert_0098,business_0059,False,True,True,partnership_0004,Full exclusivity violation
event_0072,expert_0115,business_0073,True,False,True,,
event_0073,expert_0154,business_0060,True,False,True,,
event_0074,expert_0115,business_0013,True,False,True,,
event_0075,expert_0182,business_0010,True,False,True,,
event_0076,expert_0010,business_0031,True,False,True,,
event_0077,expert_0134,business_0066,True,False,True,,
event_0078,expert_0095,business_0036,True,False,True,,
event_0079,expert_0173,business_0076,True,False,True,,
event_0080,expert_0016,business_0042,True,False,True,,
event_0081,expert_0072,business_0032,True,False,True,,
event_0082,expert_0038,business_0042,True,False,True,,
event_0083,expert_0089,business_0039,True,False,True,,
event_0084,expert_0033,business_0076,True,False,True,,
event_0085,expert_0079,business_0071,True,False,True,,
event_0086,expert_0032,business_0085,True,False,True,,
event_0087,expert_0023,business_0082,True,False,True,,
event_0088,expert_0092,business_0002,True,False,True,,
event_0089,expert_0054,business_0043,True,False,True,,
event_0090,expert_0049,business_0028,True,False,True,,
event_0091,expert_0019,business_0037,True,False,True,,
event_0092,expert_0129,business_0098,True,False,True,,
event_0093,expert_0009,business_0084,False,True,True,partnership_0005,Full exclusivity violation
event_0094,expert_0033,business_0076,True,False,True,,
event_0095,expert_0046,business_0088,True,False,True,,
event_0096,expert_0184,business_0056,True,False,True,,
event_0097,expert_0173,business_0092,True,False,True,,
event_0098,expert_0156,business_0036,False,True,True,partnership_0033,Category exclusivity violation
event_0099,expert_0059,business_0068,False,True,True,partnership_0003,Category exclusivity violation
event_0100,expert_0049,business_0047,True,False,True,,
event_0101,expert_0112,business_0059,True,False,True,,
event_0102,expert_0128,business_0067,True,False,True,,
event_0103,expert_0051,business_0077,True,False,True,,
event_0104,expert_0013,business_0082,True,False,True,,
event_0105,expert_0141,business_0013,True,False,True,,
event_0106,expert_0031,business_0036,True,False,True,,
event_0107,expert_0069,business_0057,True,False,True,,
event_0108,expert_0111,business_0011,True,False,True,,
event_0109,expert_0115,business_0044,True,False,True,,
event_0110,expert_0013,business_0050,True,False,True,,
event_0111,expert_0098,business_0010,False,True,True,partnership_0004,Full exclusivity violation
event_0112,expert_0081,business_0012,True,False,True,,
event_0113,expert_0037,business_0017,True,False,True,,
event_0114,expert_0178,business_0017,True,False,True,,
event_0115,expert_0114,business_0078,True,False,True,,
event_0116,expert_0004,business_0032,False,True,True,partnership_0048,Category exclusivity violation
event_0117,expert_0140,business_0093,True,False,True,,
event_0118,expert_0028,business_0099,True,False,True,,
event_0119,expert_0031,business_0006,True,False,True,,
event_0120,expert_0117,business_0008,True,False,True,,
event_0121,expert_0152,business_0068,True,False,True,,
event_0122,expert_0147,business_0030,True,False,True,,
event_0123,expert_0109,business_0000,True,False,True,,
event_0124,expert_0146,business_0053,True,False,True,,
event_0125,expert_0134,business_0046,True,False,True,,
event_0126,expert_0139,business_0064,True,False,True,,
event_0127,expert_0141,business_0002,True,False,True,,
event_0128,expert_0011,business_0081,True,False,True,,
event_0129,expert_0064,business_0095,True,False,True,,
event_0130,expert_0088,business_0030,True,False,True,,
event_0131,expert_0197,business_0074,True,False,True,,
event_0132,expert_0034,business_0005,True,False,True,,
event_0133,expert_0164,business_0022,True,False,True,,
event_0134,expert_0178,business_0061,True,False,True,,
event_0135,expert_0016,business_0091,True,False,True,,
event_0136,expert_0009,business_0037,False,True,True,partnership_0005,Full exclusivity violation
event_0137,expert_0010,business_0040,True,False,True,,
event_0138,expert_0101,business_0069,False,True,True,partnership_0041,Category exclusivity violation
event_0139,expert_0192,business_0082,True,False,True,,
event_0140,expert_0199,business_0006,True,False,True,,
event_0141,expert_0069,business_0015,True,False,True,,
event_0142,expert_0102,business_0095,True,False,True,,
event_0143,expert_0086,business_0023,True,False,True,,
event_0144,expert_0094,business_0066,True,False,True,,
event_0145,expert_0186,business_0054,True,False,True,,
event_0146,expert_0046,business_0069,True,False,True,,
event_0147,expert_0020,business_0041,True,False,True,,
event_0148,expert_0114,business_0077,True,False,True,,
event_0149,expert_0176,business_0056,True,False,True,,
