user_id,total_opportunities,above_threshold,threshold_rate,top_10_above_threshold,top_10_threshold_rate
user_0000,200,200,1.0,10,1.0
user_0001,200,200,1.0,10,1.0
user_0002,200,200,1.0,10,1.0
user_0003,200,200,1.0,10,1.0
user_0004,200,200,1.0,10,1.0
user_0005,200,200,1.0,10,1.0
user_0006,200,200,1.0,10,1.0
user_0007,200,200,1.0,10,1.0
user_0008,200,200,1.0,10,1.0
user_0009,200,200,1.0,10,1.0
user_0010,200,200,1.0,10,1.0
user_0011,200,200,1.0,10,1.0
user_0012,200,200,1.0,10,1.0
user_0013,200,200,1.0,10,1.0
user_0014,200,200,1.0,10,1.0
user_0015,200,200,1.0,10,1.0
user_0016,200,200,1.0,10,1.0
user_0017,200,200,1.0,10,1.0
user_0018,200,200,1.0,10,1.0
user_0019,200,200,1.0,10,1.0
user_0020,200,200,1.0,10,1.0
user_0021,200,200,1.0,10,1.0
user_0022,200,200,1.0,10,1.0
user_0023,200,200,1.0,10,1.0
user_0024,200,200,1.0,10,1.0
user_0025,200,200,1.0,10,1.0
user_0026,200,200,1.0,10,1.0
user_0027,200,200,1.0,10,1.0
user_0028,200,200,1.0,10,1.0
user_0029,200,200,1.0,10,1.0
user_0030,200,200,1.0,10,1.0
user_0031,200,200,1.0,10,1.0
user_0032,200,200,1.0,10,1.0
user_0033,200,200,1.0,10,1.0
user_0034,200,200,1.0,10,1.0
user_0035,200,200,1.0,10,1.0
user_0036,200,200,1.0,10,1.0
user_0037,200,200,1.0,10,1.0
user_0038,200,200,1.0,10,1.0
user_0039,200,200,1.0,10,1.0
user_0040,200,200,1.0,10,1.0
user_0041,200,200,1.0,10,1.0
user_0042,200,200,1.0,10,1.0
user_0043,200,200,1.0,10,1.0
user_0044,200,200,1.0,10,1.0
user_0045,200,200,1.0,10,1.0
user_0046,200,200,1.0,10,1.0
user_0047,200,200,1.0,10,1.0
user_0048,200,200,1.0,10,1.0
user_0049,200,200,1.0,10,1.0
user_0050,200,200,1.0,10,1.0
user_0051,200,200,1.0,10,1.0
user_0052,200,200,1.0,10,1.0
user_0053,200,200,1.0,10,1.0
user_0054,200,200,1.0,10,1.0
user_0055,200,200,1.0,10,1.0
user_0056,200,199,0.995,10,1.0
user_0057,200,200,1.0,10,1.0
user_0058,200,200,1.0,10,1.0
user_0059,200,200,1.0,10,1.0
user_0060,200,200,1.0,10,1.0
user_0061,200,200,1.0,10,1.0
user_0062,200,200,1.0,10,1.0
user_0063,200,200,1.0,10,1.0
user_0064,200,200,1.0,10,1.0
user_0065,200,200,1.0,10,1.0
user_0066,200,200,1.0,10,1.0
user_0067,200,200,1.0,10,1.0
user_0068,200,200,1.0,10,1.0
user_0069,200,200,1.0,10,1.0
user_0070,200,200,1.0,10,1.0
user_0071,200,200,1.0,10,1.0
user_0072,200,200,1.0,10,1.0
user_0073,200,200,1.0,10,1.0
user_0074,200,200,1.0,10,1.0
user_0075,200,200,1.0,10,1.0
user_0076,200,200,1.0,10,1.0
user_0077,200,200,1.0,10,1.0
user_0078,200,200,1.0,10,1.0
user_0079,200,200,1.0,10,1.0
user_0080,200,200,1.0,10,1.0
user_0081,200,200,1.0,10,1.0
user_0082,200,200,1.0,10,1.0
user_0083,200,200,1.0,10,1.0
user_0084,200,200,1.0,10,1.0
user_0085,200,200,1.0,10,1.0
user_0086,200,200,1.0,10,1.0
user_0087,200,200,1.0,10,1.0
user_0088,200,200,1.0,10,1.0
user_0089,200,200,1.0,10,1.0
user_0090,200,200,1.0,10,1.0
user_0091,200,200,1.0,10,1.0
user_0092,200,200,1.0,10,1.0
user_0093,200,200,1.0,10,1.0
user_0094,200,200,1.0,10,1.0
user_0095,200,200,1.0,10,1.0
user_0096,200,200,1.0,10,1.0
user_0097,200,200,1.0,10,1.0
user_0098,200,200,1.0,10,1.0
user_0099,200,200,1.0,10,1.0
user_0100,200,200,1.0,10,1.0
user_0101,200,200,1.0,10,1.0
user_0102,200,200,1.0,10,1.0
user_0103,200,200,1.0,10,1.0
user_0104,200,200,1.0,10,1.0
user_0105,200,200,1.0,10,1.0
user_0106,200,200,1.0,10,1.0
user_0107,200,200,1.0,10,1.0
user_0108,200,200,1.0,10,1.0
user_0109,200,200,1.0,10,1.0
user_0110,200,200,1.0,10,1.0
user_0111,200,200,1.0,10,1.0
user_0112,200,200,1.0,10,1.0
user_0113,200,200,1.0,10,1.0
user_0114,200,200,1.0,10,1.0
user_0115,200,200,1.0,10,1.0
user_0116,200,200,1.0,10,1.0
user_0117,200,200,1.0,10,1.0
user_0118,200,200,1.0,10,1.0
user_0119,200,200,1.0,10,1.0
user_0120,200,200,1.0,10,1.0
user_0121,200,200,1.0,10,1.0
user_0122,200,200,1.0,10,1.0
user_0123,200,200,1.0,10,1.0
user_0124,200,200,1.0,10,1.0
user_0125,200,200,1.0,10,1.0
user_0126,200,200,1.0,10,1.0
user_0127,200,200,1.0,10,1.0
user_0128,200,199,0.995,10,1.0
user_0129,200,200,1.0,10,1.0
user_0130,200,200,1.0,10,1.0
user_0131,200,200,1.0,10,1.0
user_0132,200,200,1.0,10,1.0
user_0133,200,200,1.0,10,1.0
user_0134,200,200,1.0,10,1.0
user_0135,200,200,1.0,10,1.0
user_0136,200,200,1.0,10,1.0
user_0137,200,200,1.0,10,1.0
user_0138,200,200,1.0,10,1.0
user_0139,200,200,1.0,10,1.0
user_0140,200,200,1.0,10,1.0
user_0141,200,200,1.0,10,1.0
user_0142,200,200,1.0,10,1.0
user_0143,200,200,1.0,10,1.0
user_0144,200,200,1.0,10,1.0
user_0145,200,200,1.0,10,1.0
user_0146,200,200,1.0,10,1.0
user_0147,200,200,1.0,10,1.0
user_0148,200,200,1.0,10,1.0
user_0149,200,200,1.0,10,1.0
user_0150,200,200,1.0,10,1.0
user_0151,200,200,1.0,10,1.0
user_0152,200,200,1.0,10,1.0
user_0153,200,200,1.0,10,1.0
user_0154,200,200,1.0,10,1.0
user_0155,200,200,1.0,10,1.0
user_0156,200,200,1.0,10,1.0
user_0157,200,200,1.0,10,1.0
user_0158,200,200,1.0,10,1.0
user_0159,200,198,0.99,10,1.0
user_0160,200,200,1.0,10,1.0
user_0161,200,200,1.0,10,1.0
user_0162,200,200,1.0,10,1.0
user_0163,200,200,1.0,10,1.0
user_0164,200,200,1.0,10,1.0
user_0165,200,200,1.0,10,1.0
user_0166,200,200,1.0,10,1.0
user_0167,200,200,1.0,10,1.0
user_0168,200,200,1.0,10,1.0
user_0169,200,200,1.0,10,1.0
user_0170,200,200,1.0,10,1.0
user_0171,200,200,1.0,10,1.0
user_0172,200,200,1.0,10,1.0
user_0173,200,200,1.0,10,1.0
user_0174,200,200,1.0,10,1.0
user_0175,200,200,1.0,10,1.0
user_0176,200,200,1.0,10,1.0
user_0177,200,200,1.0,10,1.0
user_0178,200,200,1.0,10,1.0
user_0179,200,200,1.0,10,1.0
user_0180,200,200,1.0,10,1.0
user_0181,200,200,1.0,10,1.0
user_0182,200,200,1.0,10,1.0
user_0183,200,200,1.0,10,1.0
user_0184,200,200,1.0,10,1.0
user_0185,200,200,1.0,10,1.0
user_0186,200,200,1.0,10,1.0
user_0187,200,200,1.0,10,1.0
user_0188,200,200,1.0,10,1.0
user_0189,200,200,1.0,10,1.0
user_0190,200,200,1.0,10,1.0
user_0191,200,200,1.0,10,1.0
user_0192,200,200,1.0,10,1.0
user_0193,200,200,1.0,10,1.0
user_0194,200,200,1.0,10,1.0
user_0195,200,200,1.0,10,1.0
user_0196,200,200,1.0,10,1.0
user_0197,200,200,1.0,10,1.0
user_0198,200,200,1.0,10,1.0
user_0199,200,200,1.0,10,1.0
user_0200,200,200,1.0,10,1.0
user_0201,200,200,1.0,10,1.0
user_0202,200,200,1.0,10,1.0
user_0203,200,199,0.995,10,1.0
user_0204,200,200,1.0,10,1.0
user_0205,200,200,1.0,10,1.0
user_0206,200,200,1.0,10,1.0
user_0207,200,200,1.0,10,1.0
user_0208,200,200,1.0,10,1.0
user_0209,200,200,1.0,10,1.0
user_0210,200,200,1.0,10,1.0
user_0211,200,200,1.0,10,1.0
user_0212,200,200,1.0,10,1.0
user_0213,200,200,1.0,10,1.0
user_0214,200,200,1.0,10,1.0
user_0215,200,200,1.0,10,1.0
user_0216,200,200,1.0,10,1.0
user_0217,200,200,1.0,10,1.0
user_0218,200,200,1.0,10,1.0
user_0219,200,200,1.0,10,1.0
user_0220,200,200,1.0,10,1.0
user_0221,200,200,1.0,10,1.0
user_0222,200,200,1.0,10,1.0
user_0223,200,200,1.0,10,1.0
user_0224,200,200,1.0,10,1.0
user_0225,200,199,0.995,10,1.0
user_0226,200,200,1.0,10,1.0
user_0227,200,200,1.0,10,1.0
user_0228,200,200,1.0,10,1.0
user_0229,200,200,1.0,10,1.0
user_0230,200,200,1.0,10,1.0
user_0231,200,200,1.0,10,1.0
user_0232,200,200,1.0,10,1.0
user_0233,200,200,1.0,10,1.0
user_0234,200,200,1.0,10,1.0
