target_agent_id,nearby_count,consensus_found,consensus_success,distance_error_km
target_0000,0,False,False,
target_0001,0,False,False,
target_0002,0,False,False,
target_0003,0,False,False,
target_0004,0,False,False,
target_0005,0,False,False,
target_0006,0,False,False,
target_0007,0,False,False,
target_0008,0,False,False,
target_0009,0,False,False,
target_0010,0,False,False,
target_0011,0,False,False,
target_0012,0,False,False,
target_0013,0,False,False,
target_0014,0,False,False,
target_0015,0,False,False,
target_0016,0,False,False,
target_0017,0,False,False,
target_0018,0,False,False,
target_0019,0,False,False,
target_0020,0,False,False,
target_0021,0,False,False,
target_0022,0,False,False,
target_0023,0,False,False,
target_0024,0,False,False,
target_0025,0,False,False,
target_0026,0,False,False,
target_0027,0,False,False,
target_0028,0,False,False,
target_0029,0,False,False,
target_0030,0,False,False,
target_0031,0,False,False,
target_0032,0,False,False,
target_0033,0,False,False,
target_0034,0,False,False,
target_0035,0,False,False,
target_0036,0,False,False,
target_0037,0,False,False,
target_0038,0,False,False,
target_0039,0,False,False,
target_0040,0,False,False,
target_0041,0,False,False,
target_0042,0,False,False,
target_0043,0,False,False,
target_0044,0,False,False,
target_0045,0,False,False,
target_0046,0,False,False,
target_0047,0,False,False,
target_0048,0,False,False,
target_0049,0,False,False,
