target_agent_id,nearby_count,ground_truth_count,discovery_accuracy
target_0000,0,0,0.0
target_0001,0,0,0.0
target_0002,0,0,0.0
target_0003,0,0,0.0
target_0004,0,0,0.0
target_0005,0,0,0.0
target_0006,0,0,0.0
target_0007,0,0,0.0
target_0008,0,0,0.0
target_0009,0,0,0.0
target_0010,0,0,0.0
target_0011,0,0,0.0
target_0012,0,0,0.0
target_0013,0,0,0.0
target_0014,0,0,0.0
target_0015,0,0,0.0
target_0016,0,0,0.0
target_0017,0,0,0.0
target_0018,0,0,0.0
target_0019,0,0,0.0
target_0020,0,0,0.0
target_0021,0,0,0.0
target_0022,0,0,0.0
target_0023,0,0,0.0
target_0024,0,0,0.0
target_0025,0,0,0.0
target_0026,0,0,0.0
target_0027,0,0,0.0
target_0028,0,0,0.0
target_0029,0,0,0.0
target_0030,0,0,0.0
target_0031,0,0,0.0
target_0032,0,0,0.0
target_0033,0,0,0.0
target_0034,0,0,0.0
target_0035,0,0,0.0
target_0036,0,0,0.0
target_0037,0,0,0.0
target_0038,0,0,0.0
target_0039,0,0,0.0
target_0040,0,0,0.0
target_0041,0,0,0.0
target_0042,0,0,0.0
target_0043,0,0,0.0
target_0044,0,0,0.0
target_0045,0,0,0.0
target_0046,0,0,0.0
target_0047,0,0,0.0
target_0048,0,0,0.0
target_0049,0,0,0.0
