work_id,ai_id,initial_quality,improved_quality,quality_improvement
work_0000,ai_0025,0.736131737734594,0.7789278586888306,0.04279612095423668
work_0001,ai_0094,0.9423230035377103,0.9624411197440677,0.020118116206357395
work_0002,ai_0165,0.796508950788348,0.8416422475670935,0.045133296778745446
work_0003,ai_0101,0.7417410925411903,0.813924421770542,0.07218332922935178
work_0004,ai_0031,0.8385187500388348,0.8915958018178487,0.053077051779013895
work_0005,ai_0116,0.7775942070194944,0.8193461160090947,0.04175190898960024
work_0006,ai_0054,0.7462245284298636,0.7901288085887584,0.043904280158894804
work_0007,ai_0152,0.9101234829447784,0.933011617041962,0.0228881340971836
work_0008,ai_0012,0.9646672103017957,0.980473238345278,0.0158060280434823
work_0009,ai_0062,0.6954154372508566,0.7548557381853335,0.05944030093447683
work_0010,ai_0144,0.8163594549360335,0.8521532048181344,0.035793749882100934
work_0011,ai_0195,0.7629574738596308,0.8225011330657197,0.05954365920608895
work_0012,ai_0150,0.8411710832304469,0.8867177293031059,0.045546646072659014
work_0013,ai_0059,0.6320157395196724,0.7001099401507419,0.06809420063106952
work_0014,ai_0037,0.7532332570554316,0.8091369376886018,0.055903680633170194
work_0015,ai_0152,0.9101234829447784,0.933011617041962,0.0228881340971836
work_0016,ai_0037,0.7532332570554316,0.8091369376886018,0.055903680633170194
work_0017,ai_0138,0.9494839395223006,0.9620054820901044,0.0125215425678038
work_0018,ai_0044,0.7579896481473627,0.8038911205669931,0.045901472419630385
work_0019,ai_0006,0.8847544773323728,0.9142098332562719,0.02945535592389914
work_0020,ai_0091,0.896087230471708,0.9174671213114981,0.021379890839790083
work_0021,ai_0060,0.8226955989675024,0.8555748951669008,0.032879296199398333
work_0022,ai_0004,0.8296463378950893,0.8703445271660262,0.040698189270936824
work_0023,ai_0013,0.6354110172253125,0.713362866489862,0.07795184926454957
work_0024,ai_0107,0.7194560685166905,0.7703997399903133,0.050943671473622776
work_0025,ai_0190,0.9003626115276813,0.9246841574135161,0.024321545885834794
work_0026,ai_0114,0.8377314818236897,0.8760899727294529,0.038358490905763154
work_0027,ai_0131,0.6047282083748963,0.6996317187016581,0.09490351032676181
work_0028,ai_0115,0.9602969068452623,0.9715002613975252,0.011203354552262956
work_0029,ai_0157,0.8082774614122343,0.8535806411662834,0.04530317975404907
work_0030,ai_0168,0.9193867140977555,0.9351472348678704,0.015760520770114916
work_0031,ai_0117,0.7252876374204619,0.7916660106211557,0.06637837320069384
work_0032,ai_0007,0.942827445406725,0.952653189461971,0.009825744055245944
work_0033,ai_0122,0.9523984745696575,0.9662934563050147,0.013894981735357192
work_0034,ai_0109,0.7380838652821552,0.7852326966202235,0.04714883133806835
work_0035,ai_0125,0.8090795747166024,0.8541881563109447,0.04510858159434228
work_0036,ai_0113,0.8520557789149217,0.8845414532412919,0.03248567432637017
work_0037,ai_0020,0.7057656647363536,0.7611723299479647,0.055406665211611084
work_0038,ai_0037,0.7532332570554316,0.8091369376886018,0.055903680633170194
work_0039,ai_0070,0.8528260416488294,0.8883088064493464,0.03548276480051704
work_0040,ai_0149,0.8672147710934384,0.8983403039096329,0.031125532816194568
work_0041,ai_0083,0.5024814940823243,0.5713106584911913,0.068829164408867
work_0042,ai_0152,0.9101234829447784,0.933011617041962,0.0228881340971836
work_0043,ai_0116,0.7775942070194944,0.8193461160090947,0.04175190898960024
work_0044,ai_0110,0.8352606642735718,0.8668492235908473,0.031588559317275444
work_0045,ai_0179,0.915819883713037,0.9385082721039176,0.02268838839088061
work_0046,ai_0167,0.8057600461463287,0.8565503948640778,0.05079034871774912
work_0047,ai_0196,0.6749632777601522,0.7323387884933502,0.05737551073319802
work_0048,ai_0055,0.7366152772838238,0.8091093501762529,0.07249407289242904
work_0049,ai_0058,0.7322181131719099,0.7842557561399166,0.052037642968006725
work_0050,ai_0116,0.7775942070194944,0.8193461160090947,0.04175190898960024
work_0051,ai_0186,0.7350224758932515,0.798678698696739,0.06365622280348748
work_0052,ai_0109,0.7380838652821552,0.7852326966202235,0.04714883133806835
work_0053,ai_0065,0.9319585706394515,0.9475439980441581,0.015585427404706587
work_0054,ai_0039,0.7789879577392065,0.823197783251043,0.0442098255118365
work_0055,ai_0121,0.7635172175806036,0.816253522587115,0.052736305006511386
work_0056,ai_0021,0.8101579734582726,0.8600846868034319,0.0499267133451593
work_0057,ai_0024,0.753874574813559,0.7986732567993461,0.04479868198578707
work_0058,ai_0095,0.9743710929770907,0.9791578382358024,0.0047867452587117
work_0059,ai_0142,0.9431757272394296,0.9605798714245901,0.017404144185160564
work_0060,ai_0143,0.6994277916954204,0.7991695897427741,0.09974179804735372
work_0061,ai_0171,0.8108755934969193,0.8620225940922409,0.05114700059532162
work_0062,ai_0090,0.8017875393221099,0.8426817436960713,0.04089420437396141
work_0063,ai_0192,0.791511914786711,0.8282584611867008,0.036746546399989755
work_0064,ai_0184,0.957730915713385,0.9644020113582578,0.006671095644872782
work_0065,ai_0073,0.7445462469284502,0.7973345823225731,0.052788335394122976
work_0066,ai_0090,0.8017875393221099,0.8426817436960713,0.04089420437396141
work_0067,ai_0129,0.9168782040782666,0.9353141708278929,0.01843596674962633
work_0068,ai_0168,0.9193867140977555,0.9351472348678704,0.015760520770114916
work_0069,ai_0027,0.6638706790796757,0.7217312805139204,0.05786060143424476
work_0070,ai_0142,0.9431757272394296,0.9605798714245901,0.017404144185160564
work_0071,ai_0195,0.7629574738596308,0.8225011330657197,0.05954365920608895
work_0072,ai_0057,0.7039738144461991,0.7538616166863337,0.04988780224013456
work_0073,ai_0143,0.6994277916954204,0.7991695897427741,0.09974179804735372
work_0074,ai_0159,0.9453361961740027,0.9616447246796679,0.01630852850566522
work_0075,ai_0164,0.9394578637910487,0.9566879559178936,0.017230092126844898
work_0076,ai_0155,0.6231875506025693,0.6812274480187146,0.05803989741614535
work_0077,ai_0177,0.8789066182134635,0.9148674817888462,0.03596086357538275
work_0078,ai_0046,0.6641841764253686,0.7338881897153685,0.06970401328999987
work_0079,ai_0195,0.7629574738596308,0.8225011330657197,0.05954365920608895
work_0080,ai_0086,0.6415712060227046,0.7070522110684881,0.06548100504578358
work_0081,ai_0046,0.6641841764253686,0.7338881897153685,0.06970401328999987
work_0082,ai_0144,0.8163594549360335,0.8521532048181344,0.035793749882100934
work_0083,ai_0017,0.5152377921849091,0.5922363116320136,0.07699851944710456
work_0084,ai_0162,0.847554691593097,0.8852983532479203,0.037743661654823235
work_0085,ai_0023,0.7862633828844705,0.8287383053298684,0.042474922445397856
work_0086,ai_0055,0.7366152772838238,0.8091093501762529,0.07249407289242904
work_0087,ai_0116,0.7775942070194944,0.8193461160090947,0.04175190898960024
work_0088,ai_0094,0.9423230035377103,0.9624411197440677,0.020118116206357395
work_0089,ai_0083,0.5024814940823243,0.5713106584911913,0.068829164408867
work_0090,ai_0145,0.7452787961093671,0.8035544642100605,0.0582756681006934
work_0091,ai_0013,0.6354110172253125,0.713362866489862,0.07795184926454957
work_0092,ai_0193,0.7119590449573177,0.7621970644186554,0.05023801946133777
work_0093,ai_0172,0.7432186841683035,0.7835395241544395,0.040320839986136
work_0094,ai_0113,0.8520557789149217,0.8845414532412919,0.03248567432637017
work_0095,ai_0124,0.7575220849876075,0.8476434655310475,0.09012138054343999
work_0096,ai_0106,0.8034963678494088,0.8509656004270465,0.04746923257763769
work_0097,ai_0193,0.7119590449573177,0.7621970644186554,0.05023801946133777
work_0098,ai_0088,0.951545442015591,0.9686265549371901,0.017081112921599084
work_0099,ai_0072,0.9206440195935297,0.9412616606069164,0.0206176410133867
work_0100,ai_0151,0.8908626224564097,0.9231603443229143,0.03229772186650459
work_0101,ai_0170,0.6512384232434765,0.7044397802268656,0.053201356983389125
work_0102,ai_0056,0.8663020822731317,0.9036690681424658,0.03736698586933418
work_0103,ai_0153,0.8400016992130038,0.8794208386445785,0.03941913943157471
work_0104,ai_0052,0.8334905536601191,0.8669081402737561,0.03341758661363692
work_0105,ai_0054,0.7462245284298636,0.7901288085887584,0.043904280158894804
work_0106,ai_0195,0.7629574738596308,0.8225011330657197,0.05954365920608895
work_0107,ai_0083,0.5024814940823243,0.5713106584911913,0.068829164408867
work_0108,ai_0127,0.6477894927992545,0.7427674662907472,0.09497797349149273
work_0109,ai_0044,0.7579896481473627,0.8038911205669931,0.045901472419630385
work_0110,ai_0136,0.46467035409835056,0.5622984014424903,0.09762804734413977
work_0111,ai_0128,0.8623208729078995,0.898933031358679,0.036612158450779475
work_0112,ai_0171,0.8108755934969193,0.8620225940922409,0.05114700059532162
work_0113,ai_0018,0.6434019033753235,0.7066065256480543,0.06320462227273071
work_0114,ai_0189,0.6805814086355266,0.728834466416883,0.04825305778135636
work_0115,ai_0004,0.8296463378950893,0.8703445271660262,0.040698189270936824
work_0116,ai_0019,0.882449046468723,0.9157819047379965,0.03333285826927346
work_0117,ai_0147,0.8074337563433792,0.8591520006226893,0.051718244279310044
work_0118,ai_0103,0.5981200208393279,0.673015804791738,0.07489578395241003
work_0119,ai_0106,0.8034963678494088,0.8509656004270465,0.04746923257763769
work_0120,ai_0103,0.5981200208393279,0.673015804791738,0.07489578395241003
work_0121,ai_0083,0.5024814940823243,0.5713106584911913,0.068829164408867
work_0122,ai_0158,0.8605135539682416,0.8850652697429539,0.02455171577471227
work_0123,ai_0176,0.6182871678382605,0.6771101607365324,0.058822992898271864
work_0124,ai_0022,0.8062326258594757,0.8485821178861092,0.042349492026633406
work_0125,ai_0027,0.6638706790796757,0.7217312805139204,0.05786060143424476
work_0126,ai_0150,0.8411710832304469,0.8867177293031059,0.045546646072659014
work_0127,ai_0020,0.7057656647363536,0.7611723299479647,0.055406665211611084
work_0128,ai_0079,0.9189544497896355,0.9388923625067004,0.01993791271706491
work_0129,ai_0056,0.8663020822731317,0.9036690681424658,0.03736698586933418
work_0130,ai_0043,0.7822887976242932,0.8399596504094662,0.05767085278517303
work_0131,ai_0162,0.847554691593097,0.8852983532479203,0.037743661654823235
work_0132,ai_0130,0.6944438991120421,0.7496499839039011,0.05520608479185907
work_0133,ai_0198,0.7808379532210671,0.8387980808958299,0.057960127674762774
work_0134,ai_0186,0.7350224758932515,0.798678698696739,0.06365622280348748
work_0135,ai_0165,0.796508950788348,0.8416422475670935,0.045133296778745446
work_0136,ai_0060,0.8226955989675024,0.8555748951669008,0.032879296199398333
work_0137,ai_0065,0.9319585706394515,0.9475439980441581,0.015585427404706587
work_0138,ai_0154,0.8382398396065185,0.8810701111580039,0.042830271551485444
work_0139,ai_0194,0.6296291632570727,0.6856192904898865,0.05599012723281371
work_0140,ai_0045,0.8636780194074829,0.9002189156036023,0.03654089619611944
work_0141,ai_0160,0.7781345897774467,0.8429011468804709,0.06476655710302426
work_0142,ai_0193,0.7119590449573177,0.7621970644186554,0.05023801946133777
work_0143,ai_0148,0.8369276711076543,0.8680617799622152,0.031134108854560916
work_0144,ai_0144,0.8163594549360335,0.8521532048181344,0.035793749882100934
work_0145,ai_0159,0.9453361961740027,0.9616447246796679,0.01630852850566522
work_0146,ai_0160,0.7781345897774467,0.8429011468804709,0.06476655710302426
work_0147,ai_0112,0.9094349716295078,0.9363336122829711,0.026898640653463257
work_0148,ai_0113,0.8520557789149217,0.8845414532412919,0.03248567432637017
work_0149,ai_0070,0.8528260416488294,0.8883088064493464,0.03548276480051704
work_0150,ai_0090,0.8017875393221099,0.8426817436960713,0.04089420437396141
work_0151,ai_0079,0.9189544497896355,0.9388923625067004,0.01993791271706491
work_0152,ai_0009,0.7438842189967517,0.8121118573479346,0.06822763835118284
work_0153,ai_0073,0.7445462469284502,0.7973345823225731,0.052788335394122976
work_0154,ai_0023,0.7862633828844705,0.8287383053298684,0.042474922445397856
work_0155,ai_0129,0.9168782040782666,0.9353141708278929,0.01843596674962633
work_0156,ai_0148,0.8369276711076543,0.8680617799622152,0.031134108854560916
work_0157,ai_0189,0.6805814086355266,0.728834466416883,0.04825305778135636
work_0158,ai_0115,0.9602969068452623,0.9715002613975252,0.011203354552262956
work_0159,ai_0146,0.8666977540860369,0.8986305721043514,0.03193281801831449
work_0160,ai_0082,0.799657721212854,0.8403201768923213,0.04066245567946736
work_0161,ai_0128,0.8623208729078995,0.898933031358679,0.036612158450779475
work_0162,ai_0015,0.7658544594582898,0.8154218612436738,0.04956740178538399
work_0163,ai_0087,0.7257538330692369,0.7788127002368669,0.053058867167629975
work_0164,ai_0021,0.8101579734582726,0.8600846868034319,0.0499267133451593
work_0165,ai_0044,0.7579896481473627,0.8038911205669931,0.045901472419630385
work_0166,ai_0181,0.8484477452466412,0.8850239178397127,0.03657617259307144
work_0167,ai_0112,0.9094349716295078,0.9363336122829711,0.026898640653463257
work_0168,ai_0156,0.8884780149980854,0.9131705987763716,0.024692583778286203
work_0169,ai_0095,0.9743710929770907,0.9791578382358024,0.0047867452587117
work_0170,ai_0099,0.7418489371637311,0.8030779626148099,0.06122902545107878
