user_id,avrai_suitability,baseline_suitability,ground_truth_satisfaction,avrai_error,baseline_error,avrai_best_fabric_size,baseline_best_fabric_size
user_1,-1.0,0.0,0.0,1.0,0.0,0,0
user_2,-1.0,0.0,0.0,1.0,0.0,0,0
user_3,4.141923317499954,9.0,1.0,3.1419233174999537,8.0,3,3
user_4,4.102104978572432,9.0,1.0,3.1021049785724317,8.0,4,3
user_5,4.133565987099567,9.0,1.0,3.1335659870995674,8.0,5,3
user_6,4.151227595667619,9.0,1.0,3.151227595667619,8.0,6,3
user_7,4.132908884752477,9.0,1.0,3.132908884752477,8.0,6,3
user_8,4.180523607040193,9.0,1.0,3.180523607040193,8.0,6,3
user_9,4.125561088316937,9.0,1.0,3.125561088316937,8.0,6,3
user_10,4.174685116610782,9.0,1.0,3.1746851166107817,8.0,6,3
user_11,4.172266265360111,9.0,1.0,3.1722662653601112,8.0,6,3
user_12,4.140162771924826,9.0,1.0,3.1401627719248264,8.0,6,3
user_13,4.173963922322713,9.0,1.0,3.173963922322713,8.0,6,3
user_14,4.172469637014382,9.0,1.0,3.172469637014382,8.0,6,3
user_15,4.176747767869903,9.0,1.0,3.1767477678699034,8.0,6,3
user_16,4.175968100512971,9.0,1.0,3.1759681005129714,8.0,6,3
user_17,4.163345757579258,9.0,1.0,3.1633457575792576,8.0,6,3
user_18,4.161121291057184,9.0,1.0,3.161121291057184,8.0,6,3
user_19,4.16299182795481,9.0,1.0,3.1629918279548104,8.0,6,3
user_20,4.180836877979356,9.0,1.0,3.180836877979356,8.0,6,3
user_21,4.165831518237967,9.0,1.0,3.165831518237967,8.0,6,3
user_22,4.166383093021445,9.0,1.0,3.1663830930214454,8.0,6,3
user_23,4.170945492136209,9.0,1.0,3.170945492136209,8.0,6,3
user_24,4.178075137128066,9.0,1.0,3.178075137128066,8.0,6,3
user_25,4.180440168647365,9.0,1.0,3.1804401686473653,8.0,6,3
user_26,4.158976483343229,9.0,1.0,3.1589764833432286,8.0,6,3
user_27,4.159091708495827,9.0,1.0,3.1590917084958274,8.0,6,3
user_28,4.150298714074713,9.0,1.0,3.1502987140747134,8.0,6,3
user_29,4.139858160914196,9.0,1.0,3.139858160914196,8.0,6,3
user_30,4.125010775941636,9.0,1.0,3.125010775941636,8.0,6,3
