n_users,n_entities,calculation_time_ms,throughput_users_per_sec,meets_target
1000,3,1.13677978515625,879677.8523489933,True
1000,5,1.0297298431396484,971128.5019680482,True
1000,7,1.0230541229248047,977465.3926823584,True
1000,10,1.0159015655517578,984347.3363060314,True
5000,3,1.194000244140625,837520.766773163,True
5000,5,0.9379386901855469,1066167.7681748855,True
5000,7,1.0182857513427734,982042.6129712011,True
5000,10,1.0340213775634766,967097.9940050726,True
10000,3,1.1620521545410156,860546.5736561345,True
10000,5,0.9627342224121094,1038708.2714214958,True
10000,7,1.081228256225586,924874.0904079382,True
10000,10,0.9129047393798828,1095404.5442674328,True
50000,3,1.0709762573242188,933727.5155832592,True
50000,5,0.8940696716308594,1118481.0666666667,True
50000,7,0.8859634399414062,1128714.7470398278,True
50000,10,0.8940696716308594,1118481.0666666667,True
