month,total_agents,original_agents,new_agents,original_homogenization,new_homogenization,overall_homogenization
0,100,100,0,0.010240224113794327,0.0,0.010240224113794327
1,105,100,5,0.2693098520526148,0.13151275104867877,0.26290471956486616
2,111,96,15,0.4367053293956803,0.1730569029691642,0.40068863328091053
3,114,92,22,0.5482243003957561,0.31114788357405343,0.5038294307783981
4,118,87,31,0.624522459138936,0.35201996336143493,0.5529084570384573
5,122,83,39,0.6835288019110003,0.40278796843820186,0.5929534092789155
6,126,78,48,0.7242205104835218,0.41770718200998114,0.6038789370665472
7,130,78,52,0.6216723724336302,0.4381671355465182,0.5491704658184338
8,133,78,55,0.3943224425048528,0.43131026128292005,0.40719995372451323
9,136,78,58,0.2915607709731224,0.42373038722444234,0.34140421407422095
10,139,78,61,0.27889240306232543,0.44315950979805063,0.34238264312737055
11,142,78,64,0.2863642028072141,0.4331794557419165,0.3456317229165695
