agent_id,ai_keys_visible,personal_keys_visible,location_keys_visible,total_visible_keys,ai_only_accuracy
user_0000,9,0,3,9,1.0
user_0001,9,0,3,9,1.0
user_0002,9,0,3,9,1.0
user_0003,9,0,3,9,1.0
user_0004,9,0,3,9,1.0
user_0005,9,0,3,9,1.0
user_0006,9,0,3,9,1.0
user_0007,9,0,3,9,1.0
user_0008,9,0,3,9,1.0
user_0009,9,0,3,9,1.0
user_0010,9,0,3,9,1.0
user_0011,9,0,3,9,1.0
user_0012,9,0,3,9,1.0
user_0013,9,0,3,9,1.0
user_0014,9,0,3,9,1.0
user_0015,9,0,3,9,1.0
user_0016,9,0,3,9,1.0
user_0017,9,0,3,9,1.0
user_0018,9,0,3,9,1.0
user_0019,9,0,3,9,1.0
user_0020,9,0,3,9,1.0
user_0021,9,0,3,9,1.0
user_0022,9,0,3,9,1.0
user_0023,9,0,3,9,1.0
user_0024,9,0,3,9,1.0
user_0025,9,0,3,9,1.0
user_0026,9,0,3,9,1.0
user_0027,9,0,3,9,1.0
user_0028,9,0,3,9,1.0
user_0029,9,0,3,9,1.0
user_0030,9,0,3,9,1.0
user_0031,9,0,3,9,1.0
user_0032,9,0,3,9,1.0
user_0033,9,0,3,9,1.0
user_0034,9,0,3,9,1.0
user_0035,9,0,3,9,1.0
user_0036,9,0,3,9,1.0
user_0037,9,0,3,9,1.0
user_0038,9,0,3,9,1.0
user_0039,9,0,3,9,1.0
user_0040,9,0,3,9,1.0
user_0041,9,0,3,9,1.0
user_0042,9,0,3,9,1.0
user_0043,9,0,3,9,1.0
user_0044,9,0,3,9,1.0
user_0045,9,0,3,9,1.0
user_0046,9,0,3,9,1.0
user_0047,9,0,3,9,1.0
user_0048,9,0,3,9,1.0
user_0049,9,0,3,9,1.0
user_0050,9,0,3,9,1.0
user_0051,9,0,3,9,1.0
user_0052,9,0,3,9,1.0
user_0053,9,0,3,9,1.0
user_0054,9,0,3,9,1.0
user_0055,9,0,3,9,1.0
user_0056,9,0,3,9,1.0
user_0057,9,0,3,9,1.0
user_0058,9,0,3,9,1.0
user_0059,9,0,3,9,1.0
user_0060,9,0,3,9,1.0
user_0061,9,0,3,9,1.0
user_0062,9,0,3,9,1.0
user_0063,9,0,3,9,1.0
user_0064,9,0,3,9,1.0
user_0065,9,0,3,9,1.0
user_0066,9,0,3,9,1.0
user_0067,9,0,3,9,1.0
user_0068,9,0,3,9,1.0
user_0069,9,0,3,9,1.0
user_0070,9,0,3,9,1.0
user_0071,9,0,3,9,1.0
user_0072,9,0,3,9,1.0
user_0073,9,0,3,9,1.0
user_0074,9,0,3,9,1.0
user_0075,9,0,3,9,1.0
user_0076,9,0,3,9,1.0
user_0077,9,0,3,9,1.0
user_0078,9,0,3,9,1.0
user_0079,9,0,3,9,1.0
user_0080,9,0,3,9,1.0
user_0081,9,0,3,9,1.0
user_0082,9,0,3,9,1.0
user_0083,9,0,3,9,1.0
user_0084,9,0,3,9,1.0
user_0085,9,0,3,9,1.0
user_0086,9,0,3,9,1.0
user_0087,9,0,3,9,1.0
user_0088,9,0,3,9,1.0
user_0089,9,0,3,9,1.0
user_0090,9,0,3,9,1.0
user_0091,9,0,3,9,1.0
