entity_type_a,entity_id_a,entity_type_b,entity_id_b,quantum_compatibility,topological_compatibility,integrated_compatibility
person,user_1,event,event_0,0.8759473449316522,1.0,0.8759473449316522
person,user_1,event,event_1,0.9185580770555656,1.0,0.9185580770555656
person,user_1,event,event_2,0.9260390251199653,1.0,0.9260390251199653
person,user_1,event,event_3,0.852300671330998,1.0,0.852300671330998
person,user_1,event,event_4,0.9268386846003116,1.0,0.9268386846003116
person,user_2,event,event_0,0.6235279872681088,1.0,0.6235279872681088
person,user_2,event,event_1,0.6263748820320377,1.0,0.6263748820320377
person,user_2,event,event_2,0.6007227431764477,1.0,0.6007227431764477
person,user_2,event,event_3,0.5452341801276779,1.0,0.5452341801276779
person,user_2,event,event_4,0.5771770798782162,1.0,0.5771770798782162
person,user_3,event,event_0,0.8402755011734948,1.0,0.8402755011734948
person,user_3,event,event_1,0.7607042234373036,1.0,0.7607042234373036
person,user_3,event,event_2,0.6485520526911482,1.0,0.6485520526911482
person,user_3,event,event_3,0.7375220085054917,1.0,0.7375220085054917
person,user_3,event,event_4,0.6624020078371052,1.0,0.6624020078371052
person,user_4,event,event_0,0.9244461338541077,1.0,0.9244461338541077
person,user_4,event,event_1,0.9448191873846663,1.0,0.9448191873846663
person,user_4,event,event_2,0.9256006734785209,1.0,0.9256006734785209
person,user_4,event,event_3,0.8707875952517257,1.0,0.8707875952517257
person,user_4,event,event_4,0.9262051019869444,1.0,0.9262051019869444
person,user_5,event,event_0,0.9062346058441899,1.0,0.9062346058441899
person,user_5,event,event_1,0.9191659909099856,1.0,0.9191659909099856
person,user_5,event,event_2,0.8837498651471103,1.0,0.8837498651471103
person,user_5,event,event_3,0.7660832317302038,1.0,0.7660832317302038
person,user_5,event,event_4,0.8801783914106028,1.0,0.8801783914106028
person,user_1,place,place_0,0.8834061235605617,1.0,0.8834061235605617
person,user_1,place,place_1,0.8427363825849002,1.0,0.8427363825849002
person,user_1,place,place_2,0.9016610757142363,1.0,0.9016610757142363
person,user_1,place,place_3,0.9088451686927653,1.0,0.9088451686927653
person,user_1,place,place_4,0.9643572723218486,1.0,0.9643572723218486
person,user_2,place,place_0,0.7174784824405118,1.0,0.7174784824405118
person,user_2,place,place_1,0.7407340590028603,1.0,0.7407340590028603
person,user_2,place,place_2,0.546981874275816,1.0,0.546981874275816
person,user_2,place,place_3,0.7436397523615726,1.0,0.7436397523615726
person,user_2,place,place_4,0.6663159177937743,1.0,0.6663159177937743
person,user_3,place,place_0,0.8432813574810216,1.0,0.8432813574810216
person,user_3,place,place_1,0.7968862467205369,1.0,0.7968862467205369
person,user_3,place,place_2,0.845184539382068,1.0,0.845184539382068
person,user_3,place,place_3,0.7627900433218755,1.0,0.7627900433218755
person,user_3,place,place_4,0.7655808261291983,1.0,0.7655808261291983
person,user_4,place,place_0,0.9379631357365606,1.0,0.9379631357365606
person,user_4,place,place_1,0.896858284392953,1.0,0.896858284392953
person,user_4,place,place_2,0.9344686929991567,1.0,0.9344686929991567
person,user_4,place,place_3,0.944742643360345,1.0,0.944742643360345
person,user_4,place,place_4,0.9827118640146695,1.0,0.9827118640146695
person,user_5,place,place_0,0.9003374061950162,1.0,0.9003374061950162
person,user_5,place,place_1,0.8448301944493025,1.0,0.8448301944493025
person,user_5,place,place_2,0.8719364015780824,1.0,0.8719364015780824
person,user_5,place,place_3,0.8845687837491228,1.0,0.8845687837491228
person,user_5,place,place_4,0.9154244495554628,1.0,0.9154244495554628
person,user_1,company,company_0,0.9166892869339605,1.0,0.9166892869339605
person,user_1,company,company_1,0.8526859520980596,1.0,0.8526859520980596
person,user_1,company,company_2,0.7705503525178639,1.0,0.7705503525178639
person,user_1,company,company_3,0.9217124397482951,1.0,0.9217124397482951
person,user_1,company,company_4,0.8398705868736666,1.0,0.8398705868736666
person,user_2,company,company_0,0.5925970486704314,1.0,0.5925970486704314
person,user_2,company,company_1,0.6909774048037591,1.0,0.6909774048037591
person,user_2,company,company_2,0.5675279132741596,1.0,0.5675279132741596
person,user_2,company,company_3,0.6172680970745287,1.0,0.6172680970745287
person,user_2,company,company_4,0.5386316986370224,1.0,0.5386316986370224
person,user_3,company,company_0,0.6376917292596499,1.0,0.6376917292596499
person,user_3,company,company_1,0.8773777890747224,1.0,0.8773777890747224
person,user_3,company,company_2,0.9285335403183751,1.0,0.9285335403183751
person,user_3,company,company_3,0.6187215093046317,1.0,0.6187215093046317
person,user_3,company,company_4,0.8967846929109683,1.0,0.8967846929109683
person,user_4,company,company_0,0.9156012654966266,1.0,0.9156012654966266
person,user_4,company,company_1,0.9161816816018457,1.0,0.9161816816018457
person,user_4,company,company_2,0.8420040854037266,1.0,0.8420040854037266
person,user_4,company,company_3,0.9175794414728007,1.0,0.9175794414728007
person,user_4,company,company_4,0.8905497034335516,1.0,0.8905497034335516
person,user_5,company,company_0,0.8781901807283558,1.0,0.8781901807283558
person,user_5,company,company_1,0.8817647029762369,1.0,0.8817647029762369
person,user_5,company,company_2,0.7850061807597574,1.0,0.7850061807597574
person,user_5,company,company_3,0.8731471930818635,1.0,0.8731471930818635
person,user_5,company,company_4,0.8196474712538696,1.0,0.8196474712538696
