user_id,snapshot_pair,evolution_rate,crossing_delta,time_delta,history_delta
user_1,0-1,0.3333333333333333,0,86400.0,259200.0
user_1,1-2,0.3333333333333333,0,86400.0,259200.0
user_1,2-3,0.3333333333333333,0,86400.0,259200.0
user_1,3-4,0.3333333333333333,0,86400.0,259200.0
user_1,4-5,0.3333333333333333,-1,86400.0,259200.0
user_1,5-6,0.3333333333333333,1,86400.0,259200.0
user_1,6-7,0.3333333333333333,0,86400.0,259200.0
user_1,7-8,0.3333333333333333,-1,86400.0,259200.0
user_1,8-9,0.3333333333333333,0,86400.0,259200.0
user_2,0-1,0.3333333333333333,0,86400.0,259200.0
user_2,1-2,0.3333333333333333,0,86400.0,259200.0
user_2,2-3,0.3333333333333333,0,86400.0,259200.0
user_2,3-4,0.3333333333333333,0,86400.0,259200.0
user_2,4-5,0.3333333333333333,0,86400.0,259200.0
user_2,5-6,0.3333333333333333,0,86400.0,259200.0
user_2,6-7,0.3333333333333333,0,86400.0,259200.0
user_2,7-8,0.3333333333333333,0,86400.0,259200.0
user_2,8-9,0.3333333333333333,0,86400.0,259200.0
user_3,0-1,0.3333333333333333,0,86400.0,259200.0
user_3,1-2,0.3333333333333333,0,86400.0,259200.0
user_3,2-3,0.3333333333333333,0,86400.0,259200.0
user_3,3-4,0.3333333333333333,0,86400.0,259200.0
user_3,4-5,0.3333333333333333,0,86400.0,259200.0
user_3,5-6,0.3333333333333333,0,86400.0,259200.0
user_3,6-7,0.3333333333333333,1,86400.0,259200.0
user_3,7-8,0.3333333333333333,-1,86400.0,259200.0
user_3,8-9,0.3333333333333333,1,86400.0,259200.0
user_4,0-1,0.3333333333333333,0,86400.0,259200.0
user_4,1-2,0.3333333333333333,0,86400.0,259200.0
user_4,2-3,0.3333333333333333,0,86400.0,259200.0
user_4,3-4,0.3333333333333333,0,86400.0,259200.0
user_4,4-5,0.3333333333333333,0,86400.0,259200.0
user_4,5-6,0.3333333333333333,0,86400.0,259200.0
user_4,6-7,0.3333333333333333,0,86400.0,259200.0
user_4,7-8,0.3333333333333333,-1,86400.0,259200.0
user_4,8-9,0.3333333333333333,0,86400.0,259200.0
user_5,0-1,0.3333333333333333,0,86400.0,259200.0
user_5,1-2,0.3333333333333333,0,86400.0,259200.0
user_5,2-3,0.3333333333333333,0,86400.0,259200.0
user_5,3-4,0.3333333333333333,0,86400.0,259200.0
user_5,4-5,0.3333333333333333,0,86400.0,259200.0
user_5,5-6,0.3333333333333333,0,86400.0,259200.0
user_5,6-7,0.3333333333333333,1,86400.0,259200.0
user_5,7-8,0.3333333333333333,0,86400.0,259200.0
user_5,8-9,0.3333333333333333,-1,86400.0,259200.0
user_6,0-1,0.3333333333333333,0,86400.0,259200.0
user_6,1-2,0.3333333333333333,0,86400.0,259200.0
user_6,2-3,0.3333333333333333,0,86400.0,259200.0
user_6,3-4,0.3333333333333333,0,86400.0,259200.0
user_6,4-5,0.3333333333333333,0,86400.0,259200.0
user_6,5-6,0.3333333333333333,0,86400.0,259200.0
user_6,6-7,0.3333333333333333,0,86400.0,259200.0
user_6,7-8,0.3333333333333333,0,86400.0,259200.0
user_6,8-9,0.3333333333333333,0,86400.0,259200.0
user_7,0-1,0.3333333333333333,0,86400.0,259200.0
user_7,1-2,0.3333333333333333,-1,86400.0,259200.0
user_7,2-3,0.3333333333333333,1,86400.0,259200.0
user_7,3-4,0.3333333333333333,-1,86400.0,259200.0
user_7,4-5,0.3333333333333333,0,86400.0,259200.0
user_7,5-6,0.3333333333333333,1,86400.0,259200.0
user_7,6-7,0.3333333333333333,0,86400.0,259200.0
user_7,7-8,0.3333333333333333,-1,86400.0,259200.0
user_7,8-9,0.3333333333333333,2,86400.0,259200.0
user_8,0-1,0.3333333333333333,0,86400.0,259200.0
user_8,1-2,0.3333333333333333,0,86400.0,259200.0
user_8,2-3,0.3333333333333333,0,86400.0,259200.0
user_8,3-4,0.3333333333333333,0,86400.0,259200.0
user_8,4-5,0.3333333333333333,0,86400.0,259200.0
user_8,5-6,0.3333333333333333,0,86400.0,259200.0
user_8,6-7,0.3333333333333333,0,86400.0,259200.0
user_8,7-8,0.3333333333333333,0,86400.0,259200.0
user_8,8-9,0.3333333333333333,0,86400.0,259200.0
user_9,0-1,0.3333333333333333,0,86400.0,259200.0
user_9,1-2,0.3333333333333333,0,86400.0,259200.0
user_9,2-3,0.3333333333333333,0,86400.0,259200.0
user_9,3-4,0.3333333333333333,0,86400.0,259200.0
user_9,4-5,0.3333333333333333,0,86400.0,259200.0
user_9,5-6,0.3333333333333333,0,86400.0,259200.0
user_9,6-7,0.3333333333333333,0,86400.0,259200.0
user_9,7-8,0.3333333333333333,0,86400.0,259200.0
user_9,8-9,0.3333333333333333,-1,86400.0,259200.0
user_10,0-1,0.3333333333333333,0,86400.0,259200.0
user_10,1-2,0.3333333333333333,0,86400.0,259200.0
user_10,2-3,0.3333333333333333,0,86400.0,259200.0
user_10,3-4,0.3333333333333333,0,86400.0,259200.0
user_10,4-5,0.3333333333333333,0,86400.0,259200.0
user_10,5-6,0.3333333333333333,-1,86400.0,259200.0
user_10,6-7,0.3333333333333333,1,86400.0,259200.0
user_10,7-8,0.3333333333333333,-1,86400.0,259200.0
user_10,8-9,0.3333333333333333,1,86400.0,259200.0
user_11,0-1,0.3333333333333333,0,86400.0,259200.0
user_11,1-2,0.3333333333333333,0,86400.0,259200.0
user_11,2-3,0.3333333333333333,0,86400.0,259200.0
user_11,3-4,0.3333333333333333,0,86400.0,259200.0
user_11,4-5,0.3333333333333333,0,86400.0,259200.0
user_11,5-6,0.3333333333333333,0,86400.0,259200.0
user_11,6-7,0.3333333333333333,0,86400.0,259200.0
user_11,7-8,0.3333333333333333,0,86400.0,259200.0
user_11,8-9,0.3333333333333333,0,86400.0,259200.0
user_12,0-1,0.3333333333333333,0,86400.0,259200.0
user_12,1-2,0.3333333333333333,0,86400.0,259200.0
user_12,2-3,0.3333333333333333,0,86400.0,259200.0
user_12,3-4,0.3333333333333333,0,86400.0,259200.0
user_12,4-5,0.3333333333333333,0,86400.0,259200.0
user_12,5-6,0.3333333333333333,1,86400.0,259200.0
user_12,6-7,0.3333333333333333,-1,86400.0,259200.0
user_12,7-8,0.3333333333333333,0,86400.0,259200.0
user_12,8-9,0.3333333333333333,2,86400.0,259200.0
user_13,0-1,0.3333333333333333,0,86400.0,259200.0
user_13,1-2,0.3333333333333333,0,86400.0,259200.0
user_13,2-3,0.3333333333333333,0,86400.0,259200.0
user_13,3-4,0.3333333333333333,0,86400.0,259200.0
user_13,4-5,0.3333333333333333,0,86400.0,259200.0
user_13,5-6,0.3333333333333333,0,86400.0,259200.0
user_13,6-7,0.3333333333333333,0,86400.0,259200.0
user_13,7-8,0.3333333333333333,1,86400.0,259200.0
user_13,8-9,0.3333333333333333,-2,86400.0,259200.0
user_14,0-1,0.3333333333333333,0,86400.0,259200.0
user_14,1-2,0.3333333333333333,0,86400.0,259200.0
user_14,2-3,0.3333333333333333,0,86400.0,259200.0
user_14,3-4,0.3333333333333333,0,86400.0,259200.0
user_14,4-5,0.3333333333333333,0,86400.0,259200.0
user_14,5-6,0.3333333333333333,0,86400.0,259200.0
user_14,6-7,0.3333333333333333,0,86400.0,259200.0
